precondition_id,semantic_area,required_contract,observed_contract,source_evidence,semantics_complete,blocker_id,implementation_disposition,precondition_passed
PRE_001,admission_rule_identity,"ADMIT_008 identity, name, phase, historical evidence/status/reason",ADMIT_008 topology_restoration_disposition; pre_download; historical policy phrases frozen,rule registry,true,,identity frozen,true
PRE_002,candidate_field_name,formal candidate field name,topology_restoration_disposition is required pre-download candidate field,schema and field matrices,true,,field name frozen,true
PRE_003,standalone_input_projection,standalone direct-scalar projection,candidate-record dependency exists; standalone scalar interface is not declared,field and executability matrices,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,design enum/interface contract first,true
PRE_004,scalar_exact_type,exact scalar type,"no built-in str, enum-token, or structured-record type is frozen",field semantics matrix,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,freeze scalar type,true
PRE_005,null_empty_missing_boundary,"None, exact empty, and missing-key classifications",no ADMIT_008 boundary or adapter ownership is frozen,fixed source boundary,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,freeze null/empty/missing contract,true
PRE_006,canonicalization_policy,"trim, case, alias, canonicalization, and repair policy",normalization_defined=false; no alias or repair contract,field semantics matrix,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,freeze canonicalization policy,true
PRE_007,canonical_disposition_enum,exact ordered canonical disposition members and syntax,allowed_values_defined=false; issue remains open,field semantics and Exact11 issues,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,design canonical enum contract,true
PRE_008,approved_template_category,exact approved-template scalar and outcome,approved-template policy exists but no candidate scalar member is declared,admission and Step13M policy,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,freeze approved-template mapping,true
PRE_009,explicit_manual_review_category,exact explicit-manual-review scalar and outcome,manual-review policy exists but no candidate scalar member is declared,admission and Step13M/N policy,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,freeze manual-review mapping,true
PRE_010,unapproved_unknown_quarantine_categories,"exact unapproved, unknown, quarantine, deferred and N/A mapping",quarantine/deferred policy exists without scalar members or category collapse rules,Step13M/N policy,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,freeze remaining category mapping,true
PRE_011,restoration_rule_provenance_coherence,disposition-to-rule/provenance/current-sample/quarantine coherence,separate policy fields exist; no unified coherence contract,Step13M candidate and rule contracts,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,freeze provenance coherence,true
PRE_012,outcome_vocabulary,"passed, blocked, invalid classification for every class",generic runtime outcomes exist but ADMIT_008 mapping is not frozen,Exact7 runtime and topology policy,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,freeze ADMIT_008 outcomes,true
PRE_013,reason_vocabulary,formal uppercase reason for every non-pass outcome,historical lowercase blocking reason only; no formal reason vocabulary,admission rule registry,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,freeze formal reasons,true
PRE_014,canonical_validated_state,canonical and validated state on blocked/invalid paths,no ADMIT_008 state-retention contract,fixed source boundary,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,freeze result state,true
PRE_015,runtime_context_dependency,standalone-versus-context dependency and exact context contract,allowed_topology_restoration_dispositions is named but undefined,rule executability matrix,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,freeze context ownership,true
PRE_016,independent_semantic_oracle,independent pure full-input outcome/reason/state oracle,"Step13M/N builders are policy builders, not an ADMIT_008 semantic oracle",Step13M/N sources,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,design an independent oracle,true
PRE_017,real_provider_values,committed real provider scalar values and mapping,no real topology_restoration_disposition values in fixed metadata boundary,vocabulary inventory,false,REAL_PROVIDER_TOPOLOGY_DISPOSITION_MAPPING_UNVALIDATED,validate only after contract and authorization,true
PRE_018,real_candidate_authorization,explicit authorization for real candidate evaluation,audit is metadata-only and real evaluation is prohibited,stop boundary,false,REAL_CANDIDATE_EVALUATION_NOT_AUTHORIZED,remain metadata-only,true
PRE_019,bulk_download_readiness,"all rule coverage, aggregation, provider, raw and download gates",coverage begins at ADMIT_008; aggregation/provider and other blockers remain open,Exact11 issues,false,UNIFIED_ADMISSION_RULE_COVERAGE_INCOMPLETE,bulk download remains prohibited,true
PRE_020,training_readiness,feature-semantics audit and all training gates,Step12D is smoke legality only; feature semantics audit remains mandatory,Step13M/N manifests,false,FEATURE_SEMANTICS_AUDIT_REQUIRED,training remains prohibited,true
