failure_id,failure_case,guard,expected_outcome,covered_by_test,verified
X01,canonical_task_count_not_five,exact5_task_registry,fail_closed,true,true
X02,scaffold_only_B3_missing,B3_required,fail_closed,true,true
X03,B2_B3_swapped,semantic_truth_table,fail_closed,true,true
X04,short_alias_is_only_semantic_authority,long_name_authority,fail_closed,true,true
X05,sixth_mask_added,exact5_task_registry,fail_closed,true,true
X06,fourth_primary_role_added,exact3_role_vocabulary,fail_closed,true,true
X07,role_partition_overlap,disjoint_partition,fail_closed,true,true
X08,role_partition_incomplete,exhaustive_partition,fail_closed,true,true
X09,role_index_out_of_range_or_duplicate,retained_index_validation,fail_closed,true,true
X10,explicit_H_in_role_domain,retained_heavy_domain,fail_closed,true,true
X11,source_full_table_index_used_as_retained_index,index_space_binding,fail_closed,true,true
X12,bool_accepted_as_task_or_role_id,exact_int_id_types,fail_closed,true,true
X13,generation_fixed_overlap,base_partition_disjoint,fail_closed,true,true
X14,generation_fixed_not_exhaustive,base_partition_exhaustive,fail_closed,true,true
X15,target_context_overlap,target_context_partition,fail_closed,true,true
X16,Task_C_has_base_fixed_primary_atom,Task_C_base_mask,fail_closed,true,true
X17,seed_or_anchor_used_as_fourth_role,orthogonal_seed_sidecar,fail_closed,true,true
X18,seed_or_anchor_used_as_sixth_mask,orthogonal_seed_sidecar,fail_closed,true,true
X19,seed_sidecar_silently_changes_lig_fixed,base_mask_independence,fail_closed,true,true
X20,non_C_task_enables_seed_condition,Task_C_only_condition,fail_closed,true,true
X21,missing_seed_authority_marked_materializable,authority_readiness_gate,fail_closed,true,true
X22,warhead_complement_claims_scaffold_linker_separated,authority_non_inference,fail_closed,true,true
X23,ligand_internal_boundary_claims_complete_roles,authority_non_inference,fail_closed,true,true
X24,anchor_distance_reinterpreted_as_ligand_seed_distance,anchor_distance_reference,fail_closed,true,true
X25,active_loss_includes_fixed_atom,active_loss_formula,fail_closed,true,true
X26,active_loss_includes_invalid_sample,active_loss_formula,fail_closed,true,true
X27,sidecar_concatenated_into_checkpoint_10D,checkpoint_boundary,fail_closed,true,true
X28,runtime_loader_model_forward_or_loss_modified,candidate_scope,fail_closed,true,true
X29,tensor_checkpoint_runtime_or_training_boundary_crossed,execution_boundary,fail_closed,true,true
X30,critical_response_field_tampered_with_recomputed_digest,response_integrity,fail_closed,true,true
X31,empty_primary_role_region,nonempty_exact3_partition,fail_closed,true,true
X32,role_id_validity_sentinel_mismatch,role_validity_pair_contract,fail_closed,true,true
X33,seed_bundle_validator_bypass,final_bundle_seed_validation,fail_closed,true,true
X34,candidate_lifecycle_not_commit_survivable,exact3_contract_lifecycle,fail_closed,true,true
