evidence_id,commit,subject,path,sha256,purpose,verified
E01,540be2e4162b2b6a7f1090d41f852e5ac87be459,add CovaPIE five-module training-path completion gap audit v1,src/covalent_ext/covapie_five_module_training_path_completion_gap_audit_v1.py,2bbcc9b48c5ccd65c1e0b897c71f8bc3f571d2fbd22665542c4956949acd1f39,current_gap_audit_source,true
E02,540be2e4162b2b6a7f1090d41f852e5ac87be459,add CovaPIE five-module training-path completion gap audit v1,scripts/check_covapie_five_module_training_path_completion_gap_audit_v1.py,d715c444bb85f6b02e626f237f5d940c120f6f2b510078e41ef7ed3880280282,current_gap_audit_checker,true
E03,540be2e4162b2b6a7f1090d41f852e5ac87be459,add CovaPIE five-module training-path completion gap audit v1,tests/test_covapie_five_module_training_path_completion_gap_audit_v1.py,bb0aa0838bea1f9dc72fcb401221b5cdc12582bbcc4e84cd3ce2fb57ea6693f0,current_gap_audit_tests,true
E04,540be2e4162b2b6a7f1090d41f852e5ac87be459,add CovaPIE five-module training-path completion gap audit v1,docs/covapie_five_module_training_path_completion_gap_audit_v1_guide.md,d8ddbe610bcad82d076bc1f83e16cff016d399567083e59aae9726217a517a7b,current_gap_audit_guide,true
E05,335a0320e8bd8ee125e51f927e6cd26d0c05707e,add CovaPIE tensor label and loss-mask contract v1,src/covalent_ext/covapie_tensor_label_and_loss_mask_contract_design_v1.py,3d2d03cda56dfb4a54370444f255f9bb0ab433aaeb837901e769098272ff51ac,tensor_contract_source,true
E06,335a0320e8bd8ee125e51f927e6cd26d0c05707e,add CovaPIE tensor label and loss-mask contract v1,data/derived/covalent_small/covapie_tensor_label_and_loss_mask_contract_design_v1/covapie_tensor_label_loss_mask_contract_registry.csv,dde4a96d1b38f1aa095fb8285616ff2877f91b2274be8bbf7a2e53e1250ec933,tensor_contract_registry,true
E07,335a0320e8bd8ee125e51f927e6cd26d0c05707e,add CovaPIE tensor label and loss-mask contract v1,data/derived/covalent_small/covapie_tensor_label_and_loss_mask_contract_design_v1/covapie_tensor_label_loss_mask_issue_readiness_inventory.csv,5a9dfcf4e9ebeba82adda99e72f956f16420424169ffbc8f6c3e85834e6ceaf8,tensor_issue_inventory,true
E08,335a0320e8bd8ee125e51f927e6cd26d0c05707e,add CovaPIE tensor label and loss-mask contract v1,data/derived/covalent_small/covapie_tensor_label_and_loss_mask_contract_design_v1/covapie_tensor_label_loss_mask_failure_matrix.csv,1c400aa13904f63f07de087d6c7efe048daa39fe47ae8649e3f0eb4ebd8b5e9f,tensor_failure_matrix,true
E09,335a0320e8bd8ee125e51f927e6cd26d0c05707e,add CovaPIE tensor label and loss-mask contract v1,data/derived/covalent_small/covapie_tensor_label_and_loss_mask_contract_design_v1/covapie_tensor_label_and_loss_mask_contract_design_manifest.json,c0611d39074321744156c7ac3a527c54d4a84bd76c798a74fdbc1260b1bc6bcc,tensor_contract_manifest,true
E10,160cdbda8800a535b5c0a81d501babfae9a8615b,add CovaPIE training unknown-atom policy resolution v1,src/covalent_ext/covapie_training_feature_semantics_and_unknown_atom_policy_resolution_v1.py,1d80862e7c4fa3215ac3f307a45ce3bc8f1e0d4613728133a0ea3118df2df241,feature_resolution_source,true
