contract_id,field_name,dtype,rank,shape,index_space,local_flat_relationship,padding_policy,sentinel_policy,validity_policy,polarity_or_semantics,sidecar_only,materialized_v1
F01,ligand_role_id,int64,1,[N_ligand],flattened_ligand_index_0based,flattened from retained-heavy local indices by ligand_node_offsets,no_padding_rows_admitted,-1 iff ligand_role_valid is false,0|1|2 iff valid=true; -1 iff valid=false; all admitted base-mask rows valid,0=scaffold|1=linker|2=warhead|-1=invalid_sentinel,true,false
F02,ligand_role_valid,bool,1,[N_ligand],flattened_ligand_index_0based,same row domain and order as ligand_role_id,no_padding_rows_admitted,companion requires ligand_role_id=-1 when false,true for every row used to derive base masks; incomplete role authority cannot be training-admitted,true=Exact3 role id valid|false=role id is -1 sentinel,true,false
F03,canonical_task_id,int64,1,[B],batch_sample_index_0based,one task id per sample,no_padding_samples_admitted,no sentinel without canonical_task_valid=false,valid values are exact int 0..4 and bool is rejected,0..4 map only through long semantic names,true,false
F04,canonical_task_valid,bool,1,[B],batch_sample_index_0based,same sample order as canonical_task_id,no_padding_samples_admitted,not_applicable,false disables active diffusion loss for the sample,true=task id valid,true,false
F05,ligand_base_generation_mask,bool,2,"[N_ligand,1]",flattened_ligand_index_0based,flattened local rows; future runtime adapter squeezes final axis,no_padding_rows_admitted,not_applicable,requires valid Exact3 role and task authority,true=generated active base region,true,false
F06,ligand_base_fixed_mask,bool,2,"[N_ligand,1]",flattened_ligand_index_0based,flattened local rows; squeeze(-1) and cast to int64 for future lig_fixed adapter,no_padding_rows_admitted,not_applicable,complement of base generation on admitted retained-heavy rows,true=preserved base context,true,false
F07,ligand_base_target_mask,bool,2,"[N_ligand,1]",flattened_ligand_index_0based,identical row domain to base generation,no_padding_rows_admitted,not_applicable,equals ligand_base_generation_mask,true=generated target,true,false
F08,ligand_base_context_mask,bool,2,"[N_ligand,1]",flattened_ligand_index_0based,identical row domain to base fixed,no_padding_rows_admitted,not_applicable,equals ligand_base_fixed_mask and excludes seed sidecar semantics,true=preserved base context,true,false
F09,ligand_active_diffusion_loss_mask,bool,2,"[N_ligand,1]",flattened_ligand_index_0based,broadcast sample validity and admission over ligand rows,padding_false_but_padding_is_not_label_availability,not_applicable,generation AND role_valid AND task_valid AND sample_training_admitted,true=active masked-diffusion loss atom,true,false
F10,ligand_minimal_seed_or_anchor_mask,bool,2,"[N_ligand,1]",flattened_ligand_index_0based,orthogonal flag on retained ligand heavy rows,no_padding_rows_admitted,not_applicable,only Task C; valid=true requires at least one true atom,true=additional condition without changing base masks or loss,true,false
F11,ligand_minimal_seed_or_anchor_valid,bool,1,[B],batch_sample_index_0based,one condition-valid flag per sample,no_padding_samples_admitted,not_applicable,A/B/B2/B3 false; Task C true only with formal nonempty authority,true=seed or anchor mask authoritative,true,false
F12,sample_training_admitted,bool,1,[B],batch_sample_index_0based,broadcast only into active loss mask,padding_false_but_padding_is_not_label_availability,not_applicable,false sample contributes no active diffusion loss,true=sample admitted for training,true,false
F13,ligand_anchor_distance_angstrom,float32,2,"[N_ligand,1]",flattened_ligand_index_0based,same retained-heavy ligand row order,no_padding_rows_admitted,not_applicable,valid only when target residue reactive atom is available,Euclidean distance to target_residue_reactive_atom,true,false
F14,ligand_anchor_distance_valid,bool,2,"[N_ligand,1]",flattened_ligand_index_0based,same rows as ligand_anchor_distance_angstrom,no_padding_rows_admitted,not_applicable,false when target residue reactive atom is unavailable,true=distance label valid,true,false
