table_integrity_qa_id,sample_execution_id,pdb_id,expected_het_id,table_name,table_exists,row_count,required_columns_present,table_integrity_status,blocking_reasons
CYS_SG_TABLE_QA_000001,CYS_SG_SAMPLE_PREP_EXECUTION_000001,6BV6,JUG,protein_atom_table.csv,True,7468,True,passed,
CYS_SG_TABLE_QA_000002,CYS_SG_SAMPLE_PREP_EXECUTION_000001,6BV6,JUG,ligand_atom_table.csv,True,13,True,passed,
CYS_SG_TABLE_QA_000003,CYS_SG_SAMPLE_PREP_EXECUTION_000001,6BV6,JUG,pocket_atom_table.csv,True,121,True,passed,
CYS_SG_TABLE_QA_000004,CYS_SG_SAMPLE_PREP_EXECUTION_000001,6BV6,JUG,covalent_event_table.csv,True,1,True,passed,
CYS_SG_TABLE_QA_000005,CYS_SG_SAMPLE_PREP_EXECUTION_000001,6BV6,JUG,ligand_residue_atom_pair_table.csv,True,1,True,passed,
CYS_SG_TABLE_QA_000006,CYS_SG_SAMPLE_PREP_EXECUTION_000001,6BV6,JUG,sample_preparation_audit.csv,True,10,True,passed,
CYS_SG_TABLE_QA_000007,CYS_SG_SAMPLE_PREP_EXECUTION_000002,6BV8,JUG,protein_atom_table.csv,True,7508,True,passed,
CYS_SG_TABLE_QA_000008,CYS_SG_SAMPLE_PREP_EXECUTION_000002,6BV8,JUG,ligand_atom_table.csv,True,18,True,passed,
CYS_SG_TABLE_QA_000009,CYS_SG_SAMPLE_PREP_EXECUTION_000002,6BV8,JUG,pocket_atom_table.csv,True,196,True,passed,
CYS_SG_TABLE_QA_000010,CYS_SG_SAMPLE_PREP_EXECUTION_000002,6BV8,JUG,covalent_event_table.csv,True,1,True,passed,
CYS_SG_TABLE_QA_000011,CYS_SG_SAMPLE_PREP_EXECUTION_000002,6BV8,JUG,ligand_residue_atom_pair_table.csv,True,1,True,passed,
CYS_SG_TABLE_QA_000012,CYS_SG_SAMPLE_PREP_EXECUTION_000002,6BV8,JUG,sample_preparation_audit.csv,True,10,True,passed,
CYS_SG_TABLE_QA_000013,CYS_SG_SAMPLE_PREP_EXECUTION_000003,6BV5,JUG,protein_atom_table.csv,True,7503,True,passed,
CYS_SG_TABLE_QA_000014,CYS_SG_SAMPLE_PREP_EXECUTION_000003,6BV5,JUG,ligand_atom_table.csv,True,13,True,passed,
CYS_SG_TABLE_QA_000015,CYS_SG_SAMPLE_PREP_EXECUTION_000003,6BV5,JUG,pocket_atom_table.csv,True,178,True,passed,
CYS_SG_TABLE_QA_000016,CYS_SG_SAMPLE_PREP_EXECUTION_000003,6BV5,JUG,covalent_event_table.csv,True,1,True,passed,
CYS_SG_TABLE_QA_000017,CYS_SG_SAMPLE_PREP_EXECUTION_000003,6BV5,JUG,ligand_residue_atom_pair_table.csv,True,1,True,passed,
CYS_SG_TABLE_QA_000018,CYS_SG_SAMPLE_PREP_EXECUTION_000003,6BV5,JUG,sample_preparation_audit.csv,True,10,True,passed,
