policy_item,policy_description,policy_contract_passed
sample_preparation_qa_gate_only,This step performs QA over Step 14AA outputs only.,True
qa_gate_reads_execution_outputs_only,"QA reads derived execution outputs, not raw structure files.",True
qa_gate_does_not_read_raw_mmcif,Raw CIF/mmCIF is not read in this QA gate.,True
qa_gate_does_not_modify_atom_tables,Per-sample atom/event tables are not modified.,True
qa_gate_does_not_create_sample_index,No sample index is written.,True
qa_gate_does_not_create_final_dataset,No final dataset is written.,True
qa_gate_does_not_create_split_or_leakage,No split or leakage matrix is written.,True
qa_gate_does_not_create_dataloader_smoke,No dataloader smoke is written.,True
sample_index_design_gate_required_next,Sample index design gate is the next allowed step.,True
feature_semantics_audit_required_before_training,Feature semantics audit remains required before training.,True
leakage_split_gate_required_before_training,Leakage/split gate remains required before training.,True
canonical_five_masks_preserved,The canonical five mask tasks are preserved.,True
do_not_train_from_qa_artifacts,QA artifacts must not be used for training.,True
