safety_item,required_status,observed_status,safety_passed,blocking_reasons
network_access_used_current_step,false,false,True,
download_attempted_current_step,false,false,True,
raw_mmcif_read_current_step,false,false,True,
struct_conn_parsed_current_step,false,false,True,
atom_site_parsed_current_step,false,false,True,
data_raw_written_current_step,false,false,True,
raw_files_remain_untracked,true,true,True,
raw_files_remain_unstaged,true,true,True,
raw_files_committed,false,false,True,
metadata_csv_unchanged,true,true,True,
step14aa_artifacts_unchanged,true,true,True,
step14z_artifacts_unchanged,true,true,True,
step14y_artifacts_unchanged,true,true,True,
protected_source_diff_empty,true,true,True,
original_dataloader_diff_empty,true,true,True,
sample_index_written_current_step,false,false,True,
final_dataset_written,false,false,True,
split_assignments_written,false,false,True,
leakage_matrix_written,false,false,True,
actual_dataloader_smoke_written,false,false,True,
training_artifacts_written,false,false,True,
torch_imported,false,false,True,
numpy_imported,false,false,True,
rdkit_used,false,false,True,
gemmi_used,false,false,True,
requests_used,false,false,True,
urllib_used,false,false,True,
selenium_used,false,false,True,
playwright_used,false,false,True,
bs4_used,false,false,True,
