source_role,source_path,source_sha256,committed_in_base,data_row_count_if_tabular,selector_or_symbol,referenced_quarantine_row_count,verified
policy_audit_source,src/covalent_ext/covapie_real_provider_export_blocking_rows_resolution_or_quarantine_policy_audit_v1.py,f7b00e7e152928983274d371db357fe42fa61ce0d7ab4faf7fe604385ee716c1,true,,materialization predecessor implementation,11,true
policy_audit_manifest,data/derived/covalent_small/covapie_real_provider_export_blocking_rows_resolution_or_quarantine_policy_audit_v1/covapie_real_provider_export_blocking_rows_resolution_or_quarantine_policy_audit_manifest.json,5d3d802e295dd8775f908fe75ef1238980de7c4082684dbe47ba97a4440ad66d,true,,audit_outcome=audited_policy_frozen,11,true
policy_audit_source_inventory,data/derived/covalent_small/covapie_real_provider_export_blocking_rows_resolution_or_quarantine_policy_audit_v1/covapie_real_provider_export_blocking_row_source_inventory.csv,b8c5a16c05967f70c388c96bbaca5459d3799f402d6c7648e5995ae876ead69d,true,28,whole committed artifact,0,true
blocking_row_audit_matrix,data/derived/covalent_small/covapie_real_provider_export_blocking_rows_resolution_or_quarantine_policy_audit_v1/covapie_real_provider_export_blocking_row_audit_matrix.csv,0d2299d4d95dcbf328407063269ca73e92a9501fa24ef2d477b45971085e70fa,true,11,audit_disposition=quarantine_required_pending_provider_reexport,11,true
insertion_code_evidence_sufficiency_matrix,data/derived/covalent_small/covapie_real_provider_export_blocking_rows_resolution_or_quarantine_policy_audit_v1/covapie_real_provider_export_insertion_code_evidence_sufficiency_matrix.csv,8cc17d04453f05043ef7f94b0f155a3ee86c4222cccca0697a8535c74d85d633,true,165,whole committed artifact,0,true
executable_policy_matrix,data/derived/covalent_small/covapie_real_provider_export_blocking_rows_resolution_or_quarantine_policy_audit_v1/covapie_real_provider_export_resolution_or_quarantine_policy_matrix.csv,cde3b64e70401ab9bb9f13f9eedeb2ddf28f29f3de7855fa77c618872a14f4d2,true,17,fails_closed=true,0,true
predecessor_issue_inventory,data/derived/covalent_small/covapie_real_provider_export_blocking_rows_resolution_or_quarantine_policy_audit_v1/covapie_real_provider_export_issue_readiness_inventory.csv,09ee8271157343c4fd39c2edd73e38d6f0e896b8da247d8e3a8588c0b1cd0afa,true,30,issue_id=REAL_PROVIDER_EXPORT_BLOCKING_ROWS_PRESENT,11,true
original_provider_sidecar,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv,066c0beeaa01d31a6d6ea3fae62f3df5177c2d904f6295646ee33a7fcd780ac7,true,11,provider_export_status=exported_blocking,11,true
provider_integration_overlay,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_sidecar_integration_gate_v1/covapie_covalent_residue_locator_real_provider_integration_overlay.csv,cc4c5965083340a040e4e1fc531da03bd74471e20fdc521ce92464d1d359627a,true,11,binding_row_id join,11,true
provider_integration_evidence,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_sidecar_integration_gate_v1/covapie_covalent_residue_locator_real_provider_integration_evidence_audit.csv,c5efc4610762004829897064965bb4e06a1390d52c9f97254e66fbb1c7c899ec,true,11,binding_row_id join,11,true
current_final_dataset_index_scope_boundary,data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,c4c31888cb0f7c148b00656ccf22ab68fab842fcdafdee049b2f420eddc1302d,true,11,11 committed current canonical rows,11,true
atom_pair_validation_scope_boundary,data/derived/covalent_small/covapie_covalent_bond_atom_pair_encoding_contract_current_canonical_evidence_validation_v1/covapie_covalent_bond_atom_pair_encoding_contract_current_canonical_evidence_validation_manifest.json,229f5430feb3b5c147edce6c80dce684703b614e3764c7c18afd8344c25c3152,true,,validation_outcome=validated,11,true
