acquisition_manifest_row_id,acquisition_purpose,source_registry_id,source_name,source_type,acquisition_mode,network_required_next_step,seed_candidate_id,pdb_id,ligand_identifier,suggested_ligand_comp_id,query_key_type,query_key_value,intended_fields,expected_output_artifact_family,acquisition_status_current_step,event_identity_status_current_step,ready_candidate_current_step,ready_for_training_current_step
CYS_SG_TARGET_ACQ_000001,targeted_event_level_metadata_expansion,covpdb_complex_card_for_seed_candidates,CovPDB complex card,covpdb_complex_page,future_controlled_annotation_acquisition,True,CYS_SG_TARGET_SEED_000001,1AEC,COVPDB739,E64,pdb_id+covpdb_ligand_identifier,1AEC|COVPDB739,targetable_residue_class;warhead_type;covalent_mechanism;residue annotation,targeted_annotation_metadata_csv_json,pending_future_acquisition,not_event_identity,False,False
CYS_SG_TARGET_ACQ_000002,targeted_event_level_metadata_expansion,covpdb_ligand_pages_for_seed_candidates,CovPDB ligand pages,covpdb_ligand_page,future_controlled_annotation_acquisition,True,CYS_SG_TARGET_SEED_000001,1AEC,COVPDB739,E64,covpdb_ligand_identifier,COVPDB739,ligand_name;ligand_het_code;warhead_type,targeted_annotation_metadata_csv_json,pending_future_acquisition,not_event_identity,False,False
CYS_SG_TARGET_ACQ_000003,targeted_event_level_metadata_expansion,rcsb_chemical_component_dictionary_crosscheck,RCSB Chemical Component Dictionary,rcsb_ccd_metadata,future_controlled_annotation_acquisition,True,CYS_SG_TARGET_SEED_000001,1AEC,COVPDB739,E64,het_code,E64,ligand_name;ligand atom naming cross-check,targeted_annotation_metadata_csv_json,pending_future_acquisition,not_event_identity,False,False
CYS_SG_TARGET_ACQ_000004,targeted_event_level_metadata_expansion,covpdb_complex_card_for_seed_candidates,CovPDB complex card,covpdb_complex_page,future_controlled_annotation_acquisition,True,CYS_SG_TARGET_SEED_000002,1AIM,COVPDB1512,ZYA,pdb_id+covpdb_ligand_identifier,1AIM|COVPDB1512,targetable_residue_class;warhead_type;covalent_mechanism;residue annotation,targeted_annotation_metadata_csv_json,pending_future_acquisition,not_event_identity,False,False
CYS_SG_TARGET_ACQ_000005,targeted_event_level_metadata_expansion,covpdb_ligand_pages_for_seed_candidates,CovPDB ligand pages,covpdb_ligand_page,future_controlled_annotation_acquisition,True,CYS_SG_TARGET_SEED_000002,1AIM,COVPDB1512,ZYA,covpdb_ligand_identifier,COVPDB1512,ligand_name;ligand_het_code;warhead_type,targeted_annotation_metadata_csv_json,pending_future_acquisition,not_event_identity,False,False
CYS_SG_TARGET_ACQ_000006,targeted_event_level_metadata_expansion,rcsb_chemical_component_dictionary_crosscheck,RCSB Chemical Component Dictionary,rcsb_ccd_metadata,future_controlled_annotation_acquisition,True,CYS_SG_TARGET_SEED_000002,1AIM,COVPDB1512,ZYA,het_code,ZYA,ligand_name;ligand atom naming cross-check,targeted_annotation_metadata_csv_json,pending_future_acquisition,not_event_identity,False,False
CYS_SG_TARGET_ACQ_000007,targeted_event_level_metadata_expansion,covpdb_complex_card_for_seed_candidates,CovPDB complex card,covpdb_complex_page,future_controlled_annotation_acquisition,True,CYS_SG_TARGET_SEED_000003,1ATK,COVPDB739,E64,pdb_id+covpdb_ligand_identifier,1ATK|COVPDB739,targetable_residue_class;warhead_type;covalent_mechanism;residue annotation,targeted_annotation_metadata_csv_json,pending_future_acquisition,not_event_identity,False,False
CYS_SG_TARGET_ACQ_000008,targeted_event_level_metadata_expansion,covpdb_ligand_pages_for_seed_candidates,CovPDB ligand pages,covpdb_ligand_page,future_controlled_annotation_acquisition,True,CYS_SG_TARGET_SEED_000003,1ATK,COVPDB739,E64,covpdb_ligand_identifier,COVPDB739,ligand_name;ligand_het_code;warhead_type,targeted_annotation_metadata_csv_json,pending_future_acquisition,not_event_identity,False,False
CYS_SG_TARGET_ACQ_000009,targeted_event_level_metadata_expansion,rcsb_chemical_component_dictionary_crosscheck,RCSB Chemical Component Dictionary,rcsb_ccd_metadata,future_controlled_annotation_acquisition,True,CYS_SG_TARGET_SEED_000003,1ATK,COVPDB739,E64,het_code,E64,ligand_name;ligand atom naming cross-check,targeted_annotation_metadata_csv_json,pending_future_acquisition,not_event_identity,False,False
CYS_SG_TARGET_ACQ_000010,targeted_event_level_metadata_expansion,covpdb_complex_card_for_seed_candidates,CovPDB complex card,covpdb_complex_page,future_controlled_annotation_acquisition,True,CYS_SG_TARGET_SEED_000004,1AU3,COVPDB1218,PCM,pdb_id+covpdb_ligand_identifier,1AU3|COVPDB1218,targetable_residue_class;warhead_type;covalent_mechanism;residue annotation,targeted_annotation_metadata_csv_json,pending_future_acquisition,not_event_identity,False,False
CYS_SG_TARGET_ACQ_000011,targeted_event_level_metadata_expansion,covpdb_ligand_pages_for_seed_candidates,CovPDB ligand pages,covpdb_ligand_page,future_controlled_annotation_acquisition,True,CYS_SG_TARGET_SEED_000004,1AU3,COVPDB1218,PCM,covpdb_ligand_identifier,COVPDB1218,ligand_name;ligand_het_code;warhead_type,targeted_annotation_metadata_csv_json,pending_future_acquisition,not_event_identity,False,False
CYS_SG_TARGET_ACQ_000012,targeted_event_level_metadata_expansion,rcsb_chemical_component_dictionary_crosscheck,RCSB Chemical Component Dictionary,rcsb_ccd_metadata,future_controlled_annotation_acquisition,True,CYS_SG_TARGET_SEED_000004,1AU3,COVPDB1218,PCM,het_code,PCM,ligand_name;ligand atom naming cross-check,targeted_annotation_metadata_csv_json,pending_future_acquisition,not_event_identity,False,False
CYS_SG_TARGET_ACQ_000013,targeted_event_level_metadata_expansion,covpdb_complex_card_for_seed_candidates,CovPDB complex card,covpdb_complex_page,future_controlled_annotation_acquisition,True,CYS_SG_TARGET_SEED_000005,1AU4,COVPDB956,INP,pdb_id+covpdb_ligand_identifier,1AU4|COVPDB956,targetable_residue_class;warhead_type;covalent_mechanism;residue annotation,targeted_annotation_metadata_csv_json,pending_future_acquisition,not_event_identity,False,False
CYS_SG_TARGET_ACQ_000014,targeted_event_level_metadata_expansion,covpdb_ligand_pages_for_seed_candidates,CovPDB ligand pages,covpdb_ligand_page,future_controlled_annotation_acquisition,True,CYS_SG_TARGET_SEED_000005,1AU4,COVPDB956,INP,covpdb_ligand_identifier,COVPDB956,ligand_name;ligand_het_code;warhead_type,targeted_annotation_metadata_csv_json,pending_future_acquisition,not_event_identity,False,False
CYS_SG_TARGET_ACQ_000015,targeted_event_level_metadata_expansion,rcsb_chemical_component_dictionary_crosscheck,RCSB Chemical Component Dictionary,rcsb_ccd_metadata,future_controlled_annotation_acquisition,True,CYS_SG_TARGET_SEED_000005,1AU4,COVPDB956,INP,het_code,INP,ligand_name;ligand atom naming cross-check,targeted_annotation_metadata_csv_json,pending_future_acquisition,not_event_identity,False,False
CYS_SG_TARGET_ACQ_000016,targeted_event_level_metadata_expansion,covpdb_complex_card_for_seed_candidates,CovPDB complex card,covpdb_complex_page,future_controlled_annotation_acquisition,True,CYS_SG_TARGET_SEED_000006,1AYU,COVPDB953,INA,pdb_id+covpdb_ligand_identifier,1AYU|COVPDB953,targetable_residue_class;warhead_type;covalent_mechanism;residue annotation,targeted_annotation_metadata_csv_json,pending_future_acquisition,not_event_identity,False,False
CYS_SG_TARGET_ACQ_000017,targeted_event_level_metadata_expansion,covpdb_ligand_pages_for_seed_candidates,CovPDB ligand pages,covpdb_ligand_page,future_controlled_annotation_acquisition,True,CYS_SG_TARGET_SEED_000006,1AYU,COVPDB953,INA,covpdb_ligand_identifier,COVPDB953,ligand_name;ligand_het_code;warhead_type,targeted_annotation_metadata_csv_json,pending_future_acquisition,not_event_identity,False,False
CYS_SG_TARGET_ACQ_000018,targeted_event_level_metadata_expansion,rcsb_chemical_component_dictionary_crosscheck,RCSB Chemical Component Dictionary,rcsb_ccd_metadata,future_controlled_annotation_acquisition,True,CYS_SG_TARGET_SEED_000006,1AYU,COVPDB953,INA,het_code,INA,ligand_name;ligand atom naming cross-check,targeted_annotation_metadata_csv_json,pending_future_acquisition,not_event_identity,False,False
CYS_SG_TARGET_ACQ_000019,targeted_event_level_metadata_expansion,covpdb_complex_card_for_seed_candidates,CovPDB complex card,covpdb_complex_page,future_controlled_annotation_acquisition,True,CYS_SG_TARGET_SEED_000007,1AYV,COVPDB952,IN6,pdb_id+covpdb_ligand_identifier,1AYV|COVPDB952,targetable_residue_class;warhead_type;covalent_mechanism;residue annotation,targeted_annotation_metadata_csv_json,pending_future_acquisition,not_event_identity,False,False
CYS_SG_TARGET_ACQ_000020,targeted_event_level_metadata_expansion,covpdb_ligand_pages_for_seed_candidates,CovPDB ligand pages,covpdb_ligand_page,future_controlled_annotation_acquisition,True,CYS_SG_TARGET_SEED_000007,1AYV,COVPDB952,IN6,covpdb_ligand_identifier,COVPDB952,ligand_name;ligand_het_code;warhead_type,targeted_annotation_metadata_csv_json,pending_future_acquisition,not_event_identity,False,False
CYS_SG_TARGET_ACQ_000021,targeted_event_level_metadata_expansion,rcsb_chemical_component_dictionary_crosscheck,RCSB Chemical Component Dictionary,rcsb_ccd_metadata,future_controlled_annotation_acquisition,True,CYS_SG_TARGET_SEED_000007,1AYV,COVPDB952,IN6,het_code,IN6,ligand_name;ligand atom naming cross-check,targeted_annotation_metadata_csv_json,pending_future_acquisition,not_event_identity,False,False
CYS_SG_TARGET_ACQ_000022,targeted_event_level_metadata_expansion,covpdb_complex_card_for_seed_candidates,CovPDB complex card,covpdb_complex_page,future_controlled_annotation_acquisition,True,CYS_SG_TARGET_SEED_000008,1AYW,COVPDB951,IN3,pdb_id+covpdb_ligand_identifier,1AYW|COVPDB951,targetable_residue_class;warhead_type;covalent_mechanism;residue annotation,targeted_annotation_metadata_csv_json,pending_future_acquisition,not_event_identity,False,False
CYS_SG_TARGET_ACQ_000023,targeted_event_level_metadata_expansion,covpdb_ligand_pages_for_seed_candidates,CovPDB ligand pages,covpdb_ligand_page,future_controlled_annotation_acquisition,True,CYS_SG_TARGET_SEED_000008,1AYW,COVPDB951,IN3,covpdb_ligand_identifier,COVPDB951,ligand_name;ligand_het_code;warhead_type,targeted_annotation_metadata_csv_json,pending_future_acquisition,not_event_identity,False,False
CYS_SG_TARGET_ACQ_000024,targeted_event_level_metadata_expansion,rcsb_chemical_component_dictionary_crosscheck,RCSB Chemical Component Dictionary,rcsb_ccd_metadata,future_controlled_annotation_acquisition,True,CYS_SG_TARGET_SEED_000008,1AYW,COVPDB951,IN3,het_code,IN3,ligand_name;ligand atom naming cross-check,targeted_annotation_metadata_csv_json,pending_future_acquisition,not_event_identity,False,False
