source_order,source_relative_path,sha256_expected,sha256_observed,tracked,regular_file,symlink,source_check_passed,blocking_reason
1,src/covalent_ext/covapie_bulk_download_admission_covalent_residue_locator_parser_provider_provenance_export_smoke.py,21be5237736a55fe87da9763c939a228bb81c52b2481602c9bcb4dd425b338bd,21be5237736a55fe87da9763c939a228bb81c52b2481602c9bcb4dd425b338bd,true,true,false,true,
2,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_parser_provider_provenance_export_smoke_v1/covapie_covalent_residue_locator_parser_provider_smoke_contract.csv,a354f457caa2aed03536fbe848cda6a95beafc93810a480b31ec18e4ed70780f,a354f457caa2aed03536fbe848cda6a95beafc93810a480b31ec18e4ed70780f,true,true,false,true,
3,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_parser_provider_provenance_export_smoke_v1/covapie_covalent_residue_locator_synthetic_case_audit.csv,1c7436924296c102b9875e662f3968a24aa31e1b3e37c2a7c6f9fde39b1f26da,1c7436924296c102b9875e662f3968a24aa31e1b3e37c2a7c6f9fde39b1f26da,true,true,false,true,
4,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_parser_provider_provenance_export_smoke_v1/covapie_covalent_residue_locator_source_boundary_audit.csv,d59eab7cc5584a687122cc350e67e39974956a1ebff7bd15f2a66c05b2ac104d,d59eab7cc5584a687122cc350e67e39974956a1ebff7bd15f2a66c05b2ac104d,true,true,false,true,
5,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_parser_provider_provenance_export_smoke_v1/covapie_covalent_residue_locator_safety_audit.csv,f6cc680501c0e9beb3285e14931bdb3f0a20a3c7b58ba487ae6998a9503c4acf,f6cc680501c0e9beb3285e14931bdb3f0a20a3c7b58ba487ae6998a9503c4acf,true,true,false,true,
6,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_parser_provider_provenance_export_smoke_v1/covapie_covalent_residue_locator_parser_provider_smoke_issue_inventory.csv,32f16ab8e8567d964324963d8cc6208bf08a9cf1c925adb2f37354f0f70040a8,32f16ab8e8567d964324963d8cc6208bf08a9cf1c925adb2f37354f0f70040a8,true,true,false,true,
7,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_parser_provider_provenance_export_smoke_v1/covapie_covalent_residue_locator_parser_provider_provenance_export_smoke_manifest.json,fa2ddb2b26a3eaa7ab52703a6a77f4ecc04d35b4cf806e97e52220b7be50cae1,fa2ddb2b26a3eaa7ab52703a6a77f4ecc04d35b4cf806e97e52220b7be50cae1,true,true,false,true,
8,src/covalent_ext/covapie_sample_preparation_execution_smoke.py,0bb67a720595ce8b5211ba56f6913f1d6333828846abba326af8b2f9965eca8b,0bb67a720595ce8b5211ba56f6913f1d6333828846abba326af8b2f9965eca8b,true,true,false,true,
9,src/covalent_ext/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke.py,1b04a32a580ef2dbb18048fe50f609bd188dd89c378d83474a1b32822f1e4932,1b04a32a580ef2dbb18048fe50f609bd188dd89c378d83474a1b32822f1e4932,true,true,false,true,
10,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/covapie_sample_preparation_execution_manifest.csv,6fb10b1cbde5a9aa251009b78d74b23081f7f9260e76ac5be7d4e9b8d2bee1e8,6fb10b1cbde5a9aa251009b78d74b23081f7f9260e76ac5be7d4e9b8d2bee1e8,true,true,false,true,
11,data/derived/covalent_small/covapie_sample_index_materialization_smoke_v0/sample_index.csv,2733991775edf5e075b461a9ba1872c7e2fe7f61f5d9614a2704b814c3f0e2c5,2733991775edf5e075b461a9ba1872c7e2fe7f61f5d9614a2704b814c3f0e2c5,true,true,false,true,
12,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/covapie_batch_sample_preparation_execution_manifest.csv,4335e1763a8c34da98590a35740eb78e481d190f1a1cac01cd9d0078c1f32091,4335e1763a8c34da98590a35740eb78e481d190f1a1cac01cd9d0078c1f32091,true,true,false,true,
