binding_row_id,source_pipeline,sample_preparation_input_id,sample_execution_id,pdb_id,ligand_comp_id,conn_id,covalent_residue_name,selected_residue_chain_id,selected_residue_index,selected_residue_atom_name,raw_target_relative_path,sample_artifact_root,covalent_event_table_relative_path,ligand_residue_atom_pair_table_relative_path,metadata_join_status,raw_path_persisted,conn_id_persisted,residue_locator_hint_persisted,partner_side_requires_raw_reparse,namespace_evidence_requires_raw_reparse,insertion_evidence_requires_raw_reparse,matched_atom_site_row_requires_raw_reparse,real_export_execution_allowed_current_step,binding_status,blocking_reason
REAL_LOCATOR_BINDING_000001,historical_sample_preparation_execution_smoke_v0,CYS_SG_SAMPLE_PREP_INPUT_000001,CYS_SG_SAMPLE_PREP_EXECUTION_000001,6BV6,JUG,covale1,CYS,A,346,SG,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/covalent_event_table.csv,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/ligand_residue_atom_pair_table.csv,one_to_one_metadata_join_complete,true,true,true,true,true,true,true,false,design_bound_raw_source_precondition_pending,REAL_RAW_SOURCE_SHA256_PRECONDITION_NOT_YET_FROZEN
REAL_LOCATOR_BINDING_000002,historical_sample_preparation_execution_smoke_v0,CYS_SG_SAMPLE_PREP_INPUT_000002,CYS_SG_SAMPLE_PREP_EXECUTION_000002,6BV8,JUG,covale1,CYS,A,353,SG,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV8_JUG,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV8_JUG/covalent_event_table.csv,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV8_JUG/ligand_residue_atom_pair_table.csv,one_to_one_metadata_join_complete,true,true,true,true,true,true,true,false,design_bound_raw_source_precondition_pending,REAL_RAW_SOURCE_SHA256_PRECONDITION_NOT_YET_FROZEN
REAL_LOCATOR_BINDING_000003,historical_sample_preparation_execution_smoke_v0,CYS_SG_SAMPLE_PREP_INPUT_000003,CYS_SG_SAMPLE_PREP_EXECUTION_000003,6BV5,JUG,covale1,CYS,A,353,SG,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV5_JUG,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV5_JUG/covalent_event_table.csv,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV5_JUG/ligand_residue_atom_pair_table.csv,one_to_one_metadata_join_complete,true,true,true,true,true,true,true,false,design_bound_raw_source_precondition_pending,REAL_RAW_SOURCE_SHA256_PRECONDITION_NOT_YET_FROZEN
REAL_LOCATOR_BINDING_000004,independent_group_expansion_batch_sample_preparation_execution_smoke_v0,CYS_SG_EXPANSION_PREP_000001,CYS_SG_EXPANSION_EXEC_000001,1AEC,E64,covale1,CYS,A,25,SG,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aec.cif,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AEC_E64,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AEC_E64/covalent_event_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AEC_E64/ligand_residue_atom_pair_table.csv,one_to_one_metadata_join_complete,true,true,true,true,true,true,true,false,design_bound_raw_source_precondition_pending,REAL_RAW_SOURCE_SHA256_PRECONDITION_NOT_YET_FROZEN
REAL_LOCATOR_BINDING_000005,independent_group_expansion_batch_sample_preparation_execution_smoke_v0,CYS_SG_EXPANSION_PREP_000002,CYS_SG_EXPANSION_EXEC_000002,1AIM,ZYA,covale1,CYS,A,25,SG,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aim.cif,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AIM_ZYA,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AIM_ZYA/covalent_event_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AIM_ZYA/ligand_residue_atom_pair_table.csv,one_to_one_metadata_join_complete,true,true,true,true,true,true,true,false,design_bound_raw_source_precondition_pending,REAL_RAW_SOURCE_SHA256_PRECONDITION_NOT_YET_FROZEN
REAL_LOCATOR_BINDING_000006,independent_group_expansion_batch_sample_preparation_execution_smoke_v0,CYS_SG_EXPANSION_PREP_000003,CYS_SG_EXPANSION_EXEC_000003,1AU3,PCM,covale1,CYS,A,25,SG,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU3_PCM,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU3_PCM/covalent_event_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU3_PCM/ligand_residue_atom_pair_table.csv,one_to_one_metadata_join_complete,true,true,true,true,true,true,true,false,design_bound_raw_source_precondition_pending,REAL_RAW_SOURCE_SHA256_PRECONDITION_NOT_YET_FROZEN
REAL_LOCATOR_BINDING_000007,independent_group_expansion_batch_sample_preparation_execution_smoke_v0,CYS_SG_EXPANSION_PREP_000004,CYS_SG_EXPANSION_EXEC_000004,1AU4,INP,covale1,CYS,A,25,SG,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au4.cif,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU4_INP,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU4_INP/covalent_event_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU4_INP/ligand_residue_atom_pair_table.csv,one_to_one_metadata_join_complete,true,true,true,true,true,true,true,false,design_bound_raw_source_precondition_pending,REAL_RAW_SOURCE_SHA256_PRECONDITION_NOT_YET_FROZEN
REAL_LOCATOR_BINDING_000008,independent_group_expansion_batch_sample_preparation_execution_smoke_v0,CYS_SG_EXPANSION_PREP_000005,CYS_SG_EXPANSION_EXEC_000005,1AYU,INA,covale1,CYS,A,25,SG,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayu.cif,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYU_INA,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYU_INA/covalent_event_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYU_INA/ligand_residue_atom_pair_table.csv,one_to_one_metadata_join_complete,true,true,true,true,true,true,true,false,design_bound_raw_source_precondition_pending,REAL_RAW_SOURCE_SHA256_PRECONDITION_NOT_YET_FROZEN
REAL_LOCATOR_BINDING_000009,independent_group_expansion_batch_sample_preparation_execution_smoke_v0,CYS_SG_EXPANSION_PREP_000006,CYS_SG_EXPANSION_EXEC_000006,1AYV,IN6,covale1,CYS,A,25,SG,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayv.cif,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYV_IN6,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYV_IN6/covalent_event_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYV_IN6/ligand_residue_atom_pair_table.csv,one_to_one_metadata_join_complete,true,true,true,true,true,true,true,false,design_bound_raw_source_precondition_pending,REAL_RAW_SOURCE_SHA256_PRECONDITION_NOT_YET_FROZEN
REAL_LOCATOR_BINDING_000010,independent_group_expansion_batch_sample_preparation_execution_smoke_v0,CYS_SG_EXPANSION_PREP_000007,CYS_SG_EXPANSION_EXEC_000007,1AYW,IN3,covale1,CYS,A,25,SG,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayw.cif,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYW_IN3,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYW_IN3/covalent_event_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYW_IN3/ligand_residue_atom_pair_table.csv,one_to_one_metadata_join_complete,true,true,true,true,true,true,true,false,design_bound_raw_source_precondition_pending,REAL_RAW_SOURCE_SHA256_PRECONDITION_NOT_YET_FROZEN
