safety_item,required_status,observed_status,safety_passed,blocking_reason
network_access_used_current_step,false,false,true,
external_registry_lookup_current_step,false,false,true,
ignored_raw_directory_traversed_current_step,false,false,true,
ignored_raw_structure_read_current_step,false,false,true,
ignored_raw_structure_stat_current_step,false,false,true,
ignored_raw_structure_hashed_current_step,false,false,true,
checkpoint_read_current_step,false,false,true,
artifact_reference_paths_followed_current_step,false,false,true,
historical_parser_modified_current_step,false,false,true,
expansion_parser_modified_current_step,false,false,true,
p5b_source_files_modified_current_step,false,false,true,
p3_p4_source_files_modified_current_step,false,false,true,
real_executor_implemented_current_step,false,false,true,
real_provider_rows_materialized_current_step,false,false,true,
admission_records_modified_current_step,false,false,true,
download_queue_materialized_current_step,false,false,true,
torch_imported,false,false,true,
numpy_imported,false,false,true,
model_forward_or_loss_called,false,false,true,
training_allowed,false,false,true,
