contract_item_id,contract_area,requirement,expected_value,observed_value,contract_passed,blocking_reason
P6A_C001,lineage,P5-B predecessor,covapie_bulk_download_admission_covalent_residue_locator_parser_provider_provenance_export_smoke_v1,covapie_bulk_download_admission_covalent_residue_locator_parser_provider_provenance_export_smoke_v1,true,
P6A_C002,lineage,exact source input count,12,12,true,
P6A_C003,lineage,P5-B cases columns and statuses,16|33|5|5|6,16|33|5|5|6,true,
P6A_C004,lineage,predecessor field count,22,22,true,
P6A_C005,lineage,canonical masks include B3,A|B|B2|B3|C,A|B|B2|B3|C,true,
P6A_C006,inventory,real sample total,11,11,true,
P6A_C007,inventory,historical binding count,3,3,true,
P6A_C008,inventory,expansion binding count,8,8,true,
P6A_C009,inventory,unique sample preparation IDs,11,11,true,
P6A_C010,inventory,unique PDB ligand identities,11,11,true,
P6A_C011,inventory,exact binding order,historical3_then_expansion_rank1_to8,historical3_then_expansion_rank1_to8,true,
P6A_C012,inventory,metadata joins complete,11,11,true,
P6A_C013,architecture,integration architecture,ADDITIVE_EXTERNAL_REAL_EXPORT_EXECUTOR,ADDITIVE_EXTERNAL_REAL_EXPORT_EXECUTOR,true,
P6A_C014,architecture,historical parser unchanged,true,true,true,
P6A_C015,architecture,expansion parser unchanged,true,true,true,
P6A_C016,architecture,existing artifacts are not overwritten,true,true,true,
P6A_C017,architecture,admission evaluator does not open raw,true,true,true,
P6A_C018,architecture,P5-B adapter reuse required,true,true,true,
P6A_C019,architecture,P4 provider reuse required,true,true,true,
P6A_C020,raw_boundary,raw paths are relative,11,11,true,
P6A_C021,raw_boundary,raw paths reject traversal,11,11,true,
P6A_C022,raw_boundary,raw SHA precondition required,true,true,true,
P6A_C023,raw_boundary,raw SHA preconditions frozen current step,0,0,true,
P6A_C024,raw_boundary,raw sources read current step,false,false,true,
P6A_C025,raw_boundary,network used current step,false,false,true,
P6A_C026,evidence,partner side must be reproven,11,11,true,
P6A_C027,evidence,namespace must be reproven,11,11,true,
P6A_C028,evidence,matched atom row must be reproven,11,11,true,
P6A_C029,evidence,insertion tokens must be reproven,11,11,true,
P6A_C030,evidence,distance inference forbidden,true,true,true,
P6A_C031,evidence,P4 provider maps five fields,true,true,true,
P6A_C032,output,future real sidecar columns,41,41,true,
P6A_C033,output,future real sidecar rows,11,11,true,
P6A_C034,output,sidecar remains independent,true,true,true,
P6A_C035,output,later sidecar QA required,true,true,true,
P6A_C036,output,later admission merge required,true,true,true,
P6A_C037,readiness,real integration design frozen,true,true,true,
P6A_C038,readiness,raw precondition gate ready,true,true,true,
P6A_C039,readiness,real executor implemented,false,false,true,
P6A_C040,readiness,real export executed,false,false,true,
P6A_C041,readiness,real samples remain eleven unknown zero absence,11|11|0,11|11|0,true,
P6A_C042,readiness,ADMIT_004 and E1 remain false,false|false,false|false,true,
P6A_C043,readiness,candidate evaluation remains false,false,false,true,
P6A_C044,readiness,bulk download remains false,false,false,true,
P6A_C045,readiness,training remains false,false|false,false|false,true,
P6A_C046,readiness,feature semantics audit remains required,true,true,true,
P6A_C047,readiness,real execution allowed count,0,0,true,
P6A_C048,readiness,atom name blocker remains independent,true,true,true,
