value_order,source_relative_path,source_sha256,field_name,observed_value,inferred_exact_builtin_type,empty_value,null_like,lifecycle_status,general_grammar_frozen,provenance_equivalence_inferred,value_audit_passed
1,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,assignment_id,COVAPIE_ASSIGNMENT_000001,str,false,false,historical_observed_value,false,false,true
2,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,assignment_id,COVAPIE_ASSIGNMENT_000002,str,false,false,historical_observed_value,false,false,true
3,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,assignment_id,COVAPIE_ASSIGNMENT_000003,str,false,false,historical_observed_value,false,false,true
4,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,assignment_id,COVAPIE_ASSIGNMENT_000004,str,false,false,historical_observed_value,false,false,true
5,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,assignment_id,COVAPIE_ASSIGNMENT_000005,str,false,false,historical_observed_value,false,false,true
6,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,assignment_id,COVAPIE_ASSIGNMENT_000006,str,false,false,historical_observed_value,false,false,true
7,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,assignment_id,COVAPIE_ASSIGNMENT_000007,str,false,false,historical_observed_value,false,false,true
8,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,assignment_id,COVAPIE_ASSIGNMENT_000008,str,false,false,historical_observed_value,false,false,true
9,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,assignment_id,COVAPIE_ASSIGNMENT_000009,str,false,false,historical_observed_value,false,false,true
10,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,assignment_id,COVAPIE_ASSIGNMENT_000010,str,false,false,historical_observed_value,false,false,true
