occurrence_order,term,source_relative_path,source_sha256,source_kind,row_key_function_location,occurrence_role,semantic_classification,current_authoritative_status,usable_by_future_evaluator,audit_result
1,ADMIT_010,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_009.py,80bdc66d2b0b2a1d761b0a1eb07f644f47535516598c3869f75a92cddafbdb39,production_source,line:1505,definition,candidate_or_rule,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
2,ADMIT_010,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_009.py,80bdc66d2b0b2a1d761b0a1eb07f644f47535516598c3869f75a92cddafbdb39,production_source,line:1640,definition,candidate_or_rule,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
3,ADMIT_010,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_009_v1/covapie_admit_001_to_009_runtime_manifest.json,b4d5092949292f27310a05ef2c5c77c8036e7ad0474a15b8a0574bc910931dfc,committed_manifest,line:175,manifest_evidence,candidate_or_rule,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
4,ADMIT_010,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_009_v1/covapie_admit_001_to_009_runtime_manifest.json,b4d5092949292f27310a05ef2c5c77c8036e7ad0474a15b8a0574bc910931dfc,committed_manifest,line:187,manifest_evidence,candidate_or_rule,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
5,ADMIT_010,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_009_v1/covapie_admit_001_to_009_runtime_manifest.json,b4d5092949292f27310a05ef2c5c77c8036e7ad0474a15b8a0574bc910931dfc,committed_manifest,line:204,manifest_evidence,candidate_or_rule,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
6,ADMIT_010,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_009_v1/covapie_admit_001_to_009_runtime_issue_inventory.csv,bb159a201f103a4cc04087978a7ca2a7bec7574fb9fc55d3cc0b059415f679e6,committed_derived_csv,row:LEAKAGE_GROUP_ASSIGNMENT_PROVENANCE_UNRESOLVED:line:7,artifact_or_contract_evidence,candidate_or_rule,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
7,leakage_group_id,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_009_v1/covapie_admit_001_to_009_runtime_issue_inventory.csv,bb159a201f103a4cc04087978a7ca2a7bec7574fb9fc55d3cc0b059415f679e6,committed_derived_csv,row:LEAKAGE_GROUP_ASSIGNMENT_PROVENANCE_UNRESOLVED:line:7,artifact_or_contract_evidence,candidate_or_rule,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
8,LEAKAGE_GROUP_ASSIGNMENT_PROVENANCE_UNRESOLVED,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_009_v1/covapie_admit_001_to_009_runtime_issue_inventory.csv,bb159a201f103a4cc04087978a7ca2a7bec7574fb9fc55d3cc0b059415f679e6,committed_derived_csv,row:LEAKAGE_GROUP_ASSIGNMENT_PROVENANCE_UNRESOLVED:line:7,artifact_or_contract_evidence,historical_artifact_or_contract,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
9,ADMIT_010,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_009_v1/covapie_admit_001_to_009_runtime_issue_inventory.csv,bb159a201f103a4cc04087978a7ca2a7bec7574fb9fc55d3cc0b059415f679e6,committed_derived_csv,row:UNIFIED_ADMISSION_RULE_COVERAGE_INCOMPLETE:line:11,artifact_or_contract_evidence,candidate_or_rule,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
10,ADMIT_010,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_009_v1/covapie_admit_001_to_009_runtime_issue_inventory.csv,bb159a201f103a4cc04087978a7ca2a7bec7574fb9fc55d3cc0b059415f679e6,committed_derived_csv,row:UNIFIED_ADMISSION_CROSS_RULE_AGGREGATION_SEMANTICS_UNRESOLVED:line:12,artifact_or_contract_evidence,candidate_or_rule,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
11,ADMIT_010,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_009_v1/covapie_admit_001_to_009_runtime_contract.csv,28afebbc6351d10ceeabedb5fdbe99bd3549b784a02682d9875a66b769f12bec,committed_derived_csv,row:BOUNDARY_003:line:77,artifact_or_contract_evidence,candidate_or_rule,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
12,ADMIT_010,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_009_v1/covapie_admit_001_to_009_registry_routing_and_oracle_audit.csv,6a3471a08d65e0d0d0f6c6cf258016a670e7f324ab5b9ea4a3b8cff7b1723ba9,committed_derived_csv,row:ADMIT_010:line:11,artifact_or_contract_evidence,candidate_or_rule,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
13,leakage_group_id,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_design_gate.py,79ecb3fb1084ddc161d1bec1a7db664ffbeda71952e31e4233317ecd487905d6,production_source,line:86,definition,candidate_or_rule,canonical_interface,true,observed_without_semantic_equivalence_promotion
14,ADMIT_010,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_design_gate.py,79ecb3fb1084ddc161d1bec1a7db664ffbeda71952e31e4233317ecd487905d6,production_source,line:107,definition,candidate_or_rule,canonical_interface,true,observed_without_semantic_equivalence_promotion
15,leakage_group_assignment_before_split,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_design_gate.py,79ecb3fb1084ddc161d1bec1a7db664ffbeda71952e31e4233317ecd487905d6,production_source,line:107,definition,candidate_or_rule,canonical_interface,true,observed_without_semantic_equivalence_promotion
16,leakage_group_assigned,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_design_gate.py,79ecb3fb1084ddc161d1bec1a7db664ffbeda71952e31e4233317ecd487905d6,production_source,line:107,definition,historical_artifact_or_contract,canonical_interface,false,observed_without_semantic_equivalence_promotion
17,leakage_group_unassigned,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_design_gate.py,79ecb3fb1084ddc161d1bec1a7db664ffbeda71952e31e4233317ecd487905d6,production_source,line:107,definition,historical_artifact_or_contract,canonical_interface,false,observed_without_semantic_equivalence_promotion
18,ADMIT_010,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,committed_derived_csv,row:ADMIT_010:line:11,artifact_or_contract_evidence,candidate_or_rule,canonical_interface,true,observed_without_semantic_equivalence_promotion
19,leakage_group_assignment_before_split,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,committed_derived_csv,row:ADMIT_010:line:11,artifact_or_contract_evidence,candidate_or_rule,canonical_interface,true,observed_without_semantic_equivalence_promotion
20,leakage_group_assigned,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,committed_derived_csv,row:ADMIT_010:line:11,artifact_or_contract_evidence,historical_artifact_or_contract,canonical_interface,false,observed_without_semantic_equivalence_promotion
21,leakage_group_unassigned,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,committed_derived_csv,row:ADMIT_010:line:11,artifact_or_contract_evidence,historical_artifact_or_contract,canonical_interface,false,observed_without_semantic_equivalence_promotion
22,leakage_group_id,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_schema_contract.csv,44ca53db60e210ffe1200d32f449c1fd94107f2775ed19b9c14f3a1e982e9710,committed_derived_csv,row:leakage_group_id:line:14,artifact_or_contract_evidence,candidate_or_rule,canonical_interface,true,observed_without_semantic_equivalence_promotion
23,leakage_group_id,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate.py,5fcc47a764a8a87e110350359e7c17056773c7ffd659b9094b6433beded2a9f8,production_source,line:75,definition,candidate_or_rule,canonical_interface,true,observed_without_semantic_equivalence_promotion
24,ADMIT_010,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate.py,5fcc47a764a8a87e110350359e7c17056773c7ffd659b9094b6433beded2a9f8,production_source,line:91,definition,candidate_or_rule,canonical_interface,true,observed_without_semantic_equivalence_promotion
25,leakage_group_assignment_before_split,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate.py,5fcc47a764a8a87e110350359e7c17056773c7ffd659b9094b6433beded2a9f8,production_source,line:91,definition,candidate_or_rule,canonical_interface,true,observed_without_semantic_equivalence_promotion
26,ADMIT_010,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate.py,5fcc47a764a8a87e110350359e7c17056773c7ffd659b9094b6433beded2a9f8,production_source,line:223,definition,candidate_or_rule,canonical_interface,true,observed_without_semantic_equivalence_promotion
27,leakage_group_assignment_provenance_contract,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate.py,5fcc47a764a8a87e110350359e7c17056773c7ffd659b9094b6433beded2a9f8,production_source,line:223,definition,caller_context,canonical_interface,true,observed_without_semantic_equivalence_promotion
28,LEAKAGE_GROUP_ASSIGNMENT_PROVENANCE_UNRESOLVED,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate.py,5fcc47a764a8a87e110350359e7c17056773c7ffd659b9094b6433beded2a9f8,production_source,line:223,definition,historical_artifact_or_contract,canonical_interface,false,observed_without_semantic_equivalence_promotion
29,ADMIT_010,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate.py,5fcc47a764a8a87e110350359e7c17056773c7ffd659b9094b6433beded2a9f8,production_source,line:246,definition,candidate_or_rule,canonical_interface,true,observed_without_semantic_equivalence_promotion
30,leakage_group_id,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate.py,5fcc47a764a8a87e110350359e7c17056773c7ffd659b9094b6433beded2a9f8,production_source,line:246,definition,candidate_or_rule,canonical_interface,true,observed_without_semantic_equivalence_promotion
31,leakage_group_assignment_provenance_contract,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate.py,5fcc47a764a8a87e110350359e7c17056773c7ffd659b9094b6433beded2a9f8,production_source,line:246,definition,caller_context,canonical_interface,true,observed_without_semantic_equivalence_promotion
32,leakage_group_id,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate.py,5fcc47a764a8a87e110350359e7c17056773c7ffd659b9094b6433beded2a9f8,production_source,line:269,definition,candidate_or_rule,canonical_interface,true,observed_without_semantic_equivalence_promotion
33,leakage_group_assignment_provenance_contract,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate.py,5fcc47a764a8a87e110350359e7c17056773c7ffd659b9094b6433beded2a9f8,production_source,line:269,definition,caller_context,canonical_interface,true,observed_without_semantic_equivalence_promotion
34,LEAKAGE_GROUP_ASSIGNMENT_PROVENANCE_UNRESOLVED,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_implementation_precondition_manifest.json,2304b5754d8052b4b186981a98c12f259608a3492947e069c2afab84084a0d52,committed_manifest,line:22,manifest_evidence,historical_artifact_or_contract,canonical_interface,false,observed_without_semantic_equivalence_promotion
35,ADMIT_010,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_rule_executability_matrix.csv,a7782e48cac282b047a392ee20b5b26a72fa1b2208a3889edf8b1c8af923921b,committed_derived_csv,row:ADMIT_010:line:11,artifact_or_contract_evidence,candidate_or_rule,canonical_interface,true,observed_without_semantic_equivalence_promotion
