boundary_item,current_step_status,execution_boundary_passed,blocking_reasons
acquisition_qa_gate,executed_readonly_qa_only,True,
step13as_manifest_read,executed_manifest_read_only,True,
step13as_fetch_audit_read,executed_csv_read_only,True,
step13as_html_safety_audit_read,executed_csv_read_only,True,
step13as_label_inventory_read,executed_csv_read_only,True,
step13as_event_field_probe_read,executed_csv_read_only,True,
step13as_event_key_resolution_read,executed_csv_read_only,True,
step13as_snippet_audit_read,executed_csv_read_only,True,
external_network_access,not_executed_or_not_allowed,True,
urllib_use,not_executed_or_not_allowed,True,
complex_card_fetch,not_executed_or_not_allowed,True,
metadata_download,not_executed_or_not_allowed,True,
raw_structure_download,not_executed_or_not_allowed,True,
raw_ligand_download,not_executed_or_not_allowed,True,
raw_data_read,not_executed_or_not_allowed,True,
sdf_read,not_executed_or_not_allowed,True,
pdb_read,not_executed_or_not_allowed,True,
mmcif_read,not_executed_or_not_allowed,True,
gzip_open,not_executed_or_not_allowed,True,
rdkit_use,not_executed_or_not_allowed,True,
biopdb_use,not_executed_or_not_allowed,True,
gemmi_use,not_executed_or_not_allowed,True,
candidate_metadata_materialization,not_executed_or_not_allowed,True,
allowlist_materialization,not_executed_or_not_allowed,True,
torch_import,not_executed_or_not_allowed,True,
model_forward,not_executed_or_not_allowed,True,
training_claim,not_executed_or_not_allowed,True,
