sample_preparation_input_id,pdb_id,expected_het_id,atom_site_id,type_symbol,atom_name,ligand_comp_id,auth_asym_id,auth_seq_id,label_asym_id,label_seq_id,x,y,z,occupancy,altloc,model_num,is_covalent_ligand_atom,source_raw_file
CYS_SG_EXPANSION_PREP_000008,1B02,UFP,2316,N,N1,UFP,A,280,B,,-5.903,48.048,8.011,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif
CYS_SG_EXPANSION_PREP_000008,1B02,UFP,2317,C,C2,UFP,A,280,B,,-5.130,46.876,8.195,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif
CYS_SG_EXPANSION_PREP_000008,1B02,UFP,2318,N,N3,UFP,A,280,B,,-3.759,46.827,7.786,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif
CYS_SG_EXPANSION_PREP_000008,1B02,UFP,2319,C,C4,UFP,A,280,B,,-3.064,47.850,7.031,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif
CYS_SG_EXPANSION_PREP_000008,1B02,UFP,2320,C,C5,UFP,A,280,B,,-3.912,49.097,6.366,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif
CYS_SG_EXPANSION_PREP_000008,1B02,UFP,2321,C,C6,UFP,A,280,B,,-5.135,49.379,7.486,1.00,,1,True,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif
CYS_SG_EXPANSION_PREP_000008,1B02,UFP,2322,O,O2,UFP,A,280,B,,-5.623,45.774,8.460,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif
CYS_SG_EXPANSION_PREP_000008,1B02,UFP,2323,O,O4,UFP,A,280,B,,-1.826,47.905,6.979,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif
CYS_SG_EXPANSION_PREP_000008,1B02,UFP,2324,F,F5,UFP,A,280,B,,-3.203,50.180,6.092,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif
CYS_SG_EXPANSION_PREP_000008,1B02,UFP,2325,C,C1',UFP,A,280,B,,-7.379,48.124,8.278,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif
CYS_SG_EXPANSION_PREP_000008,1B02,UFP,2326,C,C2',UFP,A,280,B,,-7.838,48.046,9.721,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif
CYS_SG_EXPANSION_PREP_000008,1B02,UFP,2327,C,C3',UFP,A,280,B,,-9.178,48.754,9.553,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif
CYS_SG_EXPANSION_PREP_000008,1B02,UFP,2328,C,C4',UFP,A,280,B,,-9.012,49.779,8.473,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif
CYS_SG_EXPANSION_PREP_000008,1B02,UFP,2329,O,O3',UFP,A,280,B,,-10.154,47.799,9.183,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif
CYS_SG_EXPANSION_PREP_000008,1B02,UFP,2330,O,O4',UFP,A,280,B,,-7.961,49.292,7.649,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif
CYS_SG_EXPANSION_PREP_000008,1B02,UFP,2331,C,C5',UFP,A,280,B,,-8.662,51.251,8.797,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif
CYS_SG_EXPANSION_PREP_000008,1B02,UFP,2332,O,O5',UFP,A,280,B,,-9.811,51.817,9.504,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif
CYS_SG_EXPANSION_PREP_000008,1B02,UFP,2333,P,P,UFP,A,280,B,,-9.596,52.462,10.929,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif
CYS_SG_EXPANSION_PREP_000008,1B02,UFP,2334,O,O1P,UFP,A,280,B,,-8.722,53.633,10.743,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif
CYS_SG_EXPANSION_PREP_000008,1B02,UFP,2335,O,O2P,UFP,A,280,B,,-9.176,51.429,11.850,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif
CYS_SG_EXPANSION_PREP_000008,1B02,UFP,2336,O,O3P,UFP,A,280,B,,-11.114,52.766,11.278,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif
