failure_case,mutation_signature,mutated_field,mutated_value_json,expected_reason,observed_reasons,expected_reason_verified,fails_closed,proposal_row_count,bridge_enumeration_row_count,readiness_row_count,SMARTS_ready,role_ready,mask_ready,model_ready,training_ready,verified
BASE source missing,326fae3362dcbb94fceea7804d6fd21282e9540c739e47d7e8417c1025e91195,base_source_present,false,BASE_source_missing,BASE_source_missing,true,true,0,0,0,false,false,false,false,false,true
BASE source SHA mismatch,e8f06be185e4b8868c3f6c9d3b676ddc92e6419cbf419f1624c87880509f1f1e,base_source_sha_matches,false,BASE_source_SHA_mismatch,BASE_source_SHA_mismatch,true,true,0,0,0,false,false,false,false,false,true
predecessor transaction not succeeded,a9147c9c09d599609049d19b348f8e708734df225233270586aadf405f5ffe6c,predecessor_transaction_succeeded,false,predecessor_transaction_not_succeeded,predecessor_transaction_not_succeeded,true,true,0,0,0,false,false,false,false,false,true
predecessor proposal readiness not 7,d0261feeced99aaeffdd4c299327ac16ef45c17972778321d3dea537612ea734,predecessor_proposal_readiness_count,6,predecessor_proposal_readiness_not_7,predecessor_proposal_readiness_not_7,true,true,0,0,0,false,false,false,false,false,true
class count not 7,846af21b1954c8d202a6928ee057527866538d11c6c44516fdfdcedbfcbcffb1,class_count,6,class_count_not_7,class_count_not_7,true,true,0,0,0,false,false,false,false,false,true
sample count not 11,578e1888485c8364caaee854d134be53225dcb738f31bda77ed9245fa84ed5cd,sample_count,10,sample_count_not_11,sample_count_not_11,true,true,0,0,0,false,false,false,false,false,true
duplicate class identity,29592b2ffb920b4d67e2ea48f8901e2910c7cd8cbdcf1ccac45cbb480c89a820,duplicate_class_identity,true,duplicate_class_identity,duplicate_class_identity,true,true,0,0,0,false,false,false,false,false,true
duplicate sample identity,f37861c53dca257966ab9652d2486d91a30c87082625e52433f4020be56cca78,duplicate_sample_identity,true,duplicate_sample_identity,duplicate_sample_identity,true,true,0,0,0,false,false,false,false,false,true
class-rule-family link mismatch,b5d442da082b740d44fa47bd5ae005dd09b6c838007463a8f81ce10add61badd,class_rule_family_links_match,false,class_rule_family_link_mismatch,class_rule_family_link_mismatch,true,true,0,0,0,false,false,false,false,false,true
sample-class-rule-family link mismatch,4436f4c5b44cf0fe47521efee6fbeade85d2f7a12d590f7cce3f7c26543d9091,sample_class_rule_family_links_match,false,sample_class_rule_family_link_mismatch,sample_class_rule_family_link_mismatch,true,true,0,0,0,false,false,false,false,false,true
parent atom authority missing,26852519c7e705faef520b52b2eb4c48650bc5437682116b4a62dd0f6abd660c,parent_atom_authority_present,false,parent_atom_authority_missing,parent_atom_authority_missing,true,true,0,0,0,false,false,false,false,false,true
parent bond authority missing,e4bdea93abf9fc1c3db80d858475204dabd2c0c24e99338b8bb8e406635a5887,parent_bond_authority_present,false,parent_bond_authority_missing,parent_bond_authority_missing,true,true,0,0,0,false,false,false,false,false,true
parent graph SHA mismatch,20a597620894fe21f11622a0f9da6690d4504035007cb2234975cbf3c510aa62,parent_graph_sha_matches,false,parent_graph_SHA_mismatch,parent_graph_SHA_mismatch,true,true,0,0,0,false,false,false,false,false,true
duplicate parent atom ID,bd421f0d64bc51cc5d5192cde271868bf1182f84d076cd13714544421546d4bc,duplicate_parent_atom_id,true,duplicate_parent_atom_ID,duplicate_parent_atom_ID,true,true,0,0,0,false,false,false,false,false,true
duplicate parent bond,10f1db1bb88f59c5ec25bff51a6907b7e9f5a924af8177f839523eef8b78aba5,duplicate_parent_bond,true,duplicate_parent_bond,duplicate_parent_bond,true,true,0,0,0,false,false,false,false,false,true
parent bond endpoint missing,e3c6e2763ca1870facf70f36ed8ce382aa1255225e7d44c864e087aecf1a5e30,parent_bond_endpoint_present,false,parent_bond_endpoint_missing,parent_bond_endpoint_missing,true,true,0,0,0,false,false,false,false,false,true
parent graph disconnected,52f15ee5dcf7005b6e3878e3ebebf6ed8a9201ae02db8bf93611f3fac9c01103,parent_graph_connected,false,parent_graph_disconnected,parent_graph_disconnected,true,true,0,0,0,false,false,false,false,false,true
reactive parent mapping not exact-one,b1bde06b547dc3d500074673c727ed44324be4f3ed62ed87a11c33cbb5cd9592,reactive_parent_mapping_exact_one,false,reactive_parent_mapping_not_exact_one,reactive_parent_mapping_not_exact_one,true,true,0,0,0,false,false,false,false,false,true
local graph JSON/SHA mismatch,06934651bf5ac6afd49e340b109eb03182cae4e54dc820ca3d2840322ccb40af,local_graph_json_sha_matches,false,local_graph_JSON_SHA_mismatch,local_graph_JSON_SHA_mismatch,true,true,0,0,0,false,false,false,false,false,true
local reaction-center degree mismatch,88f0ec256f4fc430f9a9dc838cf76846ada978a1393688dc3cf58d55a7f9cfb3,local_reaction_center_degree_matches,false,local_reaction_center_degree_mismatch,local_reaction_center_degree_mismatch,true,true,0,0,0,false,false,false,false,false,true
local neighbor multiset mismatch,f723247a0589f8d4f0052516b9e00c9e24b74667bf935674bc2b76f8421f8817,local_neighbor_multiset_matches,false,local_neighbor_multiset_mismatch,local_neighbor_multiset_mismatch,true,true,0,0,0,false,false,false,false,false,true
leaving-group evidence mismatch,abe824c8f42030b99e6b7920068acedfb4423db4a630ef37ba6c75cadd0a4e6c,leaving_group_evidence_matches,false,leaving_group_evidence_mismatch,leaving_group_evidence_mismatch,true,true,0,0,0,false,false,false,false,false,true
bridge enumeration nondeterministic,ef97480ad2233957d959da2aad255b9d17deea0e81cdaf8d53e05d6bc1dec2dc,bridge_enumeration_deterministic,false,bridge_enumeration_nondeterministic,bridge_enumeration_nondeterministic,true,true,0,0,0,false,false,false,false,false,true
bridge candidate index non-contiguous,7debd99d23df612ba0d8c4b7212cedbbde41c63e119b395f0334cc36f4d4063a,bridge_candidate_indices_contiguous,false,bridge_candidate_index_non_contiguous,bridge_candidate_index_non_contiguous,true,true,0,0,0,false,false,false,false,false,true
candidate missing local reaction center,2c92bf41c709e564305434bff5c282b6368653dc584b87e710fb67d8cc8e7e9f,candidate_contains_local_center,false,candidate_missing_local_reaction_center,candidate_missing_local_reaction_center,true,true,0,0,0,false,false,false,false,false,true
candidate missing required leaving group,7d1d9fa47142c697ad8a4d9a081564f91671f92acbe85150b728bb0a76380722,candidate_contains_leaving_groups,false,candidate_missing_required_leaving_group,candidate_missing_required_leaving_group,true,true,0,0,0,false,false,false,false,false,true
candidate warhead side disconnected,26f0a175f78035613b32820fc4e4b5195f0b39d8f8d34fc82afab79bec3560bf,candidate_warhead_side_connected,false,candidate_warhead_side_disconnected,candidate_warhead_side_disconnected,true,true,0,0,0,false,false,false,false,false,true
candidate boundary not exact-one,b1d08d5acee4175b00c43a7ee63b4997214f0809c8b950d46b362cc072e5bf72,candidate_boundary_exact_one,false,candidate_boundary_not_exact_one,candidate_boundary_not_exact_one,true,true,0,0,0,false,false,false,false,false,true
auto-exact status with candidate count not 1,cf092980a20d43004e449f0a9c23c6b5d1a21a4e4008f9f91cdfba7c2d028516,auto_exact_candidate_count_valid,false,auto_exact_status_candidate_count_not_1,auto_exact_status_candidate_count_not_1,true,true,0,0,0,false,false,false,false,false,true
ambiguous status with candidate count <=1,b7e551c15f2000c1e7ce79c1946f7add977cdf875963750c2508e82a9575cf3d,ambiguous_candidate_count_valid,false,ambiguous_status_candidate_count_not_multiple,ambiguous_status_candidate_count_not_multiple,true,true,0,0,0,false,false,false,false,false,true
quarantined status with candidate count not 0,c893b69eb21a018d4aa679a57a280cac240e494f8a351c52c37e65e751c7c245,quarantined_candidate_count_valid,false,quarantined_status_candidate_count_not_0,quarantined_status_candidate_count_not_0,true,true,0,0,0,false,false,false,false,false,true
ambiguous/quarantined proposal fields prefilled,c32ebd1501b79da7d7fbdd2d4d7208346edc68db1b40f7f0648451fa1c795fc7,unresolved_proposal_fields_blank,false,ambiguous_or_quarantined_proposal_fields_prefilled,ambiguous_or_quarantined_proposal_fields_prefilled,true,true,0,0,0,false,false,false,false,false,true
proposal field/type/hash invalid,aef4423d53a5cfc3282d1743ed456261b21205a535b188ac9ae6f99322bb10ae,proposal_record_valid,false,proposal_field_type_or_hash_invalid,proposal_field_type_or_hash_invalid,true,true,0,0,0,false,false,false,false,false,true
bridge candidate field/type/hash invalid,9e6b3e52384e988cf7e40459599cdc9d38ced37be4650b4e3fa3d19377db8e5d,bridge_candidate_record_valid,false,bridge_candidate_field_type_or_hash_invalid,bridge_candidate_field_type_or_hash_invalid,true,true,0,0,0,false,false,false,false,false,true
partial materialization attempted,e685981b2dd2c1e6221fbac105ad96724f925017942bec22811a8c51bfcbaad2,partial_materialization_attempted,true,partial_materialization_attempted,partial_materialization_attempted,true,true,0,0,0,false,false,false,false,false,true
downstream readiness prematurely opened,7e9e615d996ffe0dfa8582b70daedb3726643e01408d864af045f24bd4f9aa41,downstream_readiness_opened,true,downstream_readiness_prematurely_opened,downstream_readiness_prematurely_opened,true,true,0,0,0,false,false,false,false,false,true
