proposal_version,sample_index_row_id,pdb_id,ligand_comp_id,warhead_type_candidate_class_index_0based,warhead_type_candidate_class_id,reaction_family_id,warhead_rule_id,component_parent_graph_sha256,ligand_reactive_parent_atom_id,local_reaction_center_atom_ids,local_reaction_center_bond_ids,proposed_pre_reaction_warhead_atom_ids,proposed_warhead_attachment_atom_id,proposed_nonwarhead_boundary_atom_id,proposed_attachment_boundary_bond_order,required_leaving_group_atom_ids,proposal_method,proposal_status,ambiguity_reasons,source_assignment_record_sha256,proposal_record_sha256
covapie_current11_pre_reaction_warhead_atom_set_and_attachment_boundary_proposal_v1,CYS_SG_SAMPLE_INDEX_000001,6BV6,JUG,3,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_8B640E1A031138F0,COVAPIE_CYS_SG_REACTION_FAMILY_6A5C7B2B614B5F52,COVAPIE_CYS_SG_WARHEAD_RULE_8B640E1A031138F0,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,CAG,"[""CAF"",""CAG"",""CAK""]","[""CAF|CAG|double"",""CAG|CAK|single""]",[],,,,[],exhaustive_exact_one_boundary_bridge_cut_enumeration_v1,ambiguous_candidate,"[""multiple_admissible_exact_one_boundary_candidates""]",981df333b0699a4924525fbed9f62c7c306f72a0cffcf1086299311e7a27650b,ae49a06e1da0a33c01912207dfd53d9d1a1d9d62b7a3a449f9976e9a456557c4
covapie_current11_pre_reaction_warhead_atom_set_and_attachment_boundary_proposal_v1,CYS_SG_SAMPLE_INDEX_000002,6BV8,JUG,3,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_8B640E1A031138F0,COVAPIE_CYS_SG_REACTION_FAMILY_6A5C7B2B614B5F52,COVAPIE_CYS_SG_WARHEAD_RULE_8B640E1A031138F0,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,CAG,"[""CAF"",""CAG"",""CAK""]","[""CAF|CAG|double"",""CAG|CAK|single""]",[],,,,[],exhaustive_exact_one_boundary_bridge_cut_enumeration_v1,ambiguous_candidate,"[""multiple_admissible_exact_one_boundary_candidates""]",df69c5543863b0fbf1df7877baa35e15f8f58b6d72ab3eecfe0a5101c3a4802d,0f9b05a0a6594d1c7469e3de39e510f79158e1b3247f5398628e8fd07236efae
covapie_current11_pre_reaction_warhead_atom_set_and_attachment_boundary_proposal_v1,CYS_SG_SAMPLE_INDEX_000003,6BV5,JUG,3,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_8B640E1A031138F0,COVAPIE_CYS_SG_REACTION_FAMILY_6A5C7B2B614B5F52,COVAPIE_CYS_SG_WARHEAD_RULE_8B640E1A031138F0,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,CAG,"[""CAF"",""CAG"",""CAK""]","[""CAF|CAG|double"",""CAG|CAK|single""]",[],,,,[],exhaustive_exact_one_boundary_bridge_cut_enumeration_v1,ambiguous_candidate,"[""multiple_admissible_exact_one_boundary_candidates""]",9d72fbcbe8ea89e94eeda5538f1a04796f1c91bf55786d6e1e4414b3eb6c08f9,a39932ff7a571d4f52eaccdc5699e72afd9366e3c7f99aa9c550c5e999f34643
covapie_current11_pre_reaction_warhead_atom_set_and_attachment_boundary_proposal_v1,CYS_SG_SAMPLE_INDEX_000004,1AEC,E64,2,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_3B7FB1395768B690,COVAPIE_CYS_SG_REACTION_FAMILY_4C9251579704AD85,COVAPIE_CYS_SG_WARHEAD_RULE_3B7FB1395768B690,1f220cbfcc2f98d0b6f2ca7d9779c67cfd6f0b622c789fc6fe3e9d81ea218e31,C2,"[""C1"",""C2"",""C3""]","[""C1|C2|single"",""C2|C3|single""]",[],,,,[],exhaustive_exact_one_boundary_bridge_cut_enumeration_v1,ambiguous_candidate,"[""multiple_admissible_exact_one_boundary_candidates""]",d44433600b5b59f34f5d1ade429edb53ea92f48704f2bca63ff3af417e889de5,0f4d743da32b4d0ac1deb909249a118d13bbb6bc590d6022a1b4f85e43ea6a68
covapie_current11_pre_reaction_warhead_atom_set_and_attachment_boundary_proposal_v1,CYS_SG_SAMPLE_INDEX_000005,1AIM,ZYA,6,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_EE022EB419200D14,COVAPIE_CYS_SG_REACTION_FAMILY_DC230CD72B1283D2,COVAPIE_CYS_SG_WARHEAD_RULE_EE022EB419200D14,3aeb30f23baca71d3bc2be918814015ebc55ad159a2f2a00751f3d757fee23f9,CM,"[""CM"",""CT"",""F1""]","[""CM|CT|single"",""CM|F1|single""]",[],,,,"[""F1""]",exhaustive_exact_one_boundary_bridge_cut_enumeration_v1,ambiguous_candidate,"[""multiple_admissible_exact_one_boundary_candidates""]",6937aeb83807b98d70c5fbac0dfc3b35b45b37623bc9d98bf931798fc50e94b2,b05ec87dc03b0b4015ceaf90f55efa9156bdc9d3ff275ec5392064bfff133216
covapie_current11_pre_reaction_warhead_atom_set_and_attachment_boundary_proposal_v1,CYS_SG_SAMPLE_INDEX_000006,1AU3,PCM,1,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_1D1D9C797859191F,COVAPIE_CYS_SG_REACTION_FAMILY_E02CDE030B1009B1,COVAPIE_CYS_SG_WARHEAD_RULE_1D1D9C797859191F,242ed3f61168a2e8f38b179bc1e90b4131d75fba516aad185cd8a9c0010a91eb,C22,"[""C19"",""C22"",""C42"",""O23""]","[""C19|C22|single"",""C22|C42|single"",""C22|O23|double""]",[],,,,[],exhaustive_exact_one_boundary_bridge_cut_enumeration_v1,ambiguous_candidate,"[""multiple_admissible_exact_one_boundary_candidates""]",1fd0447be512594190408c25246efd9780955ef5ff9223967a26dfc0e9eb6fbd,d84615f2e92fdf5a12f76da74c6d9dba2c01e529169bc1005720d893c779414b
covapie_current11_pre_reaction_warhead_atom_set_and_attachment_boundary_proposal_v1,CYS_SG_SAMPLE_INDEX_000007,1AU4,INP,1,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_1D1D9C797859191F,COVAPIE_CYS_SG_REACTION_FAMILY_E02CDE030B1009B1,COVAPIE_CYS_SG_WARHEAD_RULE_1D1D9C797859191F,e3c89c1988101e5064c905158b2332adfcf833424957769fa36750d9e5bfdbb8,C17,"[""C16"",""C17"",""C18"",""O42""]","[""C16|C17|single"",""C17|C18|single"",""C17|O42|double""]",[],,,,[],exhaustive_exact_one_boundary_bridge_cut_enumeration_v1,ambiguous_candidate,"[""multiple_admissible_exact_one_boundary_candidates""]",d2c66d96c8b2ec5be413cb8bd0a612a49ba42345c7f78d050f44afa16c01e2d1,45befa3c1a48637e94e8d050a7e74e163c709badfb9ca413bfa2f513696984f1
covapie_current11_pre_reaction_warhead_atom_set_and_attachment_boundary_proposal_v1,CYS_SG_SAMPLE_INDEX_000008,1AYU,INA,0,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_106441A31FA4F951,COVAPIE_CYS_SG_REACTION_FAMILY_11AA213C661B48E3,COVAPIE_CYS_SG_WARHEAD_RULE_106441A31FA4F951,9301ce1298133a5f1c3b22bee503288fd3f3b2492a048049d4e5419ef4a23788,C21,"[""C21"",""N19"",""N41"",""O22""]","[""C21|N19|single"",""C21|N41|single"",""C21|O22|double""]",[],,,,[],exhaustive_exact_one_boundary_bridge_cut_enumeration_v1,ambiguous_candidate,"[""multiple_admissible_exact_one_boundary_candidates""]",82cb64369ad96f246f5c428efe21a89585d4e70d50d4a59ed853525df53dd0cc,621ef4df29b12a62399e50557af72d59a4198fd5ae44559002f349f81e8dbd36
covapie_current11_pre_reaction_warhead_atom_set_and_attachment_boundary_proposal_v1,CYS_SG_SAMPLE_INDEX_000009,1AYV,IN6,5,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_DF48FCEE8872B92A,COVAPIE_CYS_SG_REACTION_FAMILY_888A8E40AB92B0F8,COVAPIE_CYS_SG_WARHEAD_RULE_DF48FCEE8872B92A,5051c93e26f89216eeceffcc7d7fbf600cf26343910a46daca9f5a9453aab8d6,C21,"[""C20"",""C21"",""NK'"",""O22""]","[""C20|C21|single"",""C21|NK'|single"",""C21|O22|double""]",[],,,,[],exhaustive_exact_one_boundary_bridge_cut_enumeration_v1,ambiguous_candidate,"[""multiple_admissible_exact_one_boundary_candidates""]",f1812c89389dc83c7c69f6557df388c07c4cf246d054b925a22d6ee9e44c8eed,d6ab01a666da79dfec546538f8d028bc0e4c6f1a1ba827e169b82feac1782fa0
covapie_current11_pre_reaction_warhead_atom_set_and_attachment_boundary_proposal_v1,CYS_SG_SAMPLE_INDEX_000010,1AYW,IN3,0,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_106441A31FA4F951,COVAPIE_CYS_SG_REACTION_FAMILY_11AA213C661B48E3,COVAPIE_CYS_SG_WARHEAD_RULE_106441A31FA4F951,764e7b55f9a4fdb731d1417afbe4bea3908976fc4d075d017e535798dfa1b995,C21,"[""C21"",""N20"",""NK'"",""O22""]","[""C21|N20|single"",""C21|NK'|single"",""C21|O22|double""]",[],,,,[],exhaustive_exact_one_boundary_bridge_cut_enumeration_v1,ambiguous_candidate,"[""multiple_admissible_exact_one_boundary_candidates""]",e02fc64e2b1880ecad83fa4400a9c19cb04055bb8a4054abd9b5d55b370d1d6c,e1f491c7d4b9e68dd9fb6a76a7e34792f72ff0afdf84f374660731b644682731
