contract_id,contract_area,contract_statement,expected_value,observed_value,contract_passed
TYPE_001,type_identity,result type identity,true,true,true
TYPE_002,type_identity,dispatch error type identity,true,true,true
TYPE_003,type_identity,Exact13 fields,schema_version|admission_rule_id|admission_rule_name|outcome|passed|blocks_candidate|reason|normalized_values|validated_candidate_fields|consumed_candidate_fields|consumed_context_items|evaluator_io_used|adapter_id,schema_version|admission_rule_id|admission_rule_name|outcome|passed|blocks_candidate|reason|normalized_values|validated_candidate_fields|consumed_candidate_fields|consumed_context_items|evaluator_io_used|adapter_id,true
TYPE_004,type_identity,Exact6 fields,code|admission_rule_id|known_rule|callable_discovered|adapter_ready|reason,code|admission_rule_id|known_rule|callable_discovered|adapter_ready|reason,true
TYPE_005,type_identity,result schema,covapie_unified_admission_rule_evaluation_v1,covapie_unified_admission_rule_evaluation_v1,true
TYPE_006,type_identity,outcome vocabulary,passed|blocked|invalid|rejected,passed|blocked|invalid|rejected,true
API_001,public_api,signature,"(admission_rule_id: 'str', candidate_record: 'Mapping[str, object]', *, batch_context: 'Mapping[str, object] | None' = None, evaluation_context: 'Mapping[str, object] | None' = None, download_result_context: 'Mapping[str, object] | None' = None, stage_authorization_context: 'Mapping[str, object] | None' = None) -> 'UnifiedAdmissionRuleEvaluation'","(admission_rule_id: 'str', candidate_record: 'Mapping[str, object]', *, batch_context: 'Mapping[str, object] | None' = None, evaluation_context: 'Mapping[str, object] | None' = None, download_result_context: 'Mapping[str, object] | None' = None, stage_authorization_context: 'Mapping[str, object] | None' = None) -> 'UnifiedAdmissionRuleEvaluation'",true
API_002,public_api,dispatch cardinality,single_rule_only,single_rule_only,true
API_003,public_api,combined verdict,excluded,excluded,true
DISPATCH_001,global_dispatch,precedence,exact_str|known|registered|handler,exact_str|known|registered|handler,true
REGISTRY_001,registry,immutable registry,true,true,true
REGISTRY_002,registry,registered IDs,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006,true
REGISTRY_003,registry,registered count,6,6,true
REGISTRY_004,registry,callable discovered count,6,6,true
REGISTRY_005,registry,adapter ready count,6,6,true
REUSE_001,predecessor_reuse,first five handler identity,true,true,true
REUSE_002,predecessor_reuse,first five names and adapters,true,true,true
A006_001,admit006_identity,rule name,explicit_covalent_event_evidence,explicit_covalent_event_evidence,true
A006_002,admit006_identity,adapter ID,covapie_admit_006_unified_adapter_v1,covapie_admit_006_unified_adapter_v1,true
CONTEXT_001,context_routing,precedence,batch|evaluation_mapping|evaluation_key|download_result|stage_authorization,batch|evaluation_mapping|evaluation_key|download_result|stage_authorization,true
CONTEXT_002,context_routing,evaluation Mapping subclass,accepted,accepted,true
CONTEXT_003,context_routing,evaluation extra keys,ignored,ignored,true
CONTEXT_004,context_routing,required value,original_identity_single_lookup_no_prevalidation,original_identity_single_lookup_no_prevalidation,true
CONTEXT_005,context_routing,candidate access before routing,false,false,true
CANDIDATE_001,candidate_projection,field,covalent_event_evidence_source,covalent_event_evidence_source,true
CANDIDATE_002,candidate_projection,Mapping subclasses,accepted,accepted,true
CANDIDATE_003,candidate_projection,extra fields,ignored,ignored,true
CANDIDATE_004,candidate_projection,non Mapping reason,ADMIT_006_CANDIDATE_RECORD_MAPPING_INVALID,ADMIT_006_CANDIDATE_RECORD_MAPPING_INVALID,true
CANDIDATE_005,candidate_projection,consumed context retained,true,true,true
MISSING_001,missing,missing key,covalent_event_evidence_missing,covalent_event_evidence_missing,true
MISSING_002,missing,exact None,covalent_event_evidence_missing,covalent_event_evidence_missing,true
MISSING_003,missing,exact built-in empty str,covalent_event_evidence_missing,covalent_event_evidence_missing,true
MISSING_004,missing,empty str subclass,not_missing,not_missing,true
FORMAL_001,formal_evaluator,positional original objects,single_candidate_lookup_single_context_lookup_exact_positional_call,single_candidate_lookup_single_context_lookup_exact_positional_call,true
FORMAL_002,formal_evaluator,normalization,none,none,true
FORMAL_003,formal_evaluator,I/O,false,false,true
SOURCE_001,source_prevalidation,exact source type,required,required,true
SOURCE_002,source_prevalidation,source subclass,rejected,rejected,true
SOURCE_003,source_prevalidation,Exact10 reconstruction,exact_storage_keys_and_reconstruction_before_oracle,exact_storage_keys_and_reconstruction_before_oracle,true
SOURCE_004,source_prevalidation,failure adapter readiness,false,false,true
ORACLE_001,semantic_oracle,identity,classify_admit_006_admit_007_evidence_design,classify_admit_006_admit_007_evidence_design,true
ORACLE_002,semantic_oracle,original objects,exact_once,exact_once,true
ORACLE_003,semantic_oracle,complete Exact10 equality,required,required,true
PROJECTION_001,exact13,normalized from validated,true,true,true
PROJECTION_002,exact13,blocked passthrough,true,true,true
PROJECTION_003,exact13,context invalid canonical retained,true,true,true
PROJECTION_004,exact13,partial result on failure,false,false,true
SAFETY_001,runtime_safety,candidate mutation,false,false,true
SAFETY_002,runtime_safety,evaluation context mutation,false,false,true
SAFETY_003,runtime_safety,public runtime metadata I/O,false,false,true
SAFETY_004,runtime_safety,real evaluation/download/training,false,false,true
BOUNDARY_001,boundary,ADMIT_007 to ADMIT_015 registered,false,false,true
BOUNDARY_002,boundary,evaluate_all_rules,excluded,excluded,true
BOUNDARY_003,boundary,combined verdict,excluded,excluded,true
BOUNDARY_004,boundary,provider mapping and real evaluation,excluded,excluded,true
BOUNDARY_005,boundary,download and training,excluded,excluded,true
