scaleup_rank,canonical_event_id,pdb_id,ligand_component_id,ligand_reactive_atom,execution_lane,candidate_lane,raw_terminal_outcome,raw_terminal_reasons_json,feature_compatibility_stage_status,post_only_candidate_eligibility,post_only_partition,eligibility_reason,routing_review_unit_id,workload_review_unit_id,ts_dump_rule_id,ts_dump_rule_status,ts_dump_rule_reason,dtt_rule_id,dtt_rule_status,dtt_rule_reason,selected_effective_rule_id,effective_route,effective_route_reason,human_authority_lane,human_decision_propagated_to_new_event
1,COVAPIE_CYS_SG_EVENT_V1:1ATK:A:CYS:25-:SG:B:E64:C2,1ATK,E64,C2,FROZEN_HISTORICAL_PREDECESSOR,HISTORICAL_PREDECESSOR_EXCLUDED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",PASSED,false,BLOCKED_EXISTING_GROUP_CONFLICT,PUBLISHED_POST_ONLY_INELIGIBILITY:FEATURE_STAGE=PASSED;TERMINAL_OUTCOME=LEAKAGE_EXISTING_GROUP_CONFLICT,,,NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,,LEAKAGE_EXISTING_GROUP_CONFLICT,BOUND_STRUCTURAL_EXECUTION_OUTCOME_RETAINED,NONE,false
2,COVAPIE_CYS_SG_EVENT_V1:1AU0:A:CYS:25-:SG:B:SDK:C21,1AU0,SDK,C21,FROZEN_HISTORICAL_PREDECESSOR,HISTORICAL_PREDECESSOR_EXCLUDED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",PASSED,false,BLOCKED_EXISTING_GROUP_CONFLICT,PUBLISHED_POST_ONLY_INELIGIBILITY:FEATURE_STAGE=PASSED;TERMINAL_OUTCOME=LEAKAGE_EXISTING_GROUP_CONFLICT,,,NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,,LEAKAGE_EXISTING_GROUP_CONFLICT,BOUND_STRUCTURAL_EXECUTION_OUTCOME_RETAINED,NONE,false
3,COVAPIE_CYS_SG_EVENT_V1:1AU2:A:CYS:25-:SG:B:POS:C19,1AU2,POS,C19,FROZEN_HISTORICAL_PREDECESSOR,HISTORICAL_PREDECESSOR_EXCLUDED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",PASSED,false,BLOCKED_EXISTING_GROUP_CONFLICT,PUBLISHED_POST_ONLY_INELIGIBILITY:FEATURE_STAGE=PASSED;TERMINAL_OUTCOME=LEAKAGE_EXISTING_GROUP_CONFLICT,,,NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,,LEAKAGE_EXISTING_GROUP_CONFLICT,BOUND_STRUCTURAL_EXECUTION_OUTCOME_RETAINED,NONE,false
4,COVAPIE_CYS_SG_EVENT_V1:1BGO:A:CYS:25-:SG:B:I10:C31,1BGO,I10,C31,FROZEN_HISTORICAL_PREDECESSOR,HISTORICAL_PREDECESSOR_EXCLUDED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",PASSED,false,BLOCKED_EXISTING_GROUP_CONFLICT,PUBLISHED_POST_ONLY_INELIGIBILITY:FEATURE_STAGE=PASSED;TERMINAL_OUTCOME=LEAKAGE_EXISTING_GROUP_CONFLICT,,,NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,,LEAKAGE_EXISTING_GROUP_CONFLICT,BOUND_STRUCTURAL_EXECUTION_OUTCOME_RETAINED,NONE,false
5,COVAPIE_CYS_SG_EVENT_V1:1BJG:A:CYS:146-:SG:B:UFP:C6,1BJG,UFP,C6,FROZEN_HISTORICAL_PREDECESSOR,HISTORICAL_PREDECESSOR_CANDIDATE,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",PASSED,true,POST_ONLY_V1_REVIEW_CANDIDATE,PUBLISHED_POST_ONLY_ELIGIBILITY:FEATURE_STAGE_PASSED_AND_HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,COVAPIE_BULK_REVIEW_UNIT_1E58101A3E611294,COVAPIE_BULK_REVIEW_UNIT_1E58101A3E611294,NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT,NOT_MATCHED,"PREDICATE_MISMATCH:exact_ccd_component_graph_sha256,exact_radius2_sha256",NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT,NOT_MATCHED,"PREDICATE_MISMATCH:automorphism_derived_dtt_sulfur_endpoint,exact_1fvg_reagent_protein_context,exact_1fvg_source_structure_context,exact_dtt_component_graph_sha256,exact_dtt_component_identity,exact_ligand_reactive_element,exact_local_topology,exact_radius1_sha256,exact_radius2_sha256,structured_source_boundary;UNAVAILABLE_OR_MALFORMED:exact_dtt_heavy_identity_and_charge[outcome.ccd_formal_charge_pattern:INVALID]",,HUMAN_REVIEW_REQUIRED,NO_SINGLE_EXACT_RULE_MATCHED_EVERY_EVENT;HUMAN_REVIEW_RETAINED,NONE,false
6,COVAPIE_CYS_SG_EVENT_V1:1BMQ:A:CYS:285-:SG:C:MNO:C27,1BMQ,MNO,C27,FROZEN_HISTORICAL_PREDECESSOR,HISTORICAL_PREDECESSOR_EXCLUDED,STRUCTURAL_EVIDENCE_INCOMPLETE,"[""MMCIF_EXACT_CYS_SG_STRUCT_CONN_NOT_RECOVERED""]",NOT_REACHED,false,OUTSIDE_STRUCTURAL_ELIGIBILITY,PUBLISHED_POST_ONLY_INELIGIBILITY:FEATURE_STAGE=NOT_REACHED;TERMINAL_OUTCOME=STRUCTURAL_EVIDENCE_INCOMPLETE,,,NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,,STRUCTURAL_EVIDENCE_INCOMPLETE,BOUND_STRUCTURAL_EXECUTION_OUTCOME_RETAINED,NONE,false
7,COVAPIE_CYS_SG_EVENT_V1:1BQ1:A:CYS:146-:SG:C:UMP:C6,1BQ1,UMP,C6,FROZEN_HISTORICAL_PREDECESSOR,HISTORICAL_PREDECESSOR_CANDIDATE,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",PASSED,true,POST_ONLY_V1_REVIEW_CANDIDATE,PUBLISHED_POST_ONLY_ELIGIBILITY:FEATURE_STAGE_PASSED_AND_HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,COVAPIE_BULK_REVIEW_UNIT_EB1C0FF8712C32A9,,NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT,MATCHED_AUTO_NEGATIVE_EXACT,ALL_EXACT_PREDICATES_MATCHED,NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT,NOT_MATCHED,"PREDICATE_MISMATCH:automorphism_derived_dtt_sulfur_endpoint,exact_1fvg_reagent_protein_context,exact_1fvg_source_structure_context,exact_dtt_component_graph_sha256,exact_dtt_component_identity,exact_ligand_reactive_element,exact_local_topology,exact_radius1_sha256,exact_radius2_sha256,structured_source_boundary;UNAVAILABLE_OR_MALFORMED:exact_dtt_heavy_identity_and_charge[outcome.ccd_formal_charge_pattern:INVALID]",NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT,AUTO_NEGATIVE_EXACT_FINAL,EVERY_EVENT_IN_UNIT_MATCHED_SAME_EXACT_RULE_WITHOUT_OVERRIDE,NONE,false
8,COVAPIE_CYS_SG_EVENT_V1:1BQ1:B:CYS:146-:SG:E:UMP:C6,1BQ1,UMP,C6,FROZEN_HISTORICAL_PREDECESSOR,HISTORICAL_PREDECESSOR_CANDIDATE,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",PASSED,true,POST_ONLY_V1_REVIEW_CANDIDATE,PUBLISHED_POST_ONLY_ELIGIBILITY:FEATURE_STAGE_PASSED_AND_HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,COVAPIE_BULK_REVIEW_UNIT_EB1C0FF8712C32A9,,NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT,MATCHED_AUTO_NEGATIVE_EXACT,ALL_EXACT_PREDICATES_MATCHED,NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT,NOT_MATCHED,"PREDICATE_MISMATCH:automorphism_derived_dtt_sulfur_endpoint,exact_1fvg_reagent_protein_context,exact_1fvg_source_structure_context,exact_dtt_component_graph_sha256,exact_dtt_component_identity,exact_ligand_reactive_element,exact_local_topology,exact_radius1_sha256,exact_radius2_sha256,structured_source_boundary;UNAVAILABLE_OR_MALFORMED:exact_dtt_heavy_identity_and_charge[outcome.ccd_formal_charge_pattern:INVALID]",NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT,AUTO_NEGATIVE_EXACT_FINAL,EVERY_EVENT_IN_UNIT_MATCHED_SAME_EXACT_RULE_WITHOUT_OVERRIDE,NONE,false
9,COVAPIE_CYS_SG_EVENT_V1:1BWC:A:CYS:58-:SG:D:AJ3:S5,1BWC,AJ3,S5,FROZEN_HISTORICAL_PREDECESSOR,HISTORICAL_PREDECESSOR_CANDIDATE,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",PASSED,true,POST_ONLY_V1_REVIEW_CANDIDATE,PUBLISHED_POST_ONLY_ELIGIBILITY:FEATURE_STAGE_PASSED_AND_HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,COVAPIE_BULK_REVIEW_UNIT_5662273FCD38234C,,NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT,NOT_MATCHED,"PREDICATE_MISMATCH:exact_ccd_component_graph_sha256,exact_ligand_reactive_atom,exact_ligand_reactive_element,exact_radius1_sha256,exact_radius2_sha256,exact_ts_family_accession_sequence_key,no_runtime_positive_override",NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT,NOT_MATCHED,"PREDICATE_MISMATCH:automorphism_derived_dtt_sulfur_endpoint,exact_1fvg_reagent_protein_context,exact_1fvg_source_structure_context,exact_dtt_component_graph_sha256,exact_dtt_component_identity,exact_local_topology,exact_radius2_sha256,no_runtime_positive_override;UNAVAILABLE_OR_MALFORMED:exact_dtt_heavy_identity_and_charge[outcome.ccd_formal_charge_pattern:INVALID]",,HUMAN_RELEVANT_FINAL,CURRENT_HUMAN_RELEVANT_DECISION_HAS_FIRST_PRECEDENCE,PUBLISHED_HISTORICAL_EXACT_EVENT_SCOPE,false
10,COVAPIE_CYS_SG_EVENT_V1:1CQQ:A:CYS:147-:SG:B:AG7:C19,1CQQ,AG7,C19,FROZEN_HISTORICAL_PREDECESSOR,HISTORICAL_PREDECESSOR_EXCLUDED,STRUCTURAL_EVIDENCE_INCOMPLETE,"[""MMCIF_EXACT_CYS_SG_STRUCT_CONN_NOT_RECOVERED""]",NOT_REACHED,false,OUTSIDE_STRUCTURAL_ELIGIBILITY,PUBLISHED_POST_ONLY_INELIGIBILITY:FEATURE_STAGE=NOT_REACHED;TERMINAL_OUTCOME=STRUCTURAL_EVIDENCE_INCOMPLETE,,,NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,,STRUCTURAL_EVIDENCE_INCOMPLETE,BOUND_STRUCTURAL_EXECUTION_OUTCOME_RETAINED,NONE,false
