canonical_candidate_id,pdb_id,ligand_component_id,stage_a_disposition,stage_a_primary_issue,stage_a_expected_protein_chain,stage_a_expected_cys_residue_sequence,local_raw_structure_found,raw_structure_identity,local_structure_path_or_authority,raw_structure_sha256_or_NONE,explicit_connection_evidence_status,cys_sg_event_recovered,protein_chain,cys_residue_sequence,cys_insertion_code,reactive_residue_atom,ligand_chain_or_instance,ligand_sequence_or_instance,reactive_ligand_atom,coordinate_status,altloc_occupancy_provenance,parent_post_topology_status,canonical_model_graph_status,exact10_status,pocket_readiness_status,structural_recovery_status,recovery_disposition,downstream_label_authority_status,acquisition_authorization_status,primary_remaining_issue,recovery_mechanism_group,canonical_sample_authority_created
COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000001,1A54,MDC,HUMAN_REVIEW_REQUIRED,STRUCT_CONN_LOOP_ABSENT,A,197,false,PDB=1A54|FORMAT=MMCIF|AVAILABILITY=HISTORICAL_SHA_BOUND_DERIVED_AUTHORITY_ONLY,data/derived/covalent_small/covapie_cys_sg_future_struct_conn_crosscheck_execution_gate_v0/covapie_cys_sg_raw_struct_conn_parse_audit.csv#pdb_id=1A54,72027fd8250ab981a082a8081f7624ca81f2cc78dfeaba8ea124a3ead1543d11,HISTORICAL_MMCIF_STRUCT_CONN_LOOP_ABSENT_AND_PDB_LINK_CONECT_ABSENT,false,NONE,NONE,NONE,NONE,NONE,NONE,NONE,HISTORICAL_ATOM_SITE_PRESENT_EVENT_ENDPOINTS_UNRESOLVED,NONE,PARENT_POST_TOPOLOGY_EVIDENCE_MISSING,CANONICAL_MODEL_GRAPH_EVIDENCE_MISSING,EXACT10_MODEL_GRAPH_EVIDENCE_MISSING,POCKET_EVIDENCE_INCOMPLETE,BLOCKED_LOCAL_RAW_ABSENT_HISTORICAL_EXPLICIT_CONNECTION_ABSENCE_PROVED,TARGETED_EXTERNAL_ACQUISITION_REQUIRED,NOT_EVALUATED_STRUCTURAL_RECOVERY_BLOCKED,BOUNDED_TARGETED_ACQUISITION_AUTHORIZED_FOR_IDENTITY_BY_PUBLISHED_RUNTIME_OWNER_NO_EXECUTION_THIS_TASK,RAW_MMCIF_REACQUISITION_AND_INDEPENDENT_EXPLICIT_CONNECTION_EVIDENCE_REQUIRED,CANDIDATE_SPECIFIC_BOUNDED_MMCIF_STRUCT_CONN_ATOM_SITE_PATH,false
COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000002,2DJF,1ZB,HUMAN_REVIEW_REQUIRED,SG_EVENT_EVIDENCE_MISSING,B,234,false,PDB=2DJF|FORMAT=MMCIF_OR_PDB_REQUIRED|AVAILABILITY=NOT_LOCAL,NONE,NONE,REQUIRED_RAW_STRUCTURE_NOT_LOCAL,false,NONE,NONE,NONE,NONE,NONE,NONE,NONE,COORDINATE_EVIDENCE_UNAVAILABLE_RAW_NOT_LOCAL,NONE,PARENT_POST_TOPOLOGY_EVIDENCE_MISSING,CANONICAL_MODEL_GRAPH_EVIDENCE_MISSING,EXACT10_MODEL_GRAPH_EVIDENCE_MISSING,POCKET_EVIDENCE_INCOMPLETE,BLOCKED_RAW_STRUCTURE_NOT_LOCAL,TARGETED_EXTERNAL_ACQUISITION_REQUIRED,NOT_EVALUATED_STRUCTURAL_RECOVERY_BLOCKED,NOT_AUTHORIZED_BY_EXISTING_PUBLISHED_BOUNDED_OWNER_NEW_BOUNDED_AUTHORIZATION_REQUIRED,RAW_MMCIF_STRUCT_CONN_ATOM_SITE_AND_COMPONENT_TOPOLOGY_REQUIRED,CANDIDATE_SPECIFIC_BOUNDED_MMCIF_STRUCT_CONN_ATOM_SITE_PATH,false
COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000007,6VWE,JY1,HUMAN_REVIEW_REQUIRED,EXACT10_FORMULA_RH_GRAPH_INCLUSION_UNRESOLVED,A,89,false,PDB=6VWE|FORMAT=MMCIF_OR_PDB_REQUIRED|AVAILABILITY=NOT_LOCAL,NONE,NONE,REQUIRED_RAW_STRUCTURE_NOT_LOCAL,false,NONE,NONE,NONE,NONE,NONE,NONE,NONE,COORDINATE_EVIDENCE_UNAVAILABLE_RAW_NOT_LOCAL,NONE,PARENT_POST_TOPOLOGY_EVIDENCE_MISSING,FORMULA_RH_PRESENT_MODEL_GRAPH_MEMBERSHIP_UNRESOLVED,EXACT10_FORMULA_UNSUPPORTED_NODE_INCLUSION_UNRESOLVED,POCKET_EVIDENCE_INCOMPLETE,BLOCKED_RAW_STRUCTURE_NOT_LOCAL,TARGETED_EXTERNAL_ACQUISITION_REQUIRED,NOT_EVALUATED_STRUCTURAL_RECOVERY_BLOCKED,NOT_AUTHORIZED_BY_EXISTING_PUBLISHED_BOUNDED_OWNER_NEW_BOUNDED_AUTHORIZATION_REQUIRED,RAW_MMCIF_EXACT_EVENT_AND_CANONICAL_MODEL_GRAPH_RH_MEMBERSHIP_EVIDENCE_REQUIRED,CANDIDATE_SPECIFIC_BOUNDED_MMCIF_STRUCT_CONN_ATOM_SITE_PATH,false
COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000008,2R9F,K2Z,HUMAN_REVIEW_REQUIRED,SG_EVENT_EVIDENCE_MISSING,A,115,false,PDB=2R9F|FORMAT=MMCIF_OR_PDB_REQUIRED|AVAILABILITY=NOT_LOCAL,NONE,NONE,REQUIRED_RAW_STRUCTURE_NOT_LOCAL,false,NONE,NONE,NONE,NONE,NONE,NONE,NONE,COORDINATE_EVIDENCE_UNAVAILABLE_RAW_NOT_LOCAL,NONE,PARENT_POST_TOPOLOGY_EVIDENCE_MISSING,CANONICAL_MODEL_GRAPH_EVIDENCE_MISSING,EXACT10_MODEL_GRAPH_EVIDENCE_MISSING,POCKET_EVIDENCE_INCOMPLETE,BLOCKED_RAW_STRUCTURE_NOT_LOCAL,TARGETED_EXTERNAL_ACQUISITION_REQUIRED,NOT_EVALUATED_STRUCTURAL_RECOVERY_BLOCKED,NOT_AUTHORIZED_BY_EXISTING_PUBLISHED_BOUNDED_OWNER_NEW_BOUNDED_AUTHORIZATION_REQUIRED,RAW_MMCIF_STRUCT_CONN_ATOM_SITE_AND_COMPONENT_TOPOLOGY_REQUIRED,CANDIDATE_SPECIFIC_BOUNDED_MMCIF_STRUCT_CONN_ATOM_SITE_PATH,false
COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000009,4DCD,K36,HUMAN_REVIEW_REQUIRED,SG_EVENT_EVIDENCE_MISSING,A,147,false,PDB=4DCD|FORMAT=MMCIF_OR_PDB_REQUIRED|AVAILABILITY=NOT_LOCAL,NONE,NONE,REQUIRED_RAW_STRUCTURE_NOT_LOCAL,false,NONE,NONE,NONE,NONE,NONE,NONE,NONE,COORDINATE_EVIDENCE_UNAVAILABLE_RAW_NOT_LOCAL,NONE,PARENT_POST_TOPOLOGY_EVIDENCE_MISSING,CANONICAL_MODEL_GRAPH_EVIDENCE_MISSING,EXACT10_MODEL_GRAPH_EVIDENCE_MISSING,POCKET_EVIDENCE_INCOMPLETE,BLOCKED_RAW_STRUCTURE_NOT_LOCAL,TARGETED_EXTERNAL_ACQUISITION_REQUIRED,NOT_EVALUATED_STRUCTURAL_RECOVERY_BLOCKED,NOT_AUTHORIZED_BY_EXISTING_PUBLISHED_BOUNDED_OWNER_NEW_BOUNDED_AUTHORIZATION_REQUIRED,RAW_MMCIF_STRUCT_CONN_ATOM_SITE_AND_COMPONENT_TOPOLOGY_REQUIRED,K36_UED_SHARED_BOUNDED_MMCIF_STRUCT_CONN_ATOM_SITE_PATH,false
COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000010,6WTT,K36,HUMAN_REVIEW_REQUIRED,SG_EVENT_EVIDENCE_MISSING,A,145,false,PDB=6WTT|FORMAT=MMCIF_OR_PDB_REQUIRED|AVAILABILITY=NOT_LOCAL,NONE,NONE,REQUIRED_RAW_STRUCTURE_NOT_LOCAL,false,NONE,NONE,NONE,NONE,NONE,NONE,NONE,COORDINATE_EVIDENCE_UNAVAILABLE_RAW_NOT_LOCAL,NONE,PARENT_POST_TOPOLOGY_EVIDENCE_MISSING,CANONICAL_MODEL_GRAPH_EVIDENCE_MISSING,EXACT10_MODEL_GRAPH_EVIDENCE_MISSING,POCKET_EVIDENCE_INCOMPLETE,BLOCKED_RAW_STRUCTURE_NOT_LOCAL,TARGETED_EXTERNAL_ACQUISITION_REQUIRED,NOT_EVALUATED_STRUCTURAL_RECOVERY_BLOCKED,NOT_AUTHORIZED_BY_EXISTING_PUBLISHED_BOUNDED_OWNER_NEW_BOUNDED_AUTHORIZATION_REQUIRED,RAW_MMCIF_STRUCT_CONN_ATOM_SITE_AND_COMPONENT_TOPOLOGY_REQUIRED,K36_UED_SHARED_BOUNDED_MMCIF_STRUCT_CONN_ATOM_SITE_PATH,false
COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000011,4F49,K36,HUMAN_REVIEW_REQUIRED,SG_EVENT_EVIDENCE_MISSING,A,144,false,PDB=4F49|FORMAT=MMCIF_OR_PDB_REQUIRED|AVAILABILITY=NOT_LOCAL,NONE,NONE,REQUIRED_RAW_STRUCTURE_NOT_LOCAL,false,NONE,NONE,NONE,NONE,NONE,NONE,NONE,COORDINATE_EVIDENCE_UNAVAILABLE_RAW_NOT_LOCAL,NONE,PARENT_POST_TOPOLOGY_EVIDENCE_MISSING,CANONICAL_MODEL_GRAPH_EVIDENCE_MISSING,EXACT10_MODEL_GRAPH_EVIDENCE_MISSING,POCKET_EVIDENCE_INCOMPLETE,BLOCKED_RAW_STRUCTURE_NOT_LOCAL,TARGETED_EXTERNAL_ACQUISITION_REQUIRED,NOT_EVALUATED_STRUCTURAL_RECOVERY_BLOCKED,NOT_AUTHORIZED_BY_EXISTING_PUBLISHED_BOUNDED_OWNER_NEW_BOUNDED_AUTHORIZATION_REQUIRED,RAW_MMCIF_STRUCT_CONN_ATOM_SITE_AND_COMPONENT_TOPOLOGY_REQUIRED,K36_UED_SHARED_BOUNDED_MMCIF_STRUCT_CONN_ATOM_SITE_PATH,false
COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000012,6L70,K36,HUMAN_REVIEW_REQUIRED,SG_EVENT_EVIDENCE_MISSING,A,144,false,PDB=6L70|FORMAT=MMCIF_OR_PDB_REQUIRED|AVAILABILITY=NOT_LOCAL,NONE,NONE,REQUIRED_RAW_STRUCTURE_NOT_LOCAL,false,NONE,NONE,NONE,NONE,NONE,NONE,NONE,COORDINATE_EVIDENCE_UNAVAILABLE_RAW_NOT_LOCAL,NONE,PARENT_POST_TOPOLOGY_EVIDENCE_MISSING,CANONICAL_MODEL_GRAPH_EVIDENCE_MISSING,EXACT10_MODEL_GRAPH_EVIDENCE_MISSING,POCKET_EVIDENCE_INCOMPLETE,BLOCKED_RAW_STRUCTURE_NOT_LOCAL,TARGETED_EXTERNAL_ACQUISITION_REQUIRED,NOT_EVALUATED_STRUCTURAL_RECOVERY_BLOCKED,NOT_AUTHORIZED_BY_EXISTING_PUBLISHED_BOUNDED_OWNER_NEW_BOUNDED_AUTHORIZATION_REQUIRED,RAW_MMCIF_STRUCT_CONN_ATOM_SITE_AND_COMPONENT_TOPOLOGY_REQUIRED,K36_UED_SHARED_BOUNDED_MMCIF_STRUCT_CONN_ATOM_SITE_PATH,false
COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000013,6WTJ,K36,HUMAN_REVIEW_REQUIRED,SG_EVENT_EVIDENCE_MISSING,A,145,false,PDB=6WTJ|FORMAT=MMCIF_OR_PDB_REQUIRED|AVAILABILITY=NOT_LOCAL,NONE,NONE,REQUIRED_RAW_STRUCTURE_NOT_LOCAL,false,NONE,NONE,NONE,NONE,NONE,NONE,NONE,COORDINATE_EVIDENCE_UNAVAILABLE_RAW_NOT_LOCAL,NONE,PARENT_POST_TOPOLOGY_EVIDENCE_MISSING,CANONICAL_MODEL_GRAPH_EVIDENCE_MISSING,EXACT10_MODEL_GRAPH_EVIDENCE_MISSING,POCKET_EVIDENCE_INCOMPLETE,BLOCKED_RAW_STRUCTURE_NOT_LOCAL,TARGETED_EXTERNAL_ACQUISITION_REQUIRED,NOT_EVALUATED_STRUCTURAL_RECOVERY_BLOCKED,NOT_AUTHORIZED_BY_EXISTING_PUBLISHED_BOUNDED_OWNER_NEW_BOUNDED_AUTHORIZATION_REQUIRED,RAW_MMCIF_STRUCT_CONN_ATOM_SITE_AND_COMPONENT_TOPOLOGY_REQUIRED,K36_UED_SHARED_BOUNDED_MMCIF_STRUCT_CONN_ATOM_SITE_PATH,false
COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000014,7C8U,K36,HUMAN_REVIEW_REQUIRED,SG_EVENT_EVIDENCE_MISSING,A,145,false,PDB=7C8U|FORMAT=MMCIF_OR_PDB_REQUIRED|AVAILABILITY=NOT_LOCAL,NONE,NONE,REQUIRED_RAW_STRUCTURE_NOT_LOCAL,false,NONE,NONE,NONE,NONE,NONE,NONE,NONE,COORDINATE_EVIDENCE_UNAVAILABLE_RAW_NOT_LOCAL,NONE,PARENT_POST_TOPOLOGY_EVIDENCE_MISSING,CANONICAL_MODEL_GRAPH_EVIDENCE_MISSING,EXACT10_MODEL_GRAPH_EVIDENCE_MISSING,POCKET_EVIDENCE_INCOMPLETE,BLOCKED_RAW_STRUCTURE_NOT_LOCAL,TARGETED_EXTERNAL_ACQUISITION_REQUIRED,NOT_EVALUATED_STRUCTURAL_RECOVERY_BLOCKED,NOT_AUTHORIZED_BY_EXISTING_PUBLISHED_BOUNDED_OWNER_NEW_BOUNDED_AUTHORIZATION_REQUIRED,RAW_MMCIF_STRUCT_CONN_ATOM_SITE_AND_COMPONENT_TOPOLOGY_REQUIRED,K36_UED_SHARED_BOUNDED_MMCIF_STRUCT_CONN_ATOM_SITE_PATH,false
COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000015,5WKJ,K36,HUMAN_REVIEW_REQUIRED,SG_EVENT_EVIDENCE_MISSING,A,148,false,PDB=5WKJ|FORMAT=MMCIF_OR_PDB_REQUIRED|AVAILABILITY=NOT_LOCAL,NONE,NONE,REQUIRED_RAW_STRUCTURE_NOT_LOCAL,false,NONE,NONE,NONE,NONE,NONE,NONE,NONE,COORDINATE_EVIDENCE_UNAVAILABLE_RAW_NOT_LOCAL,NONE,PARENT_POST_TOPOLOGY_EVIDENCE_MISSING,CANONICAL_MODEL_GRAPH_EVIDENCE_MISSING,EXACT10_MODEL_GRAPH_EVIDENCE_MISSING,POCKET_EVIDENCE_INCOMPLETE,BLOCKED_RAW_STRUCTURE_NOT_LOCAL,TARGETED_EXTERNAL_ACQUISITION_REQUIRED,NOT_EVALUATED_STRUCTURAL_RECOVERY_BLOCKED,NOT_AUTHORIZED_BY_EXISTING_PUBLISHED_BOUNDED_OWNER_NEW_BOUNDED_AUTHORIZATION_REQUIRED,RAW_MMCIF_STRUCT_CONN_ATOM_SITE_AND_COMPONENT_TOPOLOGY_REQUIRED,K36_UED_SHARED_BOUNDED_MMCIF_STRUCT_CONN_ATOM_SITE_PATH,false
