covalent_shape_item,covalent_shape_group,observed_rank_source,future_adapter_field_name,future_adapter_field_role,expected_variable_dimension_policy,batching_policy,implementation_status,tensor_persistence_policy,training_use_status,shape_mapping_design_passed
pocket_atom_coordinates,protein_pocket,step13z_observed_rank_checked_against_expected_rank_2,diffsbdd_pocket_atom_positions,protein_pocket_coordinates,pocket_atom_count,single_sample_batch_size_1_until_padding_policy_audited,design_only_not_implemented,do_not_persist_tensor_artifacts,not_training_input_yet,True
pocket_atom_features,protein_pocket,step13z_observed_rank_checked_against_expected_rank_2,diffsbdd_pocket_atom_features,protein_atom_features,pocket_atom_count,single_sample_batch_size_1_until_padding_policy_audited,design_only_not_implemented,do_not_persist_tensor_artifacts,not_training_input_yet,True
pocket_residue_features,protein_pocket,step13z_observed_rank_checked_against_expected_rank_2,diffsbdd_pocket_residue_features,protein_residue_features,pocket_atom_count,single_sample_batch_size_1_until_padding_policy_audited,design_only_not_implemented,do_not_persist_tensor_artifacts,not_training_input_yet,True
ligand_atom_coordinates,ligand,step13z_observed_rank_checked_against_expected_rank_2,diffsbdd_ligand_atom_positions,ligand_coordinates,ligand_atom_count,single_sample_batch_size_1_until_padding_policy_audited,design_only_not_implemented,do_not_persist_tensor_artifacts,not_training_input_yet,True
ligand_atom_features,ligand,step13z_observed_rank_checked_against_expected_rank_2,diffsbdd_ligand_atom_features,ligand_atom_features,ligand_atom_count,single_sample_batch_size_1_until_padding_policy_audited,design_only_not_implemented,do_not_persist_tensor_artifacts,not_training_input_yet,True
ligand_bond_index,ligand,step13z_observed_rank_checked_against_expected_rank_2,diffsbdd_ligand_bond_index,ligand_graph_connectivity,ligand_bond_count,single_sample_batch_size_1_until_padding_policy_audited,design_only_not_implemented,do_not_persist_tensor_artifacts,not_training_input_yet,True
ligand_bond_features,ligand,step13z_observed_rank_checked_against_expected_rank_2,diffsbdd_ligand_bond_features,ligand_bond_features,ligand_bond_count,single_sample_batch_size_1_until_padding_policy_audited,design_only_not_implemented,do_not_persist_tensor_artifacts,not_training_input_yet,True
ligand_group_labels,group_labels,step13z_observed_rank_checked_against_expected_rank_1,diffsbdd_ligand_group_labels,warhead_linker_scaffold_group_labels,ligand_atom_count,single_sample_batch_size_1_until_padding_policy_audited,design_only_not_implemented,do_not_persist_tensor_artifacts,not_training_input_yet,True
covalent_endpoint_atom_mask,covalent_labels,step13z_observed_rank_checked_against_expected_rank_1,diffsbdd_covalent_endpoint_atom_mask,covalent_endpoint_label,ligand_atom_count,single_sample_batch_size_1_until_padding_policy_audited,design_only_not_implemented,do_not_persist_tensor_artifacts,not_training_input_yet,True
reactive_residue_atom_coordinates,covalent_labels,step13z_observed_rank_checked_against_expected_rank_1,diffsbdd_reactive_residue_atom_coordinates,reactive_residue_anchor,single_reactive_atom,single_sample_batch_size_1_until_padding_policy_audited,design_only_not_implemented,do_not_persist_tensor_artifacts,not_training_input_yet,True
canonical_mask_task_id_or_name,mask_tasks,step13z_observed_rank_checked_against_expected_rank_1,diffsbdd_canonical_mask_task,mask_task_selector,mask_task_count,single_sample_batch_size_1_until_padding_policy_audited,design_only_not_implemented,do_not_persist_tensor_artifacts,not_training_input_yet,True
auxiliary_warhead_type_label,auxiliary_labels,step13z_observed_rank_checked_against_expected_rank_0,diffsbdd_auxiliary_warhead_type_label,auxiliary_label_carried_not_loss,sample,single_sample_batch_size_1_until_padding_policy_audited,design_only_not_implemented,do_not_persist_tensor_artifacts,not_training_input_yet,True
auxiliary_ligand_residue_atom_pair_label,auxiliary_labels,step13z_observed_rank_checked_against_expected_rank_0,diffsbdd_auxiliary_ligand_residue_atom_pair_label,auxiliary_label_carried_not_loss,sample,single_sample_batch_size_1_until_padding_policy_audited,design_only_not_implemented,do_not_persist_tensor_artifacts,not_training_input_yet,True
auxiliary_pre_post_geometry_label,auxiliary_labels,step13z_observed_rank_checked_against_expected_rank_0,diffsbdd_auxiliary_pre_post_geometry_label,auxiliary_label_carried_not_loss,sample,single_sample_batch_size_1_until_padding_policy_audited,design_only_not_implemented,do_not_persist_tensor_artifacts,not_training_input_yet,True
