interface_item,proposed_contract,implementation_status,allowed_next_step_status,forbidden_current_step,checkpoint_compatibility_note,blocking_for_design_gate
adapter_module_location,Future adapter module under src/covalent_ext/ only.,design_only_not_implemented,allowed_only_in_next_adapter_implementation_smoke,True,"External covalent_ext adapter design avoids modifying original DiffSBDD model, forward, loss, and checkpoint-facing code.",False
adapter_class_name,Proposed class name RealCovalentDiffSBDDLoaderAdapter.,design_only_not_implemented,allowed_only_in_next_adapter_implementation_smoke,True,"External covalent_ext adapter design avoids modifying original DiffSBDD model, forward, loss, and checkpoint-facing code.",False
adapter_input_artifact,Read Step 13W/13Y/13Z/13AA CSV/JSON artifacts as validated inputs.,design_only_not_implemented,allowed_only_in_next_adapter_implementation_smoke,True,"External covalent_ext adapter design avoids modifying original DiffSBDD model, forward, loss, and checkpoint-facing code.",False
adapter_output_sample_dict,Return sample dictionaries aligned to declared covalent shape keys.,design_only_not_implemented,design_only_no_execution,True,"External covalent_ext adapter design avoids modifying original DiffSBDD model, forward, loss, and checkpoint-facing code.",False
adapter_batch_collate_policy,Keep batch_size=1 initially; avoid padding policy changes until audited.,design_only_not_implemented,design_only_no_execution,True,"External covalent_ext adapter design avoids modifying original DiffSBDD model, forward, loss, and checkpoint-facing code.",False
adapter_batch_size_policy,Initial implementation smoke may stay batch_size=1.,design_only_not_implemented,design_only_no_execution,True,"External covalent_ext adapter design avoids modifying original DiffSBDD model, forward, loss, and checkpoint-facing code.",False
adapter_variable_size_policy,Preserve per-sample variable ligand and pocket dimensions.,design_only_not_implemented,design_only_no_execution,True,"External covalent_ext adapter design avoids modifying original DiffSBDD model, forward, loss, and checkpoint-facing code.",False
adapter_mask_policy,Carry five long semantic mask names with display aliases only.,design_only_not_implemented,design_only_no_execution,True,"External covalent_ext adapter design avoids modifying original DiffSBDD model, forward, loss, and checkpoint-facing code.",False
adapter_auxiliary_label_policy,Carry auxiliary labels without integrating them into loss.,design_only_not_implemented,design_only_no_execution,True,"External covalent_ext adapter design avoids modifying original DiffSBDD model, forward, loss, and checkpoint-facing code.",False
adapter_checkpoint_compatibility_policy,preserve_diffsbdd_checkpoint_compatibility_by_external_adapter_design,design_only_not_implemented,design_only_no_execution,True,"External covalent_ext adapter design avoids modifying original DiffSBDD model, forward, loss, and checkpoint-facing code.",False
adapter_training_boundary_policy,No forward/loss/backward/optimizer/trainer.fit/training in adapter smoke.,design_only_not_implemented,design_only_no_execution,True,"External covalent_ext adapter design avoids modifying original DiffSBDD model, forward, loss, and checkpoint-facing code.",False
adapter_feature_semantics_policy,Feature semantics audit remains required before formal training.,design_only_not_implemented,design_only_no_execution,True,"External covalent_ext adapter design avoids modifying original DiffSBDD model, forward, loss, and checkpoint-facing code.",False
