contract_area,contract_item,expected,observed,verified
api,public_function_name,classify_bulk_download_stage_orchestration_action_permission_bridge_contract_design,classify_bulk_download_stage_orchestration_action_permission_bridge_contract_design,true
api,exact_parameter_order,orchestration_result|call_site_decision,orchestration_result|call_site_decision,true
api,exact_annotations,StageAdmissionOrchestrationResult|BulkDownloadStageOrchestrationCallSiteDecisionDesign|BulkDownloadStageOrchestrationActionPermissionBridgeDecisionDesign,StageAdmissionOrchestrationResult|BulkDownloadStageOrchestrationCallSiteDecisionDesign|BulkDownloadStageOrchestrationActionPermissionBridgeDecisionDesign,true
api,required_keyword_only,true,true,true
api,no_injection_parameters,true,true,true
api,future_runtime_absent,true,true,true
decision,exact_field_count,19,19,true
decision,exact_field_order,schema_version|outcome|passed|blocks_transition|reason|source_scope_id|candidate_count|admit_014_outcome|candidate_combined_outcomes|call_site_decision_outcome|call_site_decision_reason|invalid_candidate_indexes|blocked_candidate_indexes|failing_candidate_indexes|source_lineage_verified|transition_eligible|action_permission_granted|download_action_invoked|bridge_io_used,schema_version|outcome|passed|blocks_transition|reason|source_scope_id|candidate_count|admit_014_outcome|candidate_combined_outcomes|call_site_decision_outcome|call_site_decision_reason|invalid_candidate_indexes|blocked_candidate_indexes|failing_candidate_indexes|source_lineage_verified|transition_eligible|action_permission_granted|download_action_invoked|bridge_io_used,true
decision,outcome_vocabulary,eligible|blocked|invalid,eligible|blocked|invalid,true
decision,reason_vocabulary_count,13,13,true
lineage,exact_source_lineage_semantics,true,true,true
lineage,authorized_decision_lineage_exception_removed,true,true,true
reason,call_site_decision_not_permission_pending_reason_reserved,true,true,true
reason,call_site_decision_not_permission_pending_branch_reachable,false,false,true
dependency,predecessor_private_helper_called,false,false,true
evidence,full_exact19_truth_schema,true,true,true
boundary,transition_eligible_not_permission,true,true,true
boundary,zero_download,true,true,true
boundary,zero_bridge_io,true,true,true
