case_id,case_group,mutation_or_positive_probe,expected_schema_version,observed_schema_version,expected_outcome,observed_outcome,expected_passed,observed_passed,expected_blocks_transition,observed_blocks_transition,expected_reason,observed_reason,expected_source_scope_id,observed_source_scope_id,expected_candidate_count,observed_candidate_count,expected_admit_014_outcome,observed_admit_014_outcome,expected_candidate_combined_outcomes,observed_candidate_combined_outcomes,expected_call_site_decision_outcome,observed_call_site_decision_outcome,expected_call_site_decision_reason,observed_call_site_decision_reason,expected_invalid_candidate_indexes,observed_invalid_candidate_indexes,expected_blocked_candidate_indexes,observed_blocked_candidate_indexes,expected_failing_candidate_indexes,observed_failing_candidate_indexes,expected_source_lineage_verified,observed_source_lineage_verified,expected_transition_eligible,observed_transition_eligible,expected_action_permission_granted,observed_action_permission_granted,expected_download_action_invoked,observed_download_action_invoked,expected_bridge_io_used,observed_bridge_io_used,exact_decision_type_verified,verified
TYPE_RESULT_WRONG,type,object instead of exact StageResult,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_RESULT_TYPE_INVALID""","""ACTION_PERMISSION_BRIDGE_RESULT_TYPE_INVALID""","""""","""""",0,0,"""""","""""",[],[],"""""","""""","""""","""""",[],[],[],[],[],[],false,false,false,false,false,false,false,false,false,false,true,true
TYPE_RESULT_SUBCLASS,type,StageResult subclass rejected,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_RESULT_TYPE_INVALID""","""ACTION_PERMISSION_BRIDGE_RESULT_TYPE_INVALID""","""""","""""",0,0,"""""","""""",[],[],"""""","""""","""""","""""",[],[],[],[],[],[],false,false,false,false,false,false,false,false,false,false,true,true
TYPE_DECISION_WRONG,type,object instead of shared Exact15 decision,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_CALL_SITE_DECISION_TYPE_INVALID""","""ACTION_PERMISSION_BRIDGE_CALL_SITE_DECISION_TYPE_INVALID""","""""","""""",0,0,"""""","""""",[],[],"""""","""""","""""","""""",[],[],[],[],[],[],false,false,false,false,false,false,false,false,false,false,true,true
TYPE_DECISION_SUBCLASS,type,Exact15 decision subclass rejected,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_CALL_SITE_DECISION_TYPE_INVALID""","""ACTION_PERMISSION_BRIDGE_CALL_SITE_DECISION_TYPE_INVALID""","""""","""""",0,0,"""""","""""",[],[],"""""","""""","""""","""""",[],[],[],[],[],[],false,false,false,false,false,false,false,false,false,false,true,true
STAGE_SCHEMA,stage_result_invariant,schema mutation,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_STAGE_RESULT_INVARIANT_INVALID""","""ACTION_PERMISSION_BRIDGE_STAGE_RESULT_INVARIANT_INVALID""","""""","""""",0,0,"""""","""""",[],[],"""""","""""","""""","""""",[],[],[],[],[],[],false,false,false,false,false,false,false,false,false,false,true,true
STAGE_STORAGE,stage_result_invariant,reversed Exact12 storage,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_STAGE_RESULT_INVARIANT_INVALID""","""ACTION_PERMISSION_BRIDGE_STAGE_RESULT_INVARIANT_INVALID""","""""","""""",0,0,"""""","""""",[],[],"""""","""""","""""","""""",[],[],[],[],[],[],false,false,false,false,false,false,false,false,false,false,true,true
STAGE_TUPLE_SUBCLASS,stage_result_invariant,tuple subclass,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_STAGE_RESULT_INVARIANT_INVALID""","""ACTION_PERMISSION_BRIDGE_STAGE_RESULT_INVARIANT_INVALID""","""""","""""",0,0,"""""","""""",[],[],"""""","""""","""""","""""",[],[],[],[],[],[],false,false,false,false,false,false,false,false,false,false,true,true
STAGE_COUNT,stage_result_invariant,candidate count mismatch,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_STAGE_RESULT_INVARIANT_INVALID""","""ACTION_PERMISSION_BRIDGE_STAGE_RESULT_INVARIANT_INVALID""","""""","""""",0,0,"""""","""""",[],[],"""""","""""","""""","""""",[],[],[],[],[],[],false,false,false,false,false,false,false,false,false,false,true,true
STAGE_MEMBERSHIP,stage_result_invariant,rule membership/order,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_STAGE_RESULT_INVARIANT_INVALID""","""ACTION_PERMISSION_BRIDGE_STAGE_RESULT_INVARIANT_INVALID""","""""","""""",0,0,"""""","""""",[],[],"""""","""""","""""","""""",[],[],[],[],[],[],false,false,false,false,false,false,false,false,false,false,true,true
STAGE_CARDINALITY,stage_result_invariant,dispatcher cardinality,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_STAGE_RESULT_INVARIANT_INVALID""","""ACTION_PERMISSION_BRIDGE_STAGE_RESULT_INVARIANT_INVALID""","""""","""""",0,0,"""""","""""",[],[],"""""","""""","""""","""""",[],[],[],[],[],[],false,false,false,false,false,false,false,false,false,false,true,true
