matrix_order,matrix_group,case_id,routing_condition,envelope_representation,lookup_count,lookup_order,candidate_key_access_count,formal_call_count,oracle_call_count,identity_preserved,expected_dispatch_code,expected_reason,expected_result_json,case_passed
1,routing_failure,batch_non_none,batch context rejects before later envelopes,batch=object,0,,0,0,0,n/a,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_013_BATCH_CONTEXT_MUST_BE_NONE,,true
2,routing_failure,evaluation_non_mapping,evaluation context must be Mapping,evaluation=None,0,,0,0,0,n/a,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_013_EVALUATION_CONTEXT_MAPPING_REQUIRED,,true
3,routing_failure,download_non_mapping,download result context must be Mapping,download=None,0,,0,0,0,n/a,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_013_DOWNLOAD_RESULT_CONTEXT_MAPPING_REQUIRED,,true
4,routing_failure,stage_non_none,stage context rejects before candidate,stage=object,0,,0,0,0,n/a,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_013_STAGE_AUTHORIZATION_CONTEXT_MUST_BE_NONE,,true
5,candidate,candidate_non_mapping,candidate non-Mapping returns Exact13,candidate=object,0,,0,0,0,n/a,,ADMIT_013_CANDIDATE_RECORD_MAPPING_INVALID,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_013"",""admission_rule_name"":""download_failure_fail_closed"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_013_CANDIDATE_RECORD_MAPPING_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_013_unified_adapter_v1""}",true
6,candidate,candidate_empty,candidate empty Mapping zero access,candidate={},7,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,0,1,1,true,,,,true
7,candidate,candidate_extra,candidate extras ignored zero access,candidate={extra:bomb},7,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,0,1,1,true,,,,true
8,required_missing,required_1_missing,first required KeyError at download_result_status; later required and all authority untouched,download=instrumented_mapping,1,download_result_status,0,1,1,true,,,,true
9,required_missing,required_2_missing,first required KeyError at observed_http_status; later required and all authority untouched,download=instrumented_mapping,2,download_result_status|observed_http_status,0,1,1,true,,,,true
10,required_missing,required_3_missing,first required KeyError at observed_content_length_bytes; later required and all authority untouched,download=instrumented_mapping,3,download_result_status|observed_http_status|observed_content_length_bytes,0,1,1,true,,,,true
11,required_missing,required_4_missing,first required KeyError at observed_sha256; later required and all authority untouched,download=instrumented_mapping,4,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,0,1,1,true,,,,true
12,required_missing,required_later_stop,later required lookup stops after first missing,download=missing_then_bombs,2,download_result_status|observed_http_status,0,1,1,true,,,,true
13,required_lookup,required_identity,Exact4 object identities preserved,download=identity_objects,7,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,0,1,1,true,,,,true
14,required_lookup,required_non_keyerror,required lookup non-KeyError routes failure,download=raising_mapping,1,download_result_status,0,0,0,n/a,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_013_DOWNLOAD_RESULT_CONTEXT_LOOKUP_FAILED,,true
15,authority_optional,authority_1_missing,optional KeyError at expected_content_length_bytes; later authority still looked up,evaluation=instrumented_mapping,7,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,0,1,1,true,,,,true
16,authority_optional,authority_2_missing,optional KeyError at expected_sha256; later authority still looked up,evaluation=instrumented_mapping,7,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,0,1,1,true,,,,true
17,authority_optional,authority_3_missing,optional KeyError at explicit_integrity_verdict; later authority still looked up,evaluation=instrumented_mapping,7,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,0,1,1,true,,,,true
18,authority_optional,authority_all_missing,all optional authority absent,evaluation={},7,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,0,1,1,true,,,,true
19,authority_optional,authority_missing_continue,optional missing does not stop later lookup,evaluation=missing_then_present,7,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,0,1,1,true,,,,true
20,authority_optional,authority_identity,present authority object identity preserved,evaluation=identity_objects,7,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,0,1,1,true,,,,true
21,authority_optional,authority_non_keyerror,authority lookup non-KeyError routes failure,evaluation=raising_mapping,5,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes,0,0,0,n/a,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_013_EVALUATION_CONTEXT_LOOKUP_FAILED,,true
22,call,formal_once,successful routing invokes formal once,all_envelopes_valid,7,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,0,1,1,true,,,,true
23,call,oracle_once,valid source invokes oracle once,all_envelopes_valid,7,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,0,1,1,true,,,,true
24,call,formal_exception,formal unexpected exception propagates,all_envelopes_valid,7,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,0,1,0,true,,,,true
