case_order,case_id,case_group,routing_condition,candidate_record_representation,batch_context_representation,evaluation_context_representation,download_result_context_representation,stage_authorization_context_representation,evaluation_lookup_count,download_lookup_count,candidate_key_access_count,lookup_order,formal_call_count,oracle_call_count,source_exact12_json,oracle_exact12_json,projected_exact13_json,identity_preserved,expected_dispatch_code,expected_reason,case_passed
1,PRESENCE_DOWNLOAD_RESULT_STATUS_MISSING,exact4_presence,committed_Exact128_projection,{},None,expected_content_length_bytes=<MISSING>|expected_sha256='0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'|explicit_integrity_verdict=<MISSING>,download_result_status=<MISSING>|observed_http_status=200|observed_content_length_bytes=10|observed_sha256='0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',None,0,1,0,download_result_status,1,1,"{""admission_rule_id"":""ADMIT_013"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""DOWNLOAD_RESULT_STATUS_MISSING"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_013"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""DOWNLOAD_RESULT_STATUS_MISSING"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_013"",""admission_rule_name"":""download_failure_fail_closed"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""DOWNLOAD_RESULT_STATUS_MISSING"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""download_result_status""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_013_unified_adapter_v1""}",true,,DOWNLOAD_RESULT_STATUS_MISSING,true
2,PRESENCE_OBSERVED_HTTP_STATUS_MISSING,exact4_presence,committed_Exact128_projection,{},None,expected_content_length_bytes=<MISSING>|expected_sha256='0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'|explicit_integrity_verdict=<MISSING>,download_result_status='success'|observed_http_status=<MISSING>|observed_content_length_bytes=10|observed_sha256='0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',None,0,2,0,download_result_status|observed_http_status,1,1,"{""admission_rule_id"":""ADMIT_013"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_HTTP_STATUS_MISSING"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[""download_result_status""],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_013"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_HTTP_STATUS_MISSING"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[""download_result_status""],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_013"",""admission_rule_name"":""download_failure_fail_closed"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_HTTP_STATUS_MISSING"",""normalized_values"":[],""validated_candidate_fields"":[[""download_result_status"",""success""]],""consumed_candidate_fields"":[""download_result_status"",""observed_http_status""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_013_unified_adapter_v1""}",true,,OBSERVED_HTTP_STATUS_MISSING,true
3,PRESENCE_OBSERVED_CONTENT_LENGTH_BYTES_MISSING,exact4_presence,committed_Exact128_projection,{},None,expected_content_length_bytes=<MISSING>|expected_sha256='0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'|explicit_integrity_verdict=<MISSING>,download_result_status='success'|observed_http_status=200|observed_content_length_bytes=<MISSING>|observed_sha256='0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',None,0,3,0,download_result_status|observed_http_status|observed_content_length_bytes,1,1,"{""admission_rule_id"":""ADMIT_013"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_CONTENT_LENGTH_BYTES_MISSING"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[""download_result_status"",""observed_http_status""],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_013"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_CONTENT_LENGTH_BYTES_MISSING"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[""download_result_status"",""observed_http_status""],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_013"",""admission_rule_name"":""download_failure_fail_closed"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_CONTENT_LENGTH_BYTES_MISSING"",""normalized_values"":[],""validated_candidate_fields"":[[""download_result_status"",""success""],[""observed_http_status"",""200""]],""consumed_candidate_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_013_unified_adapter_v1""}",true,,OBSERVED_CONTENT_LENGTH_BYTES_MISSING,true
4,PRESENCE_OBSERVED_SHA256_MISSING,exact4_presence,committed_Exact128_projection,{},None,expected_content_length_bytes=<MISSING>|expected_sha256='0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'|explicit_integrity_verdict=<MISSING>,download_result_status='success'|observed_http_status=200|observed_content_length_bytes=10|observed_sha256=<MISSING>,None,0,4,0,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,1,1,"{""admission_rule_id"":""ADMIT_013"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_SHA256_MISSING"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes""],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_013"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_SHA256_MISSING"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes""],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_013"",""admission_rule_name"":""download_failure_fail_closed"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_SHA256_MISSING"",""normalized_values"":[],""validated_candidate_fields"":[[""download_result_status"",""success""],[""observed_http_status"",""200""],[""observed_content_length_bytes"",""10""]],""consumed_candidate_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_013_unified_adapter_v1""}",true,,OBSERVED_SHA256_MISSING,true
5,PRESENCE_FIRST_AND_LATER_MISSING,exact4_presence,committed_Exact128_projection,{},None,expected_content_length_bytes=<MISSING>|expected_sha256='0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'|explicit_integrity_verdict=<MISSING>,download_result_status=<MISSING>|observed_http_status=200|observed_content_length_bytes=10|observed_sha256=<MISSING>,None,0,1,0,download_result_status,1,1,"{""admission_rule_id"":""ADMIT_013"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""DOWNLOAD_RESULT_STATUS_MISSING"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_013"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""DOWNLOAD_RESULT_STATUS_MISSING"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_013"",""admission_rule_name"":""download_failure_fail_closed"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""DOWNLOAD_RESULT_STATUS_MISSING"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""download_result_status""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_013_unified_adapter_v1""}",true,,DOWNLOAD_RESULT_STATUS_MISSING,true
6,PRESENCE_SECOND_AND_LATER_MISSING,exact4_presence,committed_Exact128_projection,{},None,expected_content_length_bytes=<MISSING>|expected_sha256='0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'|explicit_integrity_verdict=<MISSING>,download_result_status='success'|observed_http_status=<MISSING>|observed_content_length_bytes=10|observed_sha256=<MISSING>,None,0,2,0,download_result_status|observed_http_status,1,1,"{""admission_rule_id"":""ADMIT_013"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_HTTP_STATUS_MISSING"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[""download_result_status""],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_013"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_HTTP_STATUS_MISSING"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[""download_result_status""],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_013"",""admission_rule_name"":""download_failure_fail_closed"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_HTTP_STATUS_MISSING"",""normalized_values"":[],""validated_candidate_fields"":[[""download_result_status"",""success""]],""consumed_candidate_fields"":[""download_result_status"",""observed_http_status""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_013_unified_adapter_v1""}",true,,OBSERVED_HTTP_STATUS_MISSING,true
7,PRESENCE_FIRST_MISSING_AUTHORITY_INVALID,cross_phase_precedence,committed_Exact128_projection,{},None,expected_content_length_bytes=None|expected_sha256='0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'|explicit_integrity_verdict=<MISSING>,download_result_status=<MISSING>|observed_http_status=200|observed_content_length_bytes=10|observed_sha256='0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',None,0,1,0,download_result_status,1,1,"{""admission_rule_id"":""ADMIT_013"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""DOWNLOAD_RESULT_STATUS_MISSING"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_013"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""DOWNLOAD_RESULT_STATUS_MISSING"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_013"",""admission_rule_name"":""download_failure_fail_closed"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""DOWNLOAD_RESULT_STATUS_MISSING"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""download_result_status""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_013_unified_adapter_v1""}",true,,DOWNLOAD_RESULT_STATUS_MISSING,true
8,STATUS_NONE,download_result_status_validation,committed_Exact128_projection,{},None,expected_content_length_bytes=<MISSING>|expected_sha256='0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'|explicit_integrity_verdict=<MISSING>,download_result_status=None|observed_http_status=200|observed_content_length_bytes=10|observed_sha256='0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',None,3,4,0,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,1,1,"{""admission_rule_id"":""ADMIT_013"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DOWNLOAD_RESULT_STATUS_TYPE_INVALID"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_013"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DOWNLOAD_RESULT_STATUS_TYPE_INVALID"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_013"",""admission_rule_name"":""download_failure_fail_closed"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DOWNLOAD_RESULT_STATUS_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_013_unified_adapter_v1""}",true,,DOWNLOAD_RESULT_STATUS_TYPE_INVALID,true
9,STATUS_FALSE,download_result_status_validation,committed_Exact128_projection,{},None,expected_content_length_bytes=<MISSING>|expected_sha256='0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'|explicit_integrity_verdict=<MISSING>,download_result_status=False|observed_http_status=200|observed_content_length_bytes=10|observed_sha256='0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',None,3,4,0,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,1,1,"{""admission_rule_id"":""ADMIT_013"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DOWNLOAD_RESULT_STATUS_TYPE_INVALID"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_013"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DOWNLOAD_RESULT_STATUS_TYPE_INVALID"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_013"",""admission_rule_name"":""download_failure_fail_closed"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DOWNLOAD_RESULT_STATUS_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_013_unified_adapter_v1""}",true,,DOWNLOAD_RESULT_STATUS_TYPE_INVALID,true
10,STATUS_ZERO,download_result_status_validation,committed_Exact128_projection,{},None,expected_content_length_bytes=<MISSING>|expected_sha256='0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'|explicit_integrity_verdict=<MISSING>,download_result_status=0|observed_http_status=200|observed_content_length_bytes=10|observed_sha256='0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',None,3,4,0,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,1,1,"{""admission_rule_id"":""ADMIT_013"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DOWNLOAD_RESULT_STATUS_TYPE_INVALID"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_013"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DOWNLOAD_RESULT_STATUS_TYPE_INVALID"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_013"",""admission_rule_name"":""download_failure_fail_closed"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DOWNLOAD_RESULT_STATUS_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_013_unified_adapter_v1""}",true,,DOWNLOAD_RESULT_STATUS_TYPE_INVALID,true
