contract_order,contract_id,contract_group,contract_subject,contract_value,contract_status
1,CONTRACT_001,identity,rule,ADMIT_013|download_failure_fail_closed|covapie_admit_013_unified_adapter_v1,frozen
2,CONTRACT_002,identity,formal_evaluator,evaluate_admit_013|Admit013EvaluationResult,frozen
3,CONTRACT_003,identity,oracle,classify_admit_013_formal_evaluator_interface_design|Admit013EvaluationResultContractDesign,frozen
4,CONTRACT_004,identity,future_handler,_evaluate_registered_admit_013,frozen
5,CONTRACT_005,routing,five_envelopes,candidate_record|batch_context|evaluation_context|download_result_context|stage_authorization_context,frozen
6,CONTRACT_006,routing,precedence,batch_context_must_be_none|evaluation_context_mapping_validation|download_result_context_mapping_validation|stage_authorization_context_must_be_none|candidate_record_mapping_validation|download_result_exact4_required_lookup_first_missing_stops|integrity_authority_exact3_optional_lookup_all|formal_evaluator_exactly_once|standalone_source_exact12_validation|independent_design_oracle_exactly_once|full_exact12_exact_type_value_equality|typed_to_string_exact13_projection,frozen
7,CONTRACT_007,routing,batch,exact_None,frozen
8,CONTRACT_008,routing,evaluation,Mapping_empty_allowed,frozen
9,CONTRACT_009,routing,download_result,Mapping_required,frozen
10,CONTRACT_010,routing,stage_authorization,exact_None,frozen
11,CONTRACT_011,candidate,mapping_only,Mapping_envelope_only_zero_key_access,frozen
12,CONTRACT_012,candidate,non_mapping_reason,ADMIT_013_CANDIDATE_RECORD_MAPPING_INVALID,frozen
13,CONTRACT_013,candidate,invalid_projection,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_013"",""admission_rule_name"":""download_failure_fail_closed"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_013_CANDIDATE_RECORD_MAPPING_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_013_unified_adapter_v1""}",frozen
14,CONTRACT_014,download_result,required_exact4,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,frozen
15,CONTRACT_015,download_result,lookup,getitem_ordered_first_KeyError_stops,frozen
16,CONTRACT_016,download_result,missing,omit_keyword_no_authority_lookup_formal_once,frozen
17,CONTRACT_017,download_result,lookup_exception,ADMIT_013_DOWNLOAD_RESULT_CONTEXT_LOOKUP_FAILED,frozen
18,CONTRACT_018,authority,optional_exact3,expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,frozen
19,CONTRACT_019,authority,lookup,getitem_all_KeyError_omit_and_continue,frozen
