occurrence_id,source_scope,source_path_namespace,source_path,line_start,line_end,ast_node_type,matched_semantic_pattern,expected_or_literal_mode,semantic_class,lifecycle_class,debt_disposition,is_git_tracked_source,is_external_covapie_state_source,mode_participates_in_admit_reject_decision,bytes_or_sha_also_checked,known_checkout_reconstruction_risk,recommended_v2_action,evidence_note
FMV2-84DE3AE55BB4EEA875F5,EXTERNAL_COVAPIE_STATE_JSON,repository_parent_relative,covapie-state/manual-review-aids/cumulative1000-high-yield-calibration-v1/1F8_COVAPIE_BULK_REVIEW_UNIT_9723B0F9EC07CC81/formal-human-decision-v1/1f8_formal_human_decision_v1.json,65,65,JsonObjectField,json_source_binding_exact_posix_mode,0644,SEMANTIC_SOURCE_IDENTITY_EXACT_POSIX_MODE,HISTORICAL_IMMUTABLE_V1,PRESERVE_HISTORICAL_BUT_DO_NOT_PROPAGATE,False,True,True,True,True,freeze V1; no propagation; disposable replay only,JSON binding joins exact mode to path/bytes/SHA. JSON path=root.evidence_provenance[0].mode
FMV2-4617CF3C8B95ECA703F4,EXTERNAL_COVAPIE_STATE_JSON,repository_parent_relative,covapie-state/manual-review-aids/cumulative1000-high-yield-calibration-v1/1F8_COVAPIE_BULK_REVIEW_UNIT_9723B0F9EC07CC81/formal-human-decision-v1/1f8_formal_human_decision_v1.json,76,76,JsonObjectField,json_source_binding_exact_posix_mode,0644,SEMANTIC_SOURCE_IDENTITY_EXACT_POSIX_MODE,HISTORICAL_IMMUTABLE_V1,PRESERVE_HISTORICAL_BUT_DO_NOT_PROPAGATE,False,True,True,True,True,freeze V1; no propagation; disposable replay only,JSON binding joins exact mode to path/bytes/SHA. JSON path=root.evidence_provenance[1].mode
FMV2-639279A5DC5C90B2B9E3,EXTERNAL_COVAPIE_STATE_JSON,repository_parent_relative,covapie-state/manual-review-aids/cumulative1000-high-yield-calibration-v1/1F8_COVAPIE_BULK_REVIEW_UNIT_9723B0F9EC07CC81/formal-human-decision-v1/1f8_formal_human_decision_v1.json,87,87,JsonObjectField,json_source_binding_exact_posix_mode,0644,SEMANTIC_SOURCE_IDENTITY_EXACT_POSIX_MODE,HISTORICAL_IMMUTABLE_V1,PRESERVE_HISTORICAL_BUT_DO_NOT_PROPAGATE,False,True,True,True,True,freeze V1; no propagation; disposable replay only,JSON binding joins exact mode to path/bytes/SHA. JSON path=root.evidence_provenance[2].mode
FMV2-B3BB170AAD2B94B39392,EXTERNAL_COVAPIE_STATE_JSON,repository_parent_relative,covapie-state/manual-review-aids/cumulative1000-high-yield-calibration-v1/1F8_COVAPIE_BULK_REVIEW_UNIT_9723B0F9EC07CC81/formal-human-decision-v1/1f8_formal_human_decision_v1.json,98,98,JsonObjectField,json_source_binding_exact_posix_mode,0644,SEMANTIC_SOURCE_IDENTITY_EXACT_POSIX_MODE,HISTORICAL_IMMUTABLE_V1,PRESERVE_HISTORICAL_BUT_DO_NOT_PROPAGATE,False,True,True,True,True,freeze V1; no propagation; disposable replay only,JSON binding joins exact mode to path/bytes/SHA. JSON path=root.evidence_provenance[3].mode
FMV2-0EF7A6029211DB5426DB,EXTERNAL_COVAPIE_STATE_JSON,repository_parent_relative,covapie-state/manual-review-aids/cumulative1000-high-yield-calibration-v1/1F8_COVAPIE_BULK_REVIEW_UNIT_9723B0F9EC07CC81/formal-human-decision-v1/1f8_formal_human_decision_v1.json,109,109,JsonObjectField,json_source_binding_exact_posix_mode,0644,SEMANTIC_SOURCE_IDENTITY_EXACT_POSIX_MODE,HISTORICAL_IMMUTABLE_V1,PRESERVE_HISTORICAL_BUT_DO_NOT_PROPAGATE,False,True,True,True,True,freeze V1; no propagation; disposable replay only,JSON binding joins exact mode to path/bytes/SHA. JSON path=root.evidence_provenance[4].mode
FMV2-94A3FE9831D21E4F09F0,EXTERNAL_COVAPIE_STATE_JSON,repository_parent_relative,covapie-state/manual-review-aids/cumulative1000-high-yield-calibration-v1/1F8_COVAPIE_BULK_REVIEW_UNIT_9723B0F9EC07CC81/formal-human-decision-v1/1f8_formal_human_decision_v1.json,120,120,JsonObjectField,json_source_binding_exact_posix_mode,0755,SEMANTIC_SOURCE_IDENTITY_EXACT_POSIX_MODE,HISTORICAL_IMMUTABLE_V1,PRESERVE_HISTORICAL_BUT_DO_NOT_PROPAGATE,False,True,True,True,True,freeze V1; no propagation; disposable replay only,JSON binding joins exact mode to path/bytes/SHA. JSON path=root.evidence_provenance[5].mode
FMV2-099BE7A30FCF17EEBCBC,EXTERNAL_COVAPIE_STATE_PYTHON,repository_parent_relative,covapie-state/manual-review-aids/cumulative1000-high-yield-calibration-v1/1F8_COVAPIE_BULK_REVIEW_UNIT_9723B0F9EC07CC81/review-preparation-v1/ligand_1f8_review_package_v1.py,1536,1536,ModeOperationCall,candidate_or_output_mode_hygiene,0755|0644,CANDIDATE_ARTIFACT_MODE_HYGIENE,HISTORICAL_IMMUTABLE_V1,PRESERVE_AS_IS,False,True,False,False,False,preserve non-executable 0644/0664 family,Operational artifact mode; not source identity.
FMV2-09667193DCD6190EC3CC,EXTERNAL_COVAPIE_STATE_PYTHON,repository_parent_relative,covapie-state/manual-review-aids/cumulative1000-high-yield-calibration-v1/1F8_COVAPIE_BULK_REVIEW_UNIT_9723B0F9EC07CC81/review-preparation-v1/ligand_1f8_review_package_v1.py,1548,1548,ModeSpecificationAssignment,candidate_or_output_mode_hygiene,0755|0644,CANDIDATE_ARTIFACT_MODE_HYGIENE,HISTORICAL_IMMUTABLE_V1,PRESERVE_AS_IS,False,True,False,False,False,preserve non-executable 0644/0664 family,Operational artifact mode; not source identity.
FMV2-26A496058B84E3C0B518,EXTERNAL_COVAPIE_STATE_PYTHON,repository_parent_relative,covapie-state/manual-review-aids/cumulative1000-high-yield-calibration-v1/1F8_COVAPIE_BULK_REVIEW_UNIT_9723B0F9EC07CC81/review-preparation-v1/ligand_1f8_review_package_v1.py,1549,1549,IfTest,exact_posix_mode_joined_to_byte_sha_source_identity,,SEMANTIC_SOURCE_IDENTITY_EXACT_POSIX_MODE,HISTORICAL_IMMUTABLE_V1,PRESERVE_HISTORICAL_BUT_DO_NOT_PROPAGATE,False,True,True,False,True,freeze V1; no propagation; disposable replay only,Exact mode rejects source alongside byte/SHA identity.
FMV2-948E200AB92C3E485415,EXTERNAL_COVAPIE_STATE_PYTHON,repository_parent_relative,covapie-state/manual-review-aids/cumulative1000-high-yield-calibration-v1/1F8_COVAPIE_BULK_REVIEW_UNIT_9723B0F9EC07CC81/review-preparation-v1/ligand_1f8_review_package_v1.py,1568,1568,DictModeMetadata,mode_metadata_recording,,REPORTING_OR_DIAGNOSTIC_MODE_METADATA,HISTORICAL_IMMUTABLE_V1,PRESERVE_AS_IS,False,True,False,True,False,preserve reporting; exclude from identity,Mode metadata only; rejection is inventoried separately.
