contract_id,contract_kind,contract_subject,contract_value,contract_status
API_001,public_api,signature,"evaluate_admit_010(leakage_group_id, leakage_group_assignment_provenance_contract)",frozen
API_002,public_api,parameters,two_required_positional_or_keyword_no_defaults_no_extras,frozen
API_003,public_api,execution,pure_in_memory_deterministic_no_input_mutation,frozen
RESULT_001,result,type,exact_frozen_dataclass_no_slots_no_subclasses,frozen
RESULT_002,result,field_count,10,frozen
RESULT_003,result,field_order,admission_rule_id|outcome|passed|blocks_candidate|reason|canonical_leakage_group_id|validated_candidate_fields|consumed_candidate_fields|consumed_context_items|evaluator_io_used,frozen
RESULT_004,result,exact_types_first,str|bool|tuple|string_pair_no_subclasses,frozen
RESULT_005,result,outcomes,passed|blocked|invalid,frozen
RESULT_006,result,state,passed_iff_passed;blocks_iff_nonpassed,frozen
RESULT_007,result,reason,passed_empty;nonpassed_frozen;blocked_lowercase_only,frozen
RESULT_008,result,scalar_short,empty_canonical_validated_context,frozen
RESULT_009,result,retained,canonical_pair_and_context_singleton,frozen
RESULT_010,result,io,exact_false,frozen
TUPLE_001,tuple,consumed_candidate_fields,leakage_group_id,frozen
TUPLE_002,tuple,consumed_context_items,empty_or_context_singleton,frozen
TUPLE_003,tuple,validated_candidate_fields,empty_or_exact_single_canonical_pair,frozen
IDENTITY_001,reuse,Exact19,direct_committed_class_identity,frozen
IDENTITY_002,reuse,constants,direct_committed_design_identity,frozen
PRECEDENCE_001,validation,Exact21,leakage_group_id_exact_builtin_str|empty_assignment_state|ASCII|canonical_grammar|provenance_exact_committed_design_type|contract_version|candidate_and_historical_field_names|field_mapping_rule|assignment_policy|assignment_policy_version|assignment_stage_kind|four_source_SHA256_fields|assignment_id|historical_leakage_group_id_grammar|sample_index_row_id|member_sample_index_row_ids|member_count|assignment_evidence_consistency|candidate_historical_id_exact_equality|sample_membership|passed,frozen
PRECEDENCE_002,validation,short_circuit,exact_type_first_no_hostile_dunder,frozen
GRAMMAR_001,scalar,regex,^COVAPIE_LEAKAGE_GROUP_[0-9]{6}$,frozen
GRAMMAR_002,scalar,canonical,input_byte_identity_no_normalization,frozen
SHA_001,provenance,four_sha,exact_lowercase_hex_str_length_64_syntax_only,frozen
OPAQUE_001,provenance,identifiers,exact_ascii_str_1_to_256_trim_identity,frozen
MEMBER_001,provenance,membership,exact_nonempty_tuple_strict_ascending_unique,frozen
MEMBER_002,provenance,member_count,exact_int_positive_equals_length_bool_rejected,frozen
EVIDENCE_001,provenance,pre_split,true_false_exact_status_then_equality_then_membership,frozen
ORACLE_001,oracle,production,formal_call_graph_does_not_import_or_call_design_classifier,frozen
ORACLE_002,oracle,parity,committed_Exact71_all_10_fields,frozen
ORACLE_003,oracle,role,design_classifier_tests_checker_metadata_only,frozen
SOURCE_001,source,boundary,fixed_ordered_Exact13_base_tree_and_filesystem_SHA,frozen
SOURCE_002,source,structure,all_structure_before_first_source_byte_read,frozen
ISSUE_001,issue,inventory,authoritative_bytes_preserved_no_transition,frozen
PROVIDER_001,boundary,provider_mapping,unvalidated_zero_real_provider_ids,frozen
BOUNDARY_001,boundary,integration,no_adapter_registration_Exact10_runtime_ADMIT_011,frozen
BOUNDARY_002,boundary,aggregation,no_evaluate_all_rules_or_combined_verdict,frozen
BOUNDARY_003,boundary,operations,no_raw_network_download_checkpoint_split_reassignment,frozen
BOUNDARY_004,boundary,training,feature_semantics_audit_required_Step12D_smoke_only,frozen
OUTPUT_001,materializer,preflight,complete_before_first_write_exact_six_safe_entries,frozen
OUTPUT_002,materializer,atomic,same_directory_tmp_fdopen_flush_fsync_replace_cleanup,frozen
OUTPUT_003,materializer,postwrite,exact_six_regular_non_symlink,frozen
