row_type,field_group,field_name,availability_status,observed_in_sample_index,candidate_source_field,enrichment_requirement,authoritative_now,blocks_final_split,current_sample_count,evidence,status,blocking_reasons,recommended_next_step
step12m_precondition,precondition,,,,,,,False,3,"{""step12m_validated"": true}",passed,[],real_covalent_split_metadata_enrichment_design_gate
sample_index_audit,sample_index,,,,,,,False,3,"{""current_sample_count"": 3, ""sample_index_observed_fields"": [""sample_id"", ""source_sample_id"", ""split"", ""npz_path"", ""npz_sha256"", ""ligand_atom_count"", ""ligand_bond_count"", ""protein_atom_count"", ""protein_residue_count"", ""scaffold_atom_count"", ""linker_atom_count"", ""warhead_atom_count"", ""ligand_reactive_atom_index"", ""materialization_status""]}",passed,[],real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,sample_identity,sample_id,present_exact,True,sample_id,none,True,False,3,"{""availability_status"": ""present_exact"", ""observed_in_sample_index"": true}",present,[],real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,sample_identity,parent_complex_id,candidate_derivable_requires_validation,False,source_sample_id,validate_parent_complex_mapping,False,True,3,"{""availability_status"": ""candidate_derivable_requires_validation"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,sample_identity,mask_parent_id,candidate_derivable_requires_validation,False,source_sample_id,validate_parent_complex_mapping,False,True,3,"{""availability_status"": ""candidate_derivable_requires_validation"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,sample_identity,mask_level,missing_required,False,,metadata_enrichment_required,False,True,3,"{""availability_status"": ""missing_required"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,sample_identity,source_dataset,candidate_derivable_requires_validation,False,input_source,validate_source_dataset_mapping,False,True,3,"{""availability_status"": ""candidate_derivable_requires_validation"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,sample_identity,source_pdb_id,candidate_derivable_requires_validation,False,sample_id,validate_sample_id_regex_and_mapping,False,True,3,"{""availability_status"": ""candidate_derivable_requires_validation"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,protein_identity,pdb_id,candidate_derivable_requires_validation,False,sample_id,validate_sample_id_regex_and_mapping,False,True,3,"{""availability_status"": ""candidate_derivable_requires_validation"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,protein_identity,chain_id,requires_protein_structure_or_sequence_mapping,False,,protein_structure_sequence_uniprot_or_cluster_enrichment,False,True,3,"{""availability_status"": ""requires_protein_structure_or_sequence_mapping"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
