fixture_profile,requested_scope_id,actual_error_type,actual_error_code,actual_error_scope_id,actual_error_candidate_index,actual_error_dispatcher_call_count,actual_error_aggregator_call_count,decision_exact15_field,expected_value,observed_value,expected_exact_type,observed_exact_type,verified
canonical_single_candidate_actual_orchestration_error,__covapie_invalid_scope_for_integration_smoke__,covalent_ext.covapie_stage_global_rule_evaluation_orchestration_contract_design_gate.StageAdmissionOrchestrationError,STAGE_ORCHESTRATION_SCOPE_ID_INVALID,__covapie_invalid_scope_for_integration_smoke__,-1,0,0,schema_version,"""covapie_bulk_download_stage_orchestration_call_site_decision_v1""","""covapie_bulk_download_stage_orchestration_call_site_decision_v1""",builtins.str,builtins.str,true
canonical_single_candidate_actual_orchestration_error,__covapie_invalid_scope_for_integration_smoke__,covalent_ext.covapie_stage_global_rule_evaluation_orchestration_contract_design_gate.StageAdmissionOrchestrationError,STAGE_ORCHESTRATION_SCOPE_ID_INVALID,__covapie_invalid_scope_for_integration_smoke__,-1,0,0,outcome,"""invalid""","""invalid""",builtins.str,builtins.str,true
canonical_single_candidate_actual_orchestration_error,__covapie_invalid_scope_for_integration_smoke__,covalent_ext.covapie_stage_global_rule_evaluation_orchestration_contract_design_gate.StageAdmissionOrchestrationError,STAGE_ORCHESTRATION_SCOPE_ID_INVALID,__covapie_invalid_scope_for_integration_smoke__,-1,0,0,passed,false,false,builtins.bool,builtins.bool,true
canonical_single_candidate_actual_orchestration_error,__covapie_invalid_scope_for_integration_smoke__,covalent_ext.covapie_stage_global_rule_evaluation_orchestration_contract_design_gate.StageAdmissionOrchestrationError,STAGE_ORCHESTRATION_SCOPE_ID_INVALID,__covapie_invalid_scope_for_integration_smoke__,-1,0,0,blocks_download,true,true,builtins.bool,builtins.bool,true
canonical_single_candidate_actual_orchestration_error,__covapie_invalid_scope_for_integration_smoke__,covalent_ext.covapie_stage_global_rule_evaluation_orchestration_contract_design_gate.StageAdmissionOrchestrationError,STAGE_ORCHESTRATION_SCOPE_ID_INVALID,__covapie_invalid_scope_for_integration_smoke__,-1,0,0,reason,"""BULK_DOWNLOAD_ORCHESTRATION_ERROR_FAIL_CLOSED""","""BULK_DOWNLOAD_ORCHESTRATION_ERROR_FAIL_CLOSED""",builtins.str,builtins.str,true
canonical_single_candidate_actual_orchestration_error,__covapie_invalid_scope_for_integration_smoke__,covalent_ext.covapie_stage_global_rule_evaluation_orchestration_contract_design_gate.StageAdmissionOrchestrationError,STAGE_ORCHESTRATION_SCOPE_ID_INVALID,__covapie_invalid_scope_for_integration_smoke__,-1,0,0,source_kind,"""orchestration_error""","""orchestration_error""",builtins.str,builtins.str,true
canonical_single_candidate_actual_orchestration_error,__covapie_invalid_scope_for_integration_smoke__,covalent_ext.covapie_stage_global_rule_evaluation_orchestration_contract_design_gate.StageAdmissionOrchestrationError,STAGE_ORCHESTRATION_SCOPE_ID_INVALID,__covapie_invalid_scope_for_integration_smoke__,-1,0,0,source_scope_id,"""__covapie_invalid_scope_for_integration_smoke__""","""__covapie_invalid_scope_for_integration_smoke__""",builtins.str,builtins.str,true
canonical_single_candidate_actual_orchestration_error,__covapie_invalid_scope_for_integration_smoke__,covalent_ext.covapie_stage_global_rule_evaluation_orchestration_contract_design_gate.StageAdmissionOrchestrationError,STAGE_ORCHESTRATION_SCOPE_ID_INVALID,__covapie_invalid_scope_for_integration_smoke__,-1,0,0,source_error_code,"""STAGE_ORCHESTRATION_SCOPE_ID_INVALID""","""STAGE_ORCHESTRATION_SCOPE_ID_INVALID""",builtins.str,builtins.str,true
canonical_single_candidate_actual_orchestration_error,__covapie_invalid_scope_for_integration_smoke__,covalent_ext.covapie_stage_global_rule_evaluation_orchestration_contract_design_gate.StageAdmissionOrchestrationError,STAGE_ORCHESTRATION_SCOPE_ID_INVALID,__covapie_invalid_scope_for_integration_smoke__,-1,0,0,candidate_count,0,0,builtins.int,builtins.int,true
canonical_single_candidate_actual_orchestration_error,__covapie_invalid_scope_for_integration_smoke__,covalent_ext.covapie_stage_global_rule_evaluation_orchestration_contract_design_gate.StageAdmissionOrchestrationError,STAGE_ORCHESTRATION_SCOPE_ID_INVALID,__covapie_invalid_scope_for_integration_smoke__,-1,0,0,invalid_candidate_indexes,[],[],builtins.tuple,builtins.tuple,true
canonical_single_candidate_actual_orchestration_error,__covapie_invalid_scope_for_integration_smoke__,covalent_ext.covapie_stage_global_rule_evaluation_orchestration_contract_design_gate.StageAdmissionOrchestrationError,STAGE_ORCHESTRATION_SCOPE_ID_INVALID,__covapie_invalid_scope_for_integration_smoke__,-1,0,0,blocked_candidate_indexes,[],[],builtins.tuple,builtins.tuple,true
canonical_single_candidate_actual_orchestration_error,__covapie_invalid_scope_for_integration_smoke__,covalent_ext.covapie_stage_global_rule_evaluation_orchestration_contract_design_gate.StageAdmissionOrchestrationError,STAGE_ORCHESTRATION_SCOPE_ID_INVALID,__covapie_invalid_scope_for_integration_smoke__,-1,0,0,failing_candidate_indexes,[],[],builtins.tuple,builtins.tuple,true
canonical_single_candidate_actual_orchestration_error,__covapie_invalid_scope_for_integration_smoke__,covalent_ext.covapie_stage_global_rule_evaluation_orchestration_contract_design_gate.StageAdmissionOrchestrationError,STAGE_ORCHESTRATION_SCOPE_ID_INVALID,__covapie_invalid_scope_for_integration_smoke__,-1,0,0,action_permission_granted,false,false,builtins.bool,builtins.bool,true
canonical_single_candidate_actual_orchestration_error,__covapie_invalid_scope_for_integration_smoke__,covalent_ext.covapie_stage_global_rule_evaluation_orchestration_contract_design_gate.StageAdmissionOrchestrationError,STAGE_ORCHESTRATION_SCOPE_ID_INVALID,__covapie_invalid_scope_for_integration_smoke__,-1,0,0,download_action_invoked,false,false,builtins.bool,builtins.bool,true
canonical_single_candidate_actual_orchestration_error,__covapie_invalid_scope_for_integration_smoke__,covalent_ext.covapie_stage_global_rule_evaluation_orchestration_contract_design_gate.StageAdmissionOrchestrationError,STAGE_ORCHESTRATION_SCOPE_ID_INVALID,__covapie_invalid_scope_for_integration_smoke__,-1,0,0,call_site_io_used,false,false,builtins.bool,builtins.bool,true
