readiness_item,observed_status,readiness_passed,next_required_gate,qa_comment
feature_schema_resolution_smoke_completed,true,True,covapie_feature_semantics_resolution_smoke_qa_gate,schema mapping smoke completed but not final for training
coordinate_policy_smoke_completed,true,True,covapie_feature_semantics_resolution_smoke_qa_gate,coordinate policy smoke completed without tensors
atom_feature_policy_smoke_completed,true,True,covapie_feature_semantics_resolution_smoke_qa_gate,atom feature policy smoke completed without tensors
unknown_atom_policy_smoke_completed,true,True,covapie_feature_semantics_resolution_smoke_qa_gate,unknown policy coverage smoke completed without finalizing policy
label_policy_smoke_completed,true,True,covapie_feature_semantics_resolution_smoke_qa_gate,label policy smoke completed without tensorizing labels
tensor_shape_dtype_policy_smoke_completed,true,True,covapie_feature_semantics_resolution_smoke_qa_gate,shape/dtype policy smoke completed without tensors
feature_semantics_training_final_still_false,feature_semantics_known_for_training=false;unknown_atom_feature_policy_finalized_for_training=false,True,formal_feature_semantics_audit_before_training,training-final semantics remain false
actual_dataloader_adapter_smoke_still_blocked,ready_for_covapie_actual_dataloader_adapter_smoke=false,True,covapie_feature_semantics_resolution_smoke_qa_gate,adapter smoke remains blocked until QA
actual_dataloader_smoke_still_blocked,ready_for_covapie_actual_dataloader_smoke=false,True,covapie_feature_semantics_resolution_smoke_qa_gate,actual dataloader smoke remains blocked
training_still_blocked,ready_for_training=false;ready_to_train_now=false,True,feature_semantics_audit_and_leakage_split_design_before_training,training remains blocked
