label_smoke_item,design_contract_row_found,metadata_or_final_preview_evidence_found,observed_label_summary,mask_task_name_source_of_truth,mask_task_alias_display_only,ready_for_actual_tensor_smoke,blocks_training,label_smoke_passed,qa_comment
mask_task_name_string_selector_policy,True,True,"mask_names=['linker_plus_warhead', 'scaffold_only', 'scaffold_plus_linker_plus_warhead', 'scaffold_plus_warhead', 'warhead_only'];aliases=['A', 'B', 'B2', 'B3', 'C'];final_columns=45;metadata_rows=20",True,True,False,False,True,label policy smoke uses metadata/final previews only; no label tensors are written
mask_task_alias_display_only_policy,True,True,"mask_names=['linker_plus_warhead', 'scaffold_only', 'scaffold_plus_linker_plus_warhead', 'scaffold_plus_warhead', 'warhead_only'];aliases=['A', 'B', 'B2', 'B3', 'C'];final_columns=45;metadata_rows=20",True,True,False,False,True,label policy smoke uses metadata/final previews only; no label tensors are written
scaffold_linker_warhead_group_label_policy_candidate,True,True,"mask_task_name:count=5;examples=['linker_plus_warhead', 'scaffold_only', 'scaffold_plus_linker_plus_warhead', 'scaffold_plus_warhead', 'warhead_only']|mask_task_alias:count=5;examples=['A', 'B', 'B2', 'B3', 'C']",True,True,False,True,True,label policy smoke uses metadata/final previews only; no label tensors are written
mask_boolean_tensor_policy_candidate,True,True,boolean mask tensor not written; five metadata selectors observed,True,True,False,True,True,label policy smoke uses metadata/final previews only; no label tensors are written
warhead_type_label_policy_candidate,True,True,"het_code:count=4;examples=['00K', '00L', 'T16', 'T29']|residue_name:count=1;examples=['SER']",True,True,False,True,True,label policy smoke uses metadata/final previews only; no label tensors are written
covalent_atom_pair_label_policy_candidate,True,True,"covalent_bond_atom_pair:count=2;examples=['OG-B', 'OG-C']",True,True,False,True,True,label policy smoke uses metadata/final previews only; no label tensors are written
covalent_bond_distance_label_policy_candidate,True,True,"covalent_bond_distance_angstrom:count=4;examples=['1.572', '1.601', '1.776', '1.821']",True,True,False,True,True,label policy smoke uses metadata/final previews only; no label tensors are written
pre_covalent_geometry_label_policy_candidate,True,True,pre-covalent geometry label not materialized current step,True,True,False,True,True,label policy smoke uses metadata/final previews only; no label tensors are written
post_covalent_geometry_label_policy_candidate,True,True,post-covalent geometry label not materialized current step,True,True,False,True,True,label policy smoke uses metadata/final previews only; no label tensors are written
auxiliary_loss_label_policy_blocked,True,True,auxiliary loss labels remain blocked,True,True,False,True,True,label policy smoke uses metadata/final previews only; no label tensors are written
group_label_materialization_smoke_required,True,True,future group label materialization smoke still required,True,True,False,True,True,label policy smoke uses metadata/final previews only; no label tensors are written
auxiliary_label_resolution_smoke_required,True,True,future auxiliary label smoke still required,True,True,False,True,True,label policy smoke uses metadata/final previews only; no label tensors are written
label_tensorization_actual_smoke_blocked,True,True,label tensorization blocked current step,True,True,False,True,True,label policy smoke uses metadata/final previews only; no label tensors are written
label_semantics_not_training_final_current_step,True,True,label semantics not training-final current step,True,True,False,True,True,label policy smoke uses metadata/final previews only; no label tensors are written
