safety_item,required_status,observed_status,safety_passed,blocking_reasons
raw_files_untracked,empty,passed,True,
raw_files_unstaged,empty,passed,True,
raw_files_not_read_current_step,true,passed,True,
no_network_access_current_step,true,passed,True,
no_download_current_step,true,passed,True,
no_raw_files_written_current_step,true,passed,True,
manifest_paths_point_to_future_raw_storage_only,true,passed,True,
raw_output_paths_do_not_exist_current_step,true,passed,True,
derived_output_no_forbidden_binary_artifacts,true,passed,True,
no_actual_dataloader_smoke_written,true,passed,True,
no_real_dataloader_written,true,passed,True,
no_original_dataloader_modified,true,passed,True,
no_torch_tensor_checkpoint_training_artifacts,true,passed,True,
no_numpy_outputs,true,passed,True,
no_real_final_dataset_written,true,passed,True,
no_new_sample_index_written,true,passed,True,
no_split_assignments_written,true,passed,True,
no_leakage_matrix_written,true,passed,True,
metadata_csv_unchanged,"[""data/derived/covalent_small/external_metadata_index/covpdb/covpdb_complexes_metadata_manual.csv""]",passed,True,
step14b_artifacts_unchanged,"[""data/derived/covalent_small/covapie_bulk_download_design_gate_v0""]",passed,True,
step14a_artifacts_unchanged,"[""data/derived/covalent_small/covapie_feature_semantics_resolution_smoke_qa_gate_v0""]",passed,True,
step13bz_artifacts_unchanged,"[""data/derived/covalent_small/covapie_feature_semantics_resolution_smoke_v0""]",passed,True,
step13by_artifacts_unchanged,"[""data/derived/covalent_small/covapie_feature_semantics_resolution_design_gate_v0""]",passed,True,
step13bx_artifacts_unchanged,"[""data/derived/covalent_small/covapie_feature_semantics_tensorization_audit_gate_v0""]",passed,True,
step13bu_artifacts_unchanged,"[""data/derived/covalent_small/covapie_metadata_dataloader_smoke_v0""]",passed,True,
step13bo_artifacts_unchanged,"[""data/derived/covalent_small/covapie_final_dataset_smoke_v0""]",passed,True,
step13bm_artifacts_unchanged,"[""data/derived/covalent_small/covapie_feature_semantics_audit_gate_v0""]",passed,True,
step13ai_inventory_artifacts_unchanged,"[""data/derived/covalent_small/covapie_metadata_source_inventory_gate_v0""]",passed,True,
protected_source_diff_empty,true,passed,True,
original_dataloader_diff_empty,true,passed,True,
no_network_download_rdkit_biopdb_gemmi_gzip_torch_numpy_imports,true,passed,True,
