source_audit_item,source_path_or_scope,search_or_reference_policy,observed_status,evidence_summary,source_audit_passed,qa_comment
dataset_py_static_feature_reference,dataset.py,static_read_only_no_import,static_read_only,bytes=2693,True,original Dataset/collate feature handling read as static reference
prepare_crossdocked_static_feature_reference,data/prepare_crossdocked.py,static_read_only_no_import,static_read_only,bytes=1896,True,original preprocessing feature handling read as static reference
lightning_modules_static_feature_reference,lightning_modules.py,static_read_only_no_import,static_read_only,bytes=38178,True,model batch key usage read as static reference
equivariant_diffusion_static_feature_reference,equivariant_diffusion,static_read_only_no_import,static_read_only,py_files=4;bytes=103798,True,diffusion feature usage read as static reference
existing_atom_encoder_symbols_search,dataset.py;data/prepare_crossdocked.py;lightning_modules.py;equivariant_diffusion/;src/covalent_ext/,static_symbol_search_no_import_no_semantics_claim,static_search_completed,lightning_modules.py:88;equivariant_diffusion:45;src/covalent_ext:396,True,symbol evidence recorded without claiming training-final semantics
existing_atom_decoder_symbols_search,dataset.py;data/prepare_crossdocked.py;lightning_modules.py;equivariant_diffusion/;src/covalent_ext/,static_symbol_search_no_import_no_semantics_claim,static_search_completed,lightning_modules.py:31;equivariant_diffusion:11;src/covalent_ext:67,True,symbol evidence recorded without claiming training-final semantics
existing_aa_encoder_symbols_search,dataset.py;data/prepare_crossdocked.py;lightning_modules.py;equivariant_diffusion/;src/covalent_ext/,static_symbol_search_no_import_no_semantics_claim,static_search_completed,lightning_modules.py:25;equivariant_diffusion:48;src/covalent_ext:1149,True,symbol evidence recorded without claiming training-final semantics
existing_feature_dimension_symbols_search,dataset.py;data/prepare_crossdocked.py;lightning_modules.py;equivariant_diffusion/;src/covalent_ext/,static_symbol_search_no_import_no_semantics_claim,static_search_completed,lightning_modules.py:49;equivariant_diffusion:138;src/covalent_ext:18,True,symbol evidence recorded without claiming training-final semantics
existing_unknown_atom_handling_search,dataset.py;data/prepare_crossdocked.py;lightning_modules.py;equivariant_diffusion/;src/covalent_ext/,static_symbol_search_no_import_no_semantics_claim,static_search_completed,equivariant_diffusion:18;src/covalent_ext:1406,True,symbol evidence recorded without claiming training-final semantics
existing_batch_key_symbols_search,dataset.py;data/prepare_crossdocked.py;lightning_modules.py;equivariant_diffusion/;src/covalent_ext/,static_symbol_search_no_import_no_semantics_claim,static_search_completed,dataset.py:34;data/prepare_crossdocked.py:24;lightning_modules.py:612;equivariant_diffusion:1929;src/covalent_ext:29477,True,symbol evidence recorded without claiming training-final semantics
original_dataloader_no_diff,dataset.py;data/prepare_crossdocked.py,git_diff_check,no_diff,original DiffSBDD dataloader files unchanged,True,no source modification
protected_model_code_no_diff,lightning_modules.py;equivariant_diffusion/,git_diff_check,no_diff,protected DiffSBDD model code unchanged,True,no source modification
