boundary_item,current_step_status,execution_boundary_passed,blocking_reasons
external_metadata_index_download_smoke,executed_metadata_index_smoke_only,True,
source_config_read,executed_config_only,True,
manual_metadata_index_file_discovery,executed_path_exists_check_only,True,
manual_metadata_index_header_probe,not_executed_missing_manual_metadata_index,True,
manual_metadata_index_sample_rows_probe,not_executed_missing_manual_metadata_index,True,
external_network_access,not_executed_or_not_allowed,True,
external_source_url_verification,not_executed_or_not_allowed,True,
external_metadata_download,not_executed_or_not_allowed,True,
raw_structure_download,not_executed_or_not_allowed,True,
raw_data_read,not_executed_or_not_allowed,True,
raw_file_copy,not_executed_or_not_allowed,True,
sdf_read,not_executed_or_not_allowed,True,
pdb_read,not_executed_or_not_allowed,True,
mmcif_read,not_executed_or_not_allowed,True,
gzip_open,not_executed_or_not_allowed,True,
rdkit_use,not_executed_or_not_allowed,True,
biopdb_use,not_executed_or_not_allowed,True,
gemmi_use,not_executed_or_not_allowed,True,
candidate_metadata_materialization,not_executed_or_not_allowed,True,
candidate_allowlist_materialization,not_executed_or_not_allowed,True,
sample_index_write,not_executed_or_not_allowed,True,
torch_import,not_executed_or_not_allowed,True,
model_forward,not_executed_or_not_allowed,True,
training_claim,not_executed_or_not_allowed,True,
