source_config_field,source_config_value,config_audit_status,config_audit_passed,blocking_reasons
source_slot_id,specialized_covalent_complex_database_primary_1,passed,True,
source_name,CovPDB,passed,True,
source_family,specialized_covalent_protein_ligand_database,passed,True,
source_priority,1,passed,True,
source_metadata_index_url_or_local_path,data/derived/covalent_small/external_metadata_index/covpdb/covpdb_complexes_metadata_manual.csv,passed,True,
source_access_method,manual_user_supplied,passed,True,
source_version_or_download_date,source_page_checked_2026-07-06_metadata_csv_to_be_manually_supplied,passed,True,
expected_metadata_artifact_type,csv,passed,True,
expected_candidate_unit,covalent_ligand_residue_event,passed,True,
citation_or_license_note,CovPDB_NAR_2021_freely_accessible_metadata_csv_to_be_user_supplied_license_to_recheck_before_raw_commit,passed,True,
enabled_for_download_smoke,true,passed,True,
manual_source_verification_status,verified_by_user,passed,True,
