safety_item,required_status,observed_status,safety_passed,blocking_reasons
raw_files_untracked,passed,passed,True,
raw_files_unstaged,passed,passed,True,
no_network_access_current_step,passed,passed,True,
no_download_current_step,passed,passed,True,
no_raw_files_written_current_step,passed,passed,True,
discovery_raw_output_paths_do_not_exist_current_step,passed,passed,True,
metadata_csv_unchanged,passed,passed,True,
step14f_artifacts_unchanged,passed,passed,True,
step14e_artifacts_unchanged,passed,passed,True,
step14d_artifacts_unchanged,passed,passed,True,
step14c_artifacts_unchanged,passed,passed,True,
step14b_artifacts_unchanged,passed,passed,True,
protected_source_diff_empty,passed,passed,True,
original_dataloader_diff_empty,passed,passed,True,
no_torch_numpy_rdkit_biopdb_gemmi_gzip_imports,passed,passed,True,
no_training_artifacts,passed,passed,True,
no_actual_dataloader_artifacts,passed,passed,True,
no_forbidden_binary_or_raw_suffix_in_derived_output,passed,passed,True,
