discovery_candidate_id,curation_candidate_id,source_profile,source_database,candidate_metadata_id,pdb_id,ligand_identifier,existing_local_raw_path,existing_local_raw_available,included_in_discovery_manifest,inclusion_reason,candidate_source_audit_passed
CYS_SG_DISC_000001,CUR_EVT_000001,covpdb_manual_metadata_v0,CovPDB,COVPDB_META_000001,1A3B,COVPDB1333,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0/1A3B.cif,True,True,pdb_id_available_for_raw_evidence_discovery_only,True
CYS_SG_DISC_000002,CUR_EVT_000002,covpdb_manual_metadata_v0,CovPDB,COVPDB_META_000002,1A3E,COVPDB1330,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0/1A3E.cif,True,True,pdb_id_available_for_raw_evidence_discovery_only,True
CYS_SG_DISC_000003,CUR_EVT_000003,covpdb_manual_metadata_v0,CovPDB,COVPDB_META_000003,1A46,COVPDB1,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0/1A46.cif,True,True,pdb_id_available_for_raw_evidence_discovery_only,True
CYS_SG_DISC_000004,CUR_EVT_000004,covpdb_manual_metadata_v0,CovPDB,COVPDB_META_000004,1A54,COVPDB1089,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0/1A54.cif,True,True,pdb_id_available_for_raw_evidence_discovery_only,True
CYS_SG_DISC_000005,CUR_EVT_000005,covpdb_manual_metadata_v0,CovPDB,COVPDB_META_000005,1A5G,COVPDB2,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0/1A5G.cif,True,True,pdb_id_available_for_raw_evidence_discovery_only,True
CYS_SG_DISC_000006,CUR_EVT_000006,covpdb_manual_metadata_v0,CovPDB,COVPDB_META_000006,1A61,COVPDB3,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0/1A61.mmcif,False,True,pdb_id_available_for_raw_evidence_discovery_only,True
CYS_SG_DISC_000007,CUR_EVT_000007,covpdb_manual_metadata_v0,CovPDB,COVPDB_META_000007,1AD8,COVPDB1090,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0/1AD8.mmcif,False,True,pdb_id_available_for_raw_evidence_discovery_only,True
CYS_SG_DISC_000008,CUR_EVT_000008,covpdb_manual_metadata_v0,CovPDB,COVPDB_META_000008,1AEC,COVPDB739,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0/1AEC.mmcif,False,True,pdb_id_available_for_raw_evidence_discovery_only,True
CYS_SG_DISC_000009,CUR_EVT_000009,covpdb_manual_metadata_v0,CovPDB,COVPDB_META_000009,1AHT,COVPDB501,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0/1AHT.mmcif,False,True,pdb_id_available_for_raw_evidence_discovery_only,True
CYS_SG_DISC_000010,CUR_EVT_000010,covpdb_manual_metadata_v0,CovPDB,COVPDB_META_000010,1AI8,COVPDB1341,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0/1AI8.mmcif,False,True,pdb_id_available_for_raw_evidence_discovery_only,True
CYS_SG_DISC_000011,CUR_EVT_000011,covpdb_manual_metadata_v0,CovPDB,COVPDB_META_000011,1AIM,COVPDB1512,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0/1AIM.mmcif,False,True,pdb_id_available_for_raw_evidence_discovery_only,True
CYS_SG_DISC_000012,CUR_EVT_000012,covpdb_manual_metadata_v0,CovPDB,COVPDB_META_000012,1ARC,COVPDB644,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0/1ARC.mmcif,False,True,pdb_id_available_for_raw_evidence_discovery_only,True
