discovery_manifest_row_id,purpose,source_profile,source_database,curation_candidate_id,candidate_metadata_id,pdb_id,ligand_identifier,intended_structure_format,intended_download_url_or_resolver,raw_output_path,existing_local_raw_available,discovery_download_status,retry_count,failure_reason,source_metadata_hash,pdb_only_join_role,event_identity_status,downstream_struct_conn_discovery_status,git_tracking_guard,ready_candidate_current_step,ready_for_training_current_step
CYS_SG_DISC_MAN_000001,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000001,COVPDB_META_000001,1A3B,COVPDB1333,cif,rcsb_pdb_id_resolver:1A3B,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1A3B.cif,True,pending_not_downloaded,0,,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,raw_evidence_fetch_only_not_event_identity,unknown_pending_struct_conn_discovery,pending_future_download_smoke_then_parse,do_not_track_or_commit_raw,False,False
CYS_SG_DISC_MAN_000002,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000002,COVPDB_META_000002,1A3E,COVPDB1330,cif,rcsb_pdb_id_resolver:1A3E,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1A3E.cif,True,pending_not_downloaded,0,,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,raw_evidence_fetch_only_not_event_identity,unknown_pending_struct_conn_discovery,pending_future_download_smoke_then_parse,do_not_track_or_commit_raw,False,False
CYS_SG_DISC_MAN_000003,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000003,COVPDB_META_000003,1A46,COVPDB1,cif,rcsb_pdb_id_resolver:1A46,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1A46.cif,True,pending_not_downloaded,0,,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,raw_evidence_fetch_only_not_event_identity,unknown_pending_struct_conn_discovery,pending_future_download_smoke_then_parse,do_not_track_or_commit_raw,False,False
CYS_SG_DISC_MAN_000004,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000004,COVPDB_META_000004,1A54,COVPDB1089,cif,rcsb_pdb_id_resolver:1A54,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1A54.cif,True,pending_not_downloaded,0,,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,raw_evidence_fetch_only_not_event_identity,unknown_pending_struct_conn_discovery,pending_future_download_smoke_then_parse,do_not_track_or_commit_raw,False,False
CYS_SG_DISC_MAN_000005,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000005,COVPDB_META_000005,1A5G,COVPDB2,cif,rcsb_pdb_id_resolver:1A5G,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1A5G.cif,True,pending_not_downloaded,0,,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,raw_evidence_fetch_only_not_event_identity,unknown_pending_struct_conn_discovery,pending_future_download_smoke_then_parse,do_not_track_or_commit_raw,False,False
CYS_SG_DISC_MAN_000006,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000006,COVPDB_META_000006,1A61,COVPDB3,cif,rcsb_pdb_id_resolver:1A61,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1A61.cif,False,pending_not_downloaded,0,,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,raw_evidence_fetch_only_not_event_identity,unknown_pending_struct_conn_discovery,pending_future_download_smoke_then_parse,do_not_track_or_commit_raw,False,False
CYS_SG_DISC_MAN_000007,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000007,COVPDB_META_000007,1AD8,COVPDB1090,cif,rcsb_pdb_id_resolver:1AD8,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AD8.cif,False,pending_not_downloaded,0,,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,raw_evidence_fetch_only_not_event_identity,unknown_pending_struct_conn_discovery,pending_future_download_smoke_then_parse,do_not_track_or_commit_raw,False,False
CYS_SG_DISC_MAN_000008,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000008,COVPDB_META_000008,1AEC,COVPDB739,cif,rcsb_pdb_id_resolver:1AEC,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AEC.cif,False,pending_not_downloaded,0,,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,raw_evidence_fetch_only_not_event_identity,unknown_pending_struct_conn_discovery,pending_future_download_smoke_then_parse,do_not_track_or_commit_raw,False,False
CYS_SG_DISC_MAN_000009,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000009,COVPDB_META_000009,1AHT,COVPDB501,cif,rcsb_pdb_id_resolver:1AHT,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AHT.cif,False,pending_not_downloaded,0,,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,raw_evidence_fetch_only_not_event_identity,unknown_pending_struct_conn_discovery,pending_future_download_smoke_then_parse,do_not_track_or_commit_raw,False,False
CYS_SG_DISC_MAN_000010,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000010,COVPDB_META_000010,1AI8,COVPDB1341,cif,rcsb_pdb_id_resolver:1AI8,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AI8.cif,False,pending_not_downloaded,0,,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,raw_evidence_fetch_only_not_event_identity,unknown_pending_struct_conn_discovery,pending_future_download_smoke_then_parse,do_not_track_or_commit_raw,False,False
