case_order,case_id,case_group,assertion_kind,inherited_case_id,stage_context_representation,expected_design_result,observed_formal_result,exact_type_value_equality,evaluator_io_used,formal_source,truth_passed
1,OMITTED,context_structure,actual_evaluator_independent_oracle_exact9_projection,OMITTED,<MISSING>,"('ADMIT_015', 'blocked', False, True, 'STAGE_AUTHORIZATION_CONTEXT_REQUIRED', (), (), (), False)","('ADMIT_015', 'blocked', False, True, 'STAGE_AUTHORIZATION_CONTEXT_REQUIRED', (), (), (), False)",true,false,evaluate_admit_015|Admit015EvaluationResult,true
2,EXPLICIT_NONE,context_structure,actual_evaluator_independent_oracle_exact9_projection,EXPLICIT_NONE,None,"('ADMIT_015', 'blocked', False, True, 'STAGE_AUTHORIZATION_CONTEXT_REQUIRED', (), (), (), False)","('ADMIT_015', 'blocked', False, True, 'STAGE_AUTHORIZATION_CONTEXT_REQUIRED', (), (), (), False)",true,false,evaluate_admit_015|Admit015EvaluationResult,true
3,CONTEXT_OBJECT,context_structure,actual_evaluator_independent_oracle_exact9_projection,CONTEXT_OBJECT,<OBJECT>,"('ADMIT_015', 'blocked', False, True, 'STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID', (), (), (), False)","('ADMIT_015', 'blocked', False, True, 'STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID', (), (), (), False)",true,false,evaluate_admit_015|Admit015EvaluationResult,true
4,CONTEXT_INT,context_structure,actual_evaluator_independent_oracle_exact9_projection,CONTEXT_INT,7,"('ADMIT_015', 'blocked', False, True, 'STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID', (), (), (), False)","('ADMIT_015', 'blocked', False, True, 'STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID', (), (), (), False)",true,false,evaluate_admit_015|Admit015EvaluationResult,true
5,CONTEXT_STR,context_structure,actual_evaluator_independent_oracle_exact9_projection,CONTEXT_STR,'x',"('ADMIT_015', 'blocked', False, True, 'STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID', (), (), (), False)","('ADMIT_015', 'blocked', False, True, 'STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID', (), (), (), False)",true,false,evaluate_admit_015|Admit015EvaluationResult,true
6,CONTEXT_LIST,context_structure,actual_evaluator_independent_oracle_exact9_projection,CONTEXT_LIST,[],"('ADMIT_015', 'blocked', False, True, 'STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID', (), (), (), False)","('ADMIT_015', 'blocked', False, True, 'STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID', (), (), (), False)",true,false,evaluate_admit_015|Admit015EvaluationResult,true
7,EMPTY_MAPPING,context_structure,actual_evaluator_independent_oracle_exact9_projection,EMPTY_MAPPING,{},"('ADMIT_015', 'blocked', False, True, 'CURRENT_STAGE_TRAINING_AUTHORIZED_MISSING', (), (), ('current_stage_training_authorized',), False)","('ADMIT_015', 'blocked', False, True, 'CURRENT_STAGE_TRAINING_AUTHORIZED_MISSING', (), (), ('current_stage_training_authorized',), False)",true,false,evaluate_admit_015|Admit015EvaluationResult,true
8,UNRELATED_ONLY_MAPPING,context_structure,actual_evaluator_independent_oracle_exact9_projection,UNRELATED_ONLY_MAPPING,{'other': True},"('ADMIT_015', 'blocked', False, True, 'CURRENT_STAGE_TRAINING_AUTHORIZED_MISSING', (), (), ('current_stage_training_authorized',), False)","('ADMIT_015', 'blocked', False, True, 'CURRENT_STAGE_TRAINING_AUTHORIZED_MISSING', (), (), ('current_stage_training_authorized',), False)",true,false,evaluate_admit_015|Admit015EvaluationResult,true
9,LOOKUP_KEYERROR,lookup,actual_evaluator_independent_oracle_exact9_projection,LOOKUP_KEYERROR,<Mapping:KeyError>,"('ADMIT_015', 'blocked', False, True, 'CURRENT_STAGE_TRAINING_AUTHORIZED_MISSING', (), (), ('current_stage_training_authorized',), False)","('ADMIT_015', 'blocked', False, True, 'CURRENT_STAGE_TRAINING_AUTHORIZED_MISSING', (), (), ('current_stage_training_authorized',), False)",true,false,evaluate_admit_015|Admit015EvaluationResult,true
10,LOOKUP_RUNTIMEERROR,lookup,actual_evaluator_independent_oracle_exact9_projection,LOOKUP_RUNTIMEERROR,<Mapping:RuntimeError>,"('ADMIT_015', 'blocked', False, True, 'STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED', (), (), ('current_stage_training_authorized',), False)","('ADMIT_015', 'blocked', False, True, 'STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED', (), (), ('current_stage_training_authorized',), False)",true,false,evaluate_admit_015|Admit015EvaluationResult,true
11,LOOKUP_VALUEERROR,lookup,actual_evaluator_independent_oracle_exact9_projection,LOOKUP_VALUEERROR,<Mapping:ValueError>,"('ADMIT_015', 'blocked', False, True, 'STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED', (), (), ('current_stage_training_authorized',), False)","('ADMIT_015', 'blocked', False, True, 'STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED', (), (), ('current_stage_training_authorized',), False)",true,false,evaluate_admit_015|Admit015EvaluationResult,true
12,INT_ZERO,invalid_exact_type,actual_evaluator_independent_oracle_exact9_projection,INT_ZERO,{'current_stage_training_authorized': 0},"('ADMIT_015', 'blocked', False, True, 'CURRENT_STAGE_TRAINING_AUTHORIZED_TYPE_INVALID', (), (), ('current_stage_training_authorized',), False)","('ADMIT_015', 'blocked', False, True, 'CURRENT_STAGE_TRAINING_AUTHORIZED_TYPE_INVALID', (), (), ('current_stage_training_authorized',), False)",true,false,evaluate_admit_015|Admit015EvaluationResult,true
13,INT_ONE,invalid_exact_type,actual_evaluator_independent_oracle_exact9_projection,INT_ONE,{'current_stage_training_authorized': 1},"('ADMIT_015', 'blocked', False, True, 'CURRENT_STAGE_TRAINING_AUTHORIZED_TYPE_INVALID', (), (), ('current_stage_training_authorized',), False)","('ADMIT_015', 'blocked', False, True, 'CURRENT_STAGE_TRAINING_AUTHORIZED_TYPE_INVALID', (), (), ('current_stage_training_authorized',), False)",true,false,evaluate_admit_015|Admit015EvaluationResult,true
14,FLOAT_ZERO,invalid_exact_type,actual_evaluator_independent_oracle_exact9_projection,FLOAT_ZERO,{'current_stage_training_authorized': 0.0},"('ADMIT_015', 'blocked', False, True, 'CURRENT_STAGE_TRAINING_AUTHORIZED_TYPE_INVALID', (), (), ('current_stage_training_authorized',), False)","('ADMIT_015', 'blocked', False, True, 'CURRENT_STAGE_TRAINING_AUTHORIZED_TYPE_INVALID', (), (), ('current_stage_training_authorized',), False)",true,false,evaluate_admit_015|Admit015EvaluationResult,true
15,FLOAT_ONE,invalid_exact_type,actual_evaluator_independent_oracle_exact9_projection,FLOAT_ONE,{'current_stage_training_authorized': 1.0},"('ADMIT_015', 'blocked', False, True, 'CURRENT_STAGE_TRAINING_AUTHORIZED_TYPE_INVALID', (), (), ('current_stage_training_authorized',), False)","('ADMIT_015', 'blocked', False, True, 'CURRENT_STAGE_TRAINING_AUTHORIZED_TYPE_INVALID', (), (), ('current_stage_training_authorized',), False)",true,false,evaluate_admit_015|Admit015EvaluationResult,true
