contract_order,contract_section,section_order,public_name,formal_type,required,frozen_value,formal_invariant,implementation_source,contract_passed
1,signature_parameter,1,stage_authorization_context,object,false,keyword_only|private_missing_singleton,one parameter; no positional/varargs/varkw/unknown keyword,formal_closure,true
2,result_field,1,admission_rule_id,str,true,Exact9_ordered,exact built-in top-level type and reason-state invariant,formal_closure,true
3,result_field,2,outcome,str,true,Exact9_ordered,exact built-in top-level type and reason-state invariant,formal_closure,true
4,result_field,3,passed,bool,true,Exact9_ordered,exact built-in top-level type and reason-state invariant,formal_closure,true
5,result_field,4,blocks_candidate,bool,true,Exact9_ordered,exact built-in top-level type and reason-state invariant,formal_closure,true
6,result_field,5,reason,str,true,Exact9_ordered,exact built-in top-level type and reason-state invariant,formal_closure,true
7,result_field,6,canonical_stage_authorization_record,tuple,true,Exact9_ordered,exact built-in top-level type and reason-state invariant,formal_closure,true
8,result_field,7,validated_stage_authorization_fields,tuple,true,Exact9_ordered,exact built-in top-level type and reason-state invariant,formal_closure,true
9,result_field,8,consumed_stage_authorization_fields,tuple,true,Exact9_ordered,exact built-in top-level type and reason-state invariant,formal_closure,true
10,result_field,9,evaluator_io_used,bool,true,Exact9_ordered,exact built-in top-level type and reason-state invariant,formal_closure,true
11,reason_vocabulary,1,<empty>,str,true,,closed Exact7 ordered vocabulary,formal_closure,true
12,reason_vocabulary,2,STAGE_AUTHORIZATION_CONTEXT_REQUIRED,str,true,STAGE_AUTHORIZATION_CONTEXT_REQUIRED,closed Exact7 ordered vocabulary,formal_closure,true
13,reason_vocabulary,3,STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID,str,true,STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID,closed Exact7 ordered vocabulary,formal_closure,true
14,reason_vocabulary,4,CURRENT_STAGE_TRAINING_AUTHORIZED_MISSING,str,true,CURRENT_STAGE_TRAINING_AUTHORIZED_MISSING,closed Exact7 ordered vocabulary,formal_closure,true
15,reason_vocabulary,5,STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED,str,true,STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED,closed Exact7 ordered vocabulary,formal_closure,true
16,reason_vocabulary,6,CURRENT_STAGE_TRAINING_AUTHORIZED_TYPE_INVALID,str,true,CURRENT_STAGE_TRAINING_AUTHORIZED_TYPE_INVALID,closed Exact7 ordered vocabulary,formal_closure,true
17,reason_vocabulary,7,TRAINING_NOT_AUTHORIZED,str,true,TRAINING_NOT_AUTHORIZED,closed Exact7 ordered vocabulary,formal_closure,true
18,formal_closure,1,_MissingAdmit015Value,normalized_ast_sha256,true,c21678cb19cf064c4ebb60df2fb3cf93000cd155bc895baa796a339218168786,pure in-memory reachable definition,formal_closure,true
19,formal_closure,2,_canonical_record_valid,normalized_ast_sha256,true,9e04222a22ae478a9bd53403c1258f39ba5daa2b5e94c7eb7b51a46510c6c6e0,pure in-memory reachable definition,formal_closure,true
20,formal_closure,3,_field_tuple_valid,normalized_ast_sha256,true,403164b296b64d7f06e27187dafd6346a9bc22cd24e60b72e9f7f738ecd12374,pure in-memory reachable definition,formal_closure,true
21,formal_closure,4,Admit015EvaluationResult,normalized_ast_sha256,true,8e7993360580f359cf2a531883509a8521107c6b80d6df6c612767e3b3ac18a8,pure in-memory reachable definition,formal_closure,true
22,formal_closure,5,Admit015EvaluationResult.__post_init__,normalized_ast_sha256,true,a2d0358aed8dfb6679e1210b690f54b3b4e7f5e4ebe67d413bbe11a43707ff74,pure in-memory reachable definition,formal_closure,true
23,formal_closure,6,_make_result,normalized_ast_sha256,true,6bd7a06114e040b1aba9d5b27e580a5cd7780f76336836848e7ef32891919a22,pure in-memory reachable definition,formal_closure,true
24,formal_closure,7,evaluate_admit_015,normalized_ast_sha256,true,b91ce410ddd4cb555952531144e377a7cd296b4b66011c6a2473e683dd39cbed,pure in-memory reachable definition,formal_closure,true
25,result_invariant,1,exact_result_type,invariant,true,type(self) is Admit015EvaluationResult,fail closed,formal_closure,true
26,result_invariant,2,exact_result_storage,invariant,true,dataclass fields equal RESULT_FIELDS,fail closed,formal_closure,true
27,result_invariant,3,exact_top_level_types,invariant,true,exact str/bool/tuple only,fail closed,formal_closure,true
28,result_invariant,4,identity,invariant,true,admission_rule_id == ADMIT_015,fail closed,formal_closure,true
29,result_invariant,5,outcome,invariant,true,closed passed|blocked,fail closed,formal_closure,true
30,result_invariant,6,reason,invariant,true,closed Exact7,fail closed,formal_closure,true
31,result_invariant,7,flags,invariant,true,passed/blocks agree with outcome,fail closed,formal_closure,true
32,result_invariant,8,reason_emptiness,invariant,true,reason empty iff passed,fail closed,formal_closure,true
33,result_invariant,9,evaluator_io,invariant,true,evaluator_io_used is exact False,fail closed,formal_closure,true
34,result_invariant,10,projection,invariant,true,canonical/validated/consumed agree with reason,fail closed,formal_closure,true
35,safety_boundary,1,no_adapter_registry_runtime,boolean,true,true,absence attested,formal_closure,true
36,safety_boundary,2,no_provider_network_download_raw,boolean,true,true,absence attested,formal_closure,true
37,safety_boundary,3,no_model_checkpoint_dataloader_training,boolean,true,true,absence attested,formal_closure,true
