evidence_id,source_namespace,source_commit_or_direct_producer,source_path,source_sha256,authority_scope,used_fields,authoritative_for_transformation,lineage_note,verified
R01,git_object,35a87a46b08b1362c990c10e95b7ab03d1865af5,data/derived/covalent_small/covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1/covapie_family_rule_review_unit_matrix.csv,1d1a61aecd983b156ac97059a087237fb36fc630b5df77fc8a03b1d2ab881d2b,formal_review_schema,review_package_exact9,false,formal review-package candidate tree; no post-state authority,true
R02,git_object,35a87a46b08b1362c990c10e95b7ab03d1865af5,data/derived/covalent_small/covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1/covapie_review_package_failure_matrix.csv,d8706c5f82f6d9e3c4c9d6d8617d7034f2175d76eb31f4f84ffa6eb4de6733bb,formal_review_schema,review_package_exact9,false,formal review-package candidate tree; no post-state authority,true
R03,git_object,35a87a46b08b1362c990c10e95b7ab03d1865af5,data/derived/covalent_small/covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1/covapie_review_package_field_contract.csv,9b277e2cdc6bfd066d067c6ff9af16c5b8b5ffe51cfcb5080ab83966d0538989,formal_review_schema,review_package_exact9,false,formal review-package candidate tree; no post-state authority,true
R04,git_object,35a87a46b08b1362c990c10e95b7ab03d1865af5,data/derived/covalent_small/covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1/covapie_review_package_manifest.json,4051ad07b0bcf934533bde03a064fd84ab3d6de30ab1413988a57ed75ca933bb,formal_review_schema,review_package_exact9,false,formal review-package candidate tree; no post-state authority,true
R05,git_object,35a87a46b08b1362c990c10e95b7ab03d1865af5,data/derived/covalent_small/covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1/covapie_review_package_source_inventory.csv,70ee45efbbe2b9076ce27ef39aaab934f2456ab1c6c8df5b0b68ceb0e8949304,formal_review_schema,review_package_exact9,false,formal review-package candidate tree; no post-state authority,true
R06,git_object,35a87a46b08b1362c990c10e95b7ab03d1865af5,docs/covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1_guide.md,7c45325c588cc1187be05d26391e594b78e6e4c62852c11205b78ea921def44d,formal_review_schema,review_package_exact9,false,formal review-package candidate tree; no post-state authority,true
R07,git_object,35a87a46b08b1362c990c10e95b7ab03d1865af5,scripts/materialize_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py,454dee10a5558e904f2313f4923668d3ee6b762bc92857278e0e0b961438b60f,formal_review_schema,review_package_exact9,false,formal review-package candidate tree; no post-state authority,true
R08,git_object,35a87a46b08b1362c990c10e95b7ab03d1865af5,src/covalent_ext/covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py,e395ef8730d7cfff756ec87f8d724ae8ff976426be41fbd7e35af37cad7230df,formal_review_schema,review_package_exact9,false,formal review-package candidate tree; no post-state authority,true
R09,git_object,35a87a46b08b1362c990c10e95b7ab03d1865af5,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py,e5e8dec283ea32c315f998672ed5f505db4bd88adf62d2ee9dce04d590328158,formal_review_schema,review_package_exact9,false,formal review-package candidate tree; no post-state authority,true
B01,git_object,2e07b7b094e2dccc69eaf29b5f51db0f9af2e81b,data/derived/covalent_small/covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1/covapie_current11_family_rule_authority_binding_matrix.csv,7064c1d0153ba1399bfdae8affcf21ead3f27e8a933987cd025ba5101a92bb61,formal_review_schema,binding_conclusion;sample_identity,false,formal binding matrix is not transformation authority,true
B02,git_object,2e07b7b094e2dccc69eaf29b5f51db0f9af2e81b,data/derived/covalent_small/covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1/covapie_family_and_warhead_rule_authority_registry.csv,4899d4664acf45d5ee90283e7977d62385b3a70fe41e082f4d060388be7e106b,formal_review_schema,family_id;rule_id;authority_status,false,binding registry,true
B03,git_object,2e07b7b094e2dccc69eaf29b5f51db0f9af2e81b,data/derived/covalent_small/covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1/covapie_family_rule_binding_source_inventory.csv,9e1533d8135d253b3360954b218f0219c56bc21aee424b4fce7ba8bc2672eae7,formal_review_schema,binding_source_lineage,false,binding source inventory,true
B04,git_object,2e07b7b094e2dccc69eaf29b5f51db0f9af2e81b,data/derived/covalent_small/covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1/covapie_family_rule_authority_binding_manifest.json,0a6f6228e6397d3ccaef87a93a8c45dcab5e3c505cf0091a08c2bec335712dcc,formal_review_schema,binding_manifest,false,binding predecessor manifest,true
