case_id,failure_case,mutation_signature,validator_target,test_node_id,expected_error,fails_closed,verified
X01,source_commit_drift,source_commit=substituted_sha,source_inventory,tests/test_covapie_current11_reaction_transformation_evidence_overlay_contract_v1.py::test_failure_mutations_exact28[X01],covapie_current11_reaction_transformation_evidence_overlay_contract_v1_validation_failed,true,true
X02,source_sha_drift,source_sha256=substituted_sha,source_inventory,tests/test_covapie_current11_reaction_transformation_evidence_overlay_contract_v1.py::test_failure_mutations_exact28[X02],covapie_current11_reaction_transformation_evidence_overlay_contract_v1_validation_failed,true,true
X03,formal_workspace_identity_drift,workspace_inode+=1,state,tests/test_covapie_current11_reaction_transformation_evidence_overlay_contract_v1.py::test_failure_mutations_exact28[X03],covapie_current11_reaction_transformation_evidence_overlay_contract_v1_validation_failed,true,true
X04,dossier_identity_drift,dossier_inode+=1,state,tests/test_covapie_current11_reaction_transformation_evidence_overlay_contract_v1.py::test_failure_mutations_exact28[X04],covapie_current11_reaction_transformation_evidence_overlay_contract_v1_validation_failed,true,true
X05,parent_review_unit_drift,parent_review_unit_id=substituted,state,tests/test_covapie_current11_reaction_transformation_evidence_overlay_contract_v1.py::test_failure_mutations_exact28[X05],covapie_current11_reaction_transformation_evidence_overlay_contract_v1_validation_failed,true,true
X06,reaction_family_id_drift,reaction_family_id=substituted,state,tests/test_covapie_current11_reaction_transformation_evidence_overlay_contract_v1.py::test_failure_mutations_exact28[X06],covapie_current11_reaction_transformation_evidence_overlay_contract_v1_validation_failed,true,true
X07,warhead_rule_id_drift,warhead_rule_id=substituted,state,tests/test_covapie_current11_reaction_transformation_evidence_overlay_contract_v1.py::test_failure_mutations_exact28[X07],covapie_current11_reaction_transformation_evidence_overlay_contract_v1_validation_failed,true,true
X08,exact2_sample_set_drift,sample_deleted,state,tests/test_covapie_current11_reaction_transformation_evidence_overlay_contract_v1.py::test_failure_mutations_exact28[X08],covapie_current11_reaction_transformation_evidence_overlay_contract_v1_validation_failed,true,true
X09,ligand_reactive_atom_drift,C21=C20,state,tests/test_covapie_current11_reaction_transformation_evidence_overlay_contract_v1.py::test_failure_mutations_exact28[X09],covapie_current11_reaction_transformation_evidence_overlay_contract_v1_validation_failed,true,true
X10,target_residue_atom_drift,CYS:SG=CYS:CB,state,tests/test_covapie_current11_reaction_transformation_evidence_overlay_contract_v1.py::test_failure_mutations_exact28[X10],covapie_current11_reaction_transformation_evidence_overlay_contract_v1_validation_failed,true,true
X11,candidate_graph_sha_drift,candidate_graph_sha=substituted,state,tests/test_covapie_current11_reaction_transformation_evidence_overlay_contract_v1.py::test_failure_mutations_exact28[X11],covapie_current11_reaction_transformation_evidence_overlay_contract_v1_validation_failed,true,true
X12,pre_bond_order_sum_drift,pre_sum=3,state,tests/test_covapie_current11_reaction_transformation_evidence_overlay_contract_v1.py::test_failure_mutations_exact28[X12],covapie_current11_reaction_transformation_evidence_overlay_contract_v1_validation_failed,true,true
X13,conditional_post_sum_drift,conditional_sum=4,state,tests/test_covapie_current11_reaction_transformation_evidence_overlay_contract_v1.py::test_failure_mutations_exact28[X13],covapie_current11_reaction_transformation_evidence_overlay_contract_v1_validation_failed,true,true
X14,post_authority_prematurely_present,post_authority_status=present,state,tests/test_covapie_current11_reaction_transformation_evidence_overlay_contract_v1.py::test_failure_mutations_exact28[X14],covapie_current11_reaction_transformation_evidence_overlay_contract_v1_validation_failed,true,true
X15,schema_gap_changed_false,schema_gap_detected=false,state,tests/test_covapie_current11_reaction_transformation_evidence_overlay_contract_v1.py::test_failure_mutations_exact28[X15],covapie_current11_reaction_transformation_evidence_overlay_contract_v1_validation_failed,true,true
X16,singular_attachment_mapping_accepted,boundary_count=1,future_contract,tests/test_covapie_current11_reaction_transformation_evidence_overlay_contract_v1.py::test_failure_mutations_exact28[X16],covapie_current11_reaction_transformation_evidence_overlay_contract_v1_validation_failed,true,true
X17,pre_atom_state_contract_missing,pre_atom_state=empty,future_contract,tests/test_covapie_current11_reaction_transformation_evidence_overlay_contract_v1.py::test_failure_mutations_exact28[X17],covapie_current11_reaction_transformation_evidence_overlay_contract_v1_validation_failed,true,true
X18,post_atom_state_contract_missing,post_atom_state=empty,future_contract,tests/test_covapie_current11_reaction_transformation_evidence_overlay_contract_v1.py::test_failure_mutations_exact28[X18],covapie_current11_reaction_transformation_evidence_overlay_contract_v1_validation_failed,true,true
X19,formed_edge_contract_missing,formed_edges=empty,future_contract,tests/test_covapie_current11_reaction_transformation_evidence_overlay_contract_v1.py::test_failure_mutations_exact28[X19],covapie_current11_reaction_transformation_evidence_overlay_contract_v1_validation_failed,true,true
X20,bond_order_change_unreviewed,bond_order_changes=empty_string,future_contract,tests/test_covapie_current11_reaction_transformation_evidence_overlay_contract_v1.py::test_failure_mutations_exact28[X20],covapie_current11_reaction_transformation_evidence_overlay_contract_v1_validation_failed,true,true
X21,formal_charge_change_unreviewed,formal_charge_changes=empty_string,future_contract,tests/test_covapie_current11_reaction_transformation_evidence_overlay_contract_v1.py::test_failure_mutations_exact28[X21],covapie_current11_reaction_transformation_evidence_overlay_contract_v1_validation_failed,true,true
X22,protonation_transfer_unreviewed,protonation_contract=empty_string,future_contract,tests/test_covapie_current11_reaction_transformation_evidence_overlay_contract_v1.py::test_failure_mutations_exact28[X22],covapie_current11_reaction_transformation_evidence_overlay_contract_v1_validation_failed,true,true
X23,future_field_prefilled,reviewed_transformation_version=v1,field_contract,tests/test_covapie_current11_reaction_transformation_evidence_overlay_contract_v1.py::test_failure_mutations_exact28[X23],covapie_current11_reaction_transformation_evidence_overlay_contract_v1_validation_failed,true,true
