package_item_order_0based,package_item_type,package_item_id,source_record_version,source_record_sha256,source_record_json,review_record_version,review_unit_type,review_template_row_id,unreviewed_template_payload_sha256,source_authority_path,source_authority_sha256,family_identity_review_ready,rule_topology_review_ready,SMARTS_review_ready,sample_assignment_review_ready,review_record_sha256_populated,human_review_execution_completed,package_item_materialized,blocking_reasons,verified
0,candidate_class,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_106441A31FA4F951,covapie_cys_sg_class_review_source_record_v1,b705f790440a8b5ba12d0d8c889e24035d03edecd8117345d131d27ca56abb19,"{""Current11_match_count"":2,""Current11_unique_component_count"":2,""assignment_support_complete"":true,""canonical_local_graph_rule_sha256"":""106441a31fa4f9516c174c5a0fa89709e820ebeeff419ba30883ea34a1c26bb6"",""canonical_reaction_family_signature_sha256"":""11aa213c661b48e3d4509f5340033a3374048005448f3fc6f6232d2a85159a7f"",""class_identity_verified"":true,""family_identity_evidence_complete"":true,""formal_base_commit"":""c0de1003ec1de9dd05e3c4204b458d1f3757d95d"",""reaction_family_id"":""COVAPIE_CYS_SG_REACTION_FAMILY_11AA213C661B48E3"",""reaction_family_semantic_name"":""CYS_SG_single_bond_formation__neutral_C_center_with_double_O_retained_and_single_N_retained_and_single_N_retained_radius_1_exact_graph_106441a31fa4__topology_defined_mechanism_not_claimed"",""representative_component_ids"":[""IN3"",""INA""],""representative_sample_ids"":[""CYS_SG_SAMPLE_INDEX_000008"",""CYS_SG_SAMPLE_INDEX_000010""],""rule_topology_evidence_complete"":true,""selected_signature_radius"":1,""source_assignment_authority_file_sha256"":""bc49e2f1ca112ceae30c91fa492386f6012c9005fc5137b40d3daec2343ef5d9"",""source_class_readiness_file_sha256"":""b33f1b66900937548998076515ba8adc7376f7d9dd5893255aba38abe6470f78"",""source_family_registry_file_sha256"":""230dc6da03beee55e53df75cba887151c23b703e10dce18de4ff6304d05b6353"",""source_record_version"":""covapie_cys_sg_class_review_source_record_v1"",""source_rule_registry_file_sha256"":""3311aaca925e29036b702822bd85fbaf4e2c3a02c9b7882d255956c65cd02309"",""warhead_rule_id"":""COVAPIE_CYS_SG_WARHEAD_RULE_106441A31FA4F951"",""warhead_type_candidate_class_id"":""COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_106441A31FA4F951"",""warhead_type_candidate_class_index_0based"":0,""warhead_type_candidate_semantic_name"":""neutral_C_center_with_double_O_retained_and_single_N_retained_and_single_N_retained_radius_1_exact_graph_106441a31fa4__candidate_warhead_type""}",covapie_cys_sg_human_review_record_v1,candidate_class,0,2064285b4955a286e21b6c319e1b1e4f14c801d88eea50ee325dd5cfab385d51,data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_review_gate_design_v1/covapie_cys_sg_candidate_class_review_readiness_matrix.csv,b33f1b66900937548998076515ba8adc7376f7d9dd5893255aba38abe6470f78,true,true,false,false,false,false,true,candidate_warhead_SMARTS_not_materialized;human_review_not_executed;approved_reaction_family_unavailable;approved_warhead_rule_unavailable,true
1,candidate_class,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_1D1D9C797859191F,covapie_cys_sg_class_review_source_record_v1,97eb88bcd96bce51c28229ee04580b9c71c2f850853802da441dd0291652eecb,"{""Current11_match_count"":2,""Current11_unique_component_count"":2,""assignment_support_complete"":true,""canonical_local_graph_rule_sha256"":""1d1d9c797859191f71dae9902af5270ed75efbd707c8aeb7092851de254bb837"",""canonical_reaction_family_signature_sha256"":""e02cde030b1009b116e915bbf406f6bc2802a59fcf8ce38944ab860872f7ab30"",""class_identity_verified"":true,""family_identity_evidence_complete"":true,""formal_base_commit"":""c0de1003ec1de9dd05e3c4204b458d1f3757d95d"",""reaction_family_id"":""COVAPIE_CYS_SG_REACTION_FAMILY_E02CDE030B1009B1"",""reaction_family_semantic_name"":""CYS_SG_single_bond_formation__neutral_C_center_with_double_O_retained_and_single_C_retained_and_single_C_retained_radius_1_exact_graph_1d1d9c797859__topology_defined_mechanism_not_claimed"",""representative_component_ids"":[""INP"",""PCM""],""representative_sample_ids"":[""CYS_SG_SAMPLE_INDEX_000006"",""CYS_SG_SAMPLE_INDEX_000007""],""rule_topology_evidence_complete"":true,""selected_signature_radius"":1,""source_assignment_authority_file_sha256"":""bc49e2f1ca112ceae30c91fa492386f6012c9005fc5137b40d3daec2343ef5d9"",""source_class_readiness_file_sha256"":""b33f1b66900937548998076515ba8adc7376f7d9dd5893255aba38abe6470f78"",""source_family_registry_file_sha256"":""230dc6da03beee55e53df75cba887151c23b703e10dce18de4ff6304d05b6353"",""source_record_version"":""covapie_cys_sg_class_review_source_record_v1"",""source_rule_registry_file_sha256"":""3311aaca925e29036b702822bd85fbaf4e2c3a02c9b7882d255956c65cd02309"",""warhead_rule_id"":""COVAPIE_CYS_SG_WARHEAD_RULE_1D1D9C797859191F"",""warhead_type_candidate_class_id"":""COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_1D1D9C797859191F"",""warhead_type_candidate_class_index_0based"":1,""warhead_type_candidate_semantic_name"":""neutral_C_center_with_double_O_retained_and_single_C_retained_and_single_C_retained_radius_1_exact_graph_1d1d9c797859__candidate_warhead_type""}",covapie_cys_sg_human_review_record_v1,candidate_class,1,82deb06bf1c61198a3e99ba0579f4057643b70babf8e98b38c039227e4a0af04,data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_review_gate_design_v1/covapie_cys_sg_candidate_class_review_readiness_matrix.csv,b33f1b66900937548998076515ba8adc7376f7d9dd5893255aba38abe6470f78,true,true,false,false,false,false,true,candidate_warhead_SMARTS_not_materialized;human_review_not_executed;approved_reaction_family_unavailable;approved_warhead_rule_unavailable,true
2,candidate_class,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_3B7FB1395768B690,covapie_cys_sg_class_review_source_record_v1,0d923c58963ebc551379a94391c843112b1f8894f4fd8c08baf75d36f604096b,"{""Current11_match_count"":1,""Current11_unique_component_count"":1,""assignment_support_complete"":true,""canonical_local_graph_rule_sha256"":""3b7fb1395768b6900054ef022208498e24547788efaa83572b0a4d5268daebfe"",""canonical_reaction_family_signature_sha256"":""4c9251579704ad850b4b822a7a966cdfbe8466beff78190b4aa66f2901e3c70d"",""class_identity_verified"":true,""family_identity_evidence_complete"":true,""formal_base_commit"":""c0de1003ec1de9dd05e3c4204b458d1f3757d95d"",""reaction_family_id"":""COVAPIE_CYS_SG_REACTION_FAMILY_4C9251579704AD85"",""reaction_family_semantic_name"":""CYS_SG_single_bond_formation__neutral_C_center_with_single_C_retained_and_single_C_retained_radius_1_exact_graph_3b7fb1395768__topology_defined_mechanism_not_claimed"",""representative_component_ids"":[""E64""],""representative_sample_ids"":[""CYS_SG_SAMPLE_INDEX_000004""],""rule_topology_evidence_complete"":true,""selected_signature_radius"":1,""source_assignment_authority_file_sha256"":""bc49e2f1ca112ceae30c91fa492386f6012c9005fc5137b40d3daec2343ef5d9"",""source_class_readiness_file_sha256"":""b33f1b66900937548998076515ba8adc7376f7d9dd5893255aba38abe6470f78"",""source_family_registry_file_sha256"":""230dc6da03beee55e53df75cba887151c23b703e10dce18de4ff6304d05b6353"",""source_record_version"":""covapie_cys_sg_class_review_source_record_v1"",""source_rule_registry_file_sha256"":""3311aaca925e29036b702822bd85fbaf4e2c3a02c9b7882d255956c65cd02309"",""warhead_rule_id"":""COVAPIE_CYS_SG_WARHEAD_RULE_3B7FB1395768B690"",""warhead_type_candidate_class_id"":""COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_3B7FB1395768B690"",""warhead_type_candidate_class_index_0based"":2,""warhead_type_candidate_semantic_name"":""neutral_C_center_with_single_C_retained_and_single_C_retained_radius_1_exact_graph_3b7fb1395768__candidate_warhead_type""}",covapie_cys_sg_human_review_record_v1,candidate_class,2,50025e955f45b174778391b36acdbb16142e123b0006683663520621a4b650fc,data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_review_gate_design_v1/covapie_cys_sg_candidate_class_review_readiness_matrix.csv,b33f1b66900937548998076515ba8adc7376f7d9dd5893255aba38abe6470f78,true,true,false,false,false,false,true,candidate_warhead_SMARTS_not_materialized;human_review_not_executed;approved_reaction_family_unavailable;approved_warhead_rule_unavailable,true
3,candidate_class,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_8B640E1A031138F0,covapie_cys_sg_class_review_source_record_v1,6f638e022c167312c78076430189423b861fad4d8b401ffce907160658ea4256,"{""Current11_match_count"":3,""Current11_unique_component_count"":1,""assignment_support_complete"":true,""canonical_local_graph_rule_sha256"":""8b640e1a031138f083d5df1a07ffeb2dcf0474f472e7d8bcb220613218b1cd4b"",""canonical_reaction_family_signature_sha256"":""6a5c7b2b614b5f52638ef9d996ec435aaad199271556bb5fb8115627968ec2d8"",""class_identity_verified"":true,""family_identity_evidence_complete"":true,""formal_base_commit"":""c0de1003ec1de9dd05e3c4204b458d1f3757d95d"",""reaction_family_id"":""COVAPIE_CYS_SG_REACTION_FAMILY_6A5C7B2B614B5F52"",""reaction_family_semantic_name"":""CYS_SG_single_bond_formation__neutral_C_center_with_double_C_retained_and_single_C_retained_radius_1_exact_graph_8b640e1a0311__topology_defined_mechanism_not_claimed"",""representative_component_ids"":[""JUG""],""representative_sample_ids"":[""CYS_SG_SAMPLE_INDEX_000001"",""CYS_SG_SAMPLE_INDEX_000002"",""CYS_SG_SAMPLE_INDEX_000003""],""rule_topology_evidence_complete"":true,""selected_signature_radius"":1,""source_assignment_authority_file_sha256"":""bc49e2f1ca112ceae30c91fa492386f6012c9005fc5137b40d3daec2343ef5d9"",""source_class_readiness_file_sha256"":""b33f1b66900937548998076515ba8adc7376f7d9dd5893255aba38abe6470f78"",""source_family_registry_file_sha256"":""230dc6da03beee55e53df75cba887151c23b703e10dce18de4ff6304d05b6353"",""source_record_version"":""covapie_cys_sg_class_review_source_record_v1"",""source_rule_registry_file_sha256"":""3311aaca925e29036b702822bd85fbaf4e2c3a02c9b7882d255956c65cd02309"",""warhead_rule_id"":""COVAPIE_CYS_SG_WARHEAD_RULE_8B640E1A031138F0"",""warhead_type_candidate_class_id"":""COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_8B640E1A031138F0"",""warhead_type_candidate_class_index_0based"":3,""warhead_type_candidate_semantic_name"":""neutral_C_center_with_double_C_retained_and_single_C_retained_radius_1_exact_graph_8b640e1a0311__candidate_warhead_type""}",covapie_cys_sg_human_review_record_v1,candidate_class,3,31756a30bec721993974ab83e65f9ce084cb6c4b3277d7a9fa18fc64393b393b,data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_review_gate_design_v1/covapie_cys_sg_candidate_class_review_readiness_matrix.csv,b33f1b66900937548998076515ba8adc7376f7d9dd5893255aba38abe6470f78,true,true,false,false,false,false,true,candidate_warhead_SMARTS_not_materialized;human_review_not_executed;approved_reaction_family_unavailable;approved_warhead_rule_unavailable,true
4,candidate_class,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_CEAC766EEE61D251,covapie_cys_sg_class_review_source_record_v1,72daf2346dd488f8c56e05158ffba8fb6707a21e01abff966549812306746fa1,"{""Current11_match_count"":1,""Current11_unique_component_count"":1,""assignment_support_complete"":true,""canonical_local_graph_rule_sha256"":""ceac766eee61d25154bbd38adf649a4d685aad448bc1700cf2c793e7e1aee44c"",""canonical_reaction_family_signature_sha256"":""9869a5b1c585a27cb9cca1111384976316913749a6b34952e4c49d48d38f31bf"",""class_identity_verified"":true,""family_identity_evidence_complete"":true,""formal_base_commit"":""c0de1003ec1de9dd05e3c4204b458d1f3757d95d"",""reaction_family_id"":""COVAPIE_CYS_SG_REACTION_FAMILY_9869A5B1C585A27C"",""reaction_family_semantic_name"":""CYS_SG_single_bond_formation__neutral_C_center_with_double_C_retained_and_single_N_retained_radius_1_exact_graph_ceac766eee61__topology_defined_mechanism_not_claimed"",""representative_component_ids"":[""UFP""],""representative_sample_ids"":[""CYS_SG_SAMPLE_INDEX_000011""],""rule_topology_evidence_complete"":true,""selected_signature_radius"":1,""source_assignment_authority_file_sha256"":""bc49e2f1ca112ceae30c91fa492386f6012c9005fc5137b40d3daec2343ef5d9"",""source_class_readiness_file_sha256"":""b33f1b66900937548998076515ba8adc7376f7d9dd5893255aba38abe6470f78"",""source_family_registry_file_sha256"":""230dc6da03beee55e53df75cba887151c23b703e10dce18de4ff6304d05b6353"",""source_record_version"":""covapie_cys_sg_class_review_source_record_v1"",""source_rule_registry_file_sha256"":""3311aaca925e29036b702822bd85fbaf4e2c3a02c9b7882d255956c65cd02309"",""warhead_rule_id"":""COVAPIE_CYS_SG_WARHEAD_RULE_CEAC766EEE61D251"",""warhead_type_candidate_class_id"":""COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_CEAC766EEE61D251"",""warhead_type_candidate_class_index_0based"":4,""warhead_type_candidate_semantic_name"":""neutral_C_center_with_double_C_retained_and_single_N_retained_radius_1_exact_graph_ceac766eee61__candidate_warhead_type""}",covapie_cys_sg_human_review_record_v1,candidate_class,4,bd422c68ae37b396a50afff1ce361260c5c9d98583242a5f6bbce6f6bd228821,data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_review_gate_design_v1/covapie_cys_sg_candidate_class_review_readiness_matrix.csv,b33f1b66900937548998076515ba8adc7376f7d9dd5893255aba38abe6470f78,true,true,false,false,false,false,true,candidate_warhead_SMARTS_not_materialized;human_review_not_executed;approved_reaction_family_unavailable;approved_warhead_rule_unavailable,true
5,candidate_class,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_DF48FCEE8872B92A,covapie_cys_sg_class_review_source_record_v1,ae100a0d91a6a26f98f455a88c6b2805907df76c4d08db30e87f4975984a6559,"{""Current11_match_count"":1,""Current11_unique_component_count"":1,""assignment_support_complete"":true,""canonical_local_graph_rule_sha256"":""df48fcee8872b92a12a44cd35673a35d60d453a5bdbc1812e703b68a768416e7"",""canonical_reaction_family_signature_sha256"":""888a8e40ab92b0f866702d3ed25daf84c155fcdbe10a3006e5cdc3de5534261b"",""class_identity_verified"":true,""family_identity_evidence_complete"":true,""formal_base_commit"":""c0de1003ec1de9dd05e3c4204b458d1f3757d95d"",""reaction_family_id"":""COVAPIE_CYS_SG_REACTION_FAMILY_888A8E40AB92B0F8"",""reaction_family_semantic_name"":""CYS_SG_single_bond_formation__neutral_C_center_with_double_O_retained_and_single_C_retained_and_single_N_retained_radius_1_exact_graph_df48fcee8872__topology_defined_mechanism_not_claimed"",""representative_component_ids"":[""IN6""],""representative_sample_ids"":[""CYS_SG_SAMPLE_INDEX_000009""],""rule_topology_evidence_complete"":true,""selected_signature_radius"":1,""source_assignment_authority_file_sha256"":""bc49e2f1ca112ceae30c91fa492386f6012c9005fc5137b40d3daec2343ef5d9"",""source_class_readiness_file_sha256"":""b33f1b66900937548998076515ba8adc7376f7d9dd5893255aba38abe6470f78"",""source_family_registry_file_sha256"":""230dc6da03beee55e53df75cba887151c23b703e10dce18de4ff6304d05b6353"",""source_record_version"":""covapie_cys_sg_class_review_source_record_v1"",""source_rule_registry_file_sha256"":""3311aaca925e29036b702822bd85fbaf4e2c3a02c9b7882d255956c65cd02309"",""warhead_rule_id"":""COVAPIE_CYS_SG_WARHEAD_RULE_DF48FCEE8872B92A"",""warhead_type_candidate_class_id"":""COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_DF48FCEE8872B92A"",""warhead_type_candidate_class_index_0based"":5,""warhead_type_candidate_semantic_name"":""neutral_C_center_with_double_O_retained_and_single_C_retained_and_single_N_retained_radius_1_exact_graph_df48fcee8872__candidate_warhead_type""}",covapie_cys_sg_human_review_record_v1,candidate_class,5,5fcabf6b86048635c1c765f8c03095a24056bf603a5b7f8e4993904cb1daf746,data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_review_gate_design_v1/covapie_cys_sg_candidate_class_review_readiness_matrix.csv,b33f1b66900937548998076515ba8adc7376f7d9dd5893255aba38abe6470f78,true,true,false,false,false,false,true,candidate_warhead_SMARTS_not_materialized;human_review_not_executed;approved_reaction_family_unavailable;approved_warhead_rule_unavailable,true
6,candidate_class,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_EE022EB419200D14,covapie_cys_sg_class_review_source_record_v1,1f7750e5df6fe6521e3df1ccab8a8df3856b3aa2b7d26ae902e7ddaab7299a89,"{""Current11_match_count"":1,""Current11_unique_component_count"":1,""assignment_support_complete"":true,""canonical_local_graph_rule_sha256"":""ee022eb419200d14c0ede3c352a5425fce7188eb74d64c7a9f2a6312a13bb1e1"",""canonical_reaction_family_signature_sha256"":""dc230cd72b1283d2482eeeb71ba3d99eb8cacbeec5b8111b99d0ab18a0d8cba7"",""class_identity_verified"":true,""family_identity_evidence_complete"":true,""formal_base_commit"":""c0de1003ec1de9dd05e3c4204b458d1f3757d95d"",""reaction_family_id"":""COVAPIE_CYS_SG_REACTION_FAMILY_DC230CD72B1283D2"",""reaction_family_semantic_name"":""CYS_SG_single_bond_formation__neutral_C_center_with_single_C_retained_and_single_F_leaving_radius_1_exact_graph_ee022eb41920__topology_defined_mechanism_not_claimed"",""representative_component_ids"":[""ZYA""],""representative_sample_ids"":[""CYS_SG_SAMPLE_INDEX_000005""],""rule_topology_evidence_complete"":true,""selected_signature_radius"":1,""source_assignment_authority_file_sha256"":""bc49e2f1ca112ceae30c91fa492386f6012c9005fc5137b40d3daec2343ef5d9"",""source_class_readiness_file_sha256"":""b33f1b66900937548998076515ba8adc7376f7d9dd5893255aba38abe6470f78"",""source_family_registry_file_sha256"":""230dc6da03beee55e53df75cba887151c23b703e10dce18de4ff6304d05b6353"",""source_record_version"":""covapie_cys_sg_class_review_source_record_v1"",""source_rule_registry_file_sha256"":""3311aaca925e29036b702822bd85fbaf4e2c3a02c9b7882d255956c65cd02309"",""warhead_rule_id"":""COVAPIE_CYS_SG_WARHEAD_RULE_EE022EB419200D14"",""warhead_type_candidate_class_id"":""COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_EE022EB419200D14"",""warhead_type_candidate_class_index_0based"":6,""warhead_type_candidate_semantic_name"":""neutral_C_center_with_single_C_retained_and_single_F_leaving_radius_1_exact_graph_ee022eb41920__candidate_warhead_type""}",covapie_cys_sg_human_review_record_v1,candidate_class,6,97288c34bca65b69dfd143f346f528663e69cf35d19010aa76970b4ecdede34d,data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_review_gate_design_v1/covapie_cys_sg_candidate_class_review_readiness_matrix.csv,b33f1b66900937548998076515ba8adc7376f7d9dd5893255aba38abe6470f78,true,true,false,false,false,false,true,candidate_warhead_SMARTS_not_materialized;human_review_not_executed;approved_reaction_family_unavailable;approved_warhead_rule_unavailable,true
7,sample_assignment,CYS_SG_SAMPLE_INDEX_000001,covapie_current11_cys_sg_candidate_assignment_record_v1,981df333b0699a4924525fbed9f62c7c306f72a0cffcf1086299311e7a27650b,"{""assignment_status"":""machine_derived_candidate_assignment_materialized"",""candidate_reaction_family_id"":""COVAPIE_CYS_SG_REACTION_FAMILY_6A5C7B2B614B5F52"",""candidate_warhead_rule_id"":""COVAPIE_CYS_SG_WARHEAD_RULE_8B640E1A031138F0"",""component_parent_graph_sha256"":""96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a"",""ligand_comp_id"":""JUG"",""ligand_reactive_atom_element"":""C"",""ligand_reactive_atom_name"":""CAG"",""ligand_reactive_parent_ccd_atom_id"":""CAG"",""observed_graph_sha256"":""96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a"",""pdb_id"":""6BV6"",""radius_1_signature_sha256"":""0924ead331d23f0c8ac975ee766a30435cc4f175df08fab888cfaf24e8a86817"",""review_status"":""not_reviewed"",""sample_index_row_id"":""CYS_SG_SAMPLE_INDEX_000001"",""target_residue_atom_name"":""SG"",""target_residue_name"":""CYS"",""target_residue_number"":""346"",""training_label_status"":""not_approved_for_training"",""warhead_type_candidate_class_id"":""COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_8B640E1A031138F0"",""warhead_type_candidate_class_index_0based"":3}",covapie_cys_sg_human_review_record_v1,sample_assignment,CYS_SG_SAMPLE_INDEX_000001,9a05cff595e03d5ef63f50dab333636dd97df012ca07e2092d5f7f11a3ae0e5b,data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_assignments_v1/covapie_current11_cys_sg_candidate_assignment_authority.csv,bc49e2f1ca112ceae30c91fa492386f6012c9005fc5137b40d3daec2343ef5d9,false,false,false,true,false,false,true,human_review_not_executed;approved_reaction_family_unavailable;approved_warhead_rule_unavailable;human_gold_review_incomplete,true
8,sample_assignment,CYS_SG_SAMPLE_INDEX_000002,covapie_current11_cys_sg_candidate_assignment_record_v1,df69c5543863b0fbf1df7877baa35e15f8f58b6d72ab3eecfe0a5101c3a4802d,"{""assignment_status"":""machine_derived_candidate_assignment_materialized"",""candidate_reaction_family_id"":""COVAPIE_CYS_SG_REACTION_FAMILY_6A5C7B2B614B5F52"",""candidate_warhead_rule_id"":""COVAPIE_CYS_SG_WARHEAD_RULE_8B640E1A031138F0"",""component_parent_graph_sha256"":""96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a"",""ligand_comp_id"":""JUG"",""ligand_reactive_atom_element"":""C"",""ligand_reactive_atom_name"":""CAG"",""ligand_reactive_parent_ccd_atom_id"":""CAG"",""observed_graph_sha256"":""96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a"",""pdb_id"":""6BV8"",""radius_1_signature_sha256"":""0924ead331d23f0c8ac975ee766a30435cc4f175df08fab888cfaf24e8a86817"",""review_status"":""not_reviewed"",""sample_index_row_id"":""CYS_SG_SAMPLE_INDEX_000002"",""target_residue_atom_name"":""SG"",""target_residue_name"":""CYS"",""target_residue_number"":""353"",""training_label_status"":""not_approved_for_training"",""warhead_type_candidate_class_id"":""COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_8B640E1A031138F0"",""warhead_type_candidate_class_index_0based"":3}",covapie_cys_sg_human_review_record_v1,sample_assignment,CYS_SG_SAMPLE_INDEX_000002,364c97032df4629e8645629848ada84e73e2fe684644f8705cb4072d3fd328ef,data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_assignments_v1/covapie_current11_cys_sg_candidate_assignment_authority.csv,bc49e2f1ca112ceae30c91fa492386f6012c9005fc5137b40d3daec2343ef5d9,false,false,false,true,false,false,true,human_review_not_executed;approved_reaction_family_unavailable;approved_warhead_rule_unavailable;human_gold_review_incomplete,true
9,sample_assignment,CYS_SG_SAMPLE_INDEX_000003,covapie_current11_cys_sg_candidate_assignment_record_v1,9d72fbcbe8ea89e94eeda5538f1a04796f1c91bf55786d6e1e4414b3eb6c08f9,"{""assignment_status"":""machine_derived_candidate_assignment_materialized"",""candidate_reaction_family_id"":""COVAPIE_CYS_SG_REACTION_FAMILY_6A5C7B2B614B5F52"",""candidate_warhead_rule_id"":""COVAPIE_CYS_SG_WARHEAD_RULE_8B640E1A031138F0"",""component_parent_graph_sha256"":""96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a"",""ligand_comp_id"":""JUG"",""ligand_reactive_atom_element"":""C"",""ligand_reactive_atom_name"":""CAG"",""ligand_reactive_parent_ccd_atom_id"":""CAG"",""observed_graph_sha256"":""96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a"",""pdb_id"":""6BV5"",""radius_1_signature_sha256"":""0924ead331d23f0c8ac975ee766a30435cc4f175df08fab888cfaf24e8a86817"",""review_status"":""not_reviewed"",""sample_index_row_id"":""CYS_SG_SAMPLE_INDEX_000003"",""target_residue_atom_name"":""SG"",""target_residue_name"":""CYS"",""target_residue_number"":""353"",""training_label_status"":""not_approved_for_training"",""warhead_type_candidate_class_id"":""COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_8B640E1A031138F0"",""warhead_type_candidate_class_index_0based"":3}",covapie_cys_sg_human_review_record_v1,sample_assignment,CYS_SG_SAMPLE_INDEX_000003,00acc073e3c62923d22eebc692542be22c265f14262b03aadd1d302fe3bb8f35,data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_assignments_v1/covapie_current11_cys_sg_candidate_assignment_authority.csv,bc49e2f1ca112ceae30c91fa492386f6012c9005fc5137b40d3daec2343ef5d9,false,false,false,true,false,false,true,human_review_not_executed;approved_reaction_family_unavailable;approved_warhead_rule_unavailable;human_gold_review_incomplete,true
