source_path,BASE_SHA256,source_row_count,Current11_coverage,fields_actually_used,authority_class,verified
src/covalent_ext/covapie_current11_cys_sg_reaction_family_and_warhead_rule_review_gate_design_v1.py,08b7d7aeacfcd7065e6ea8aa2ae27b2cc4959d476fbb1568a5231307d7e308a1,1603,11/11,review schemas; lifecycle; blank-review validator,predecessor_review_gate_production_contract,true
data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_review_gate_design_v1/covapie_reaction_family_and_warhead_rule_review_policy_registry.csv,af80255bfd507c26eeaab37a951e679edc166b2cf8f9da18aed3fb170ebc7881,12,11/11,Exact12 review policies and fail-closed semantics,review_policy_registry,true
data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_review_gate_design_v1/covapie_cys_sg_candidate_class_review_readiness_matrix.csv,b33f1b66900937548998076515ba8adc7376f7d9dd5893255aba38abe6470f78,7,11/11,"Exact7 class evidence, representatives, blank review state",candidate_class_review_readiness_authority,true
data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_review_gate_design_v1/covapie_current11_candidate_assignment_review_readiness_matrix.csv,1dc2499d8746285bb80851036c72b7c204e9feb53fea086acd788f2c04798c8c,11,11/11,Exact11 sample evidence and blank review state,sample_assignment_review_readiness_authority,true
data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_review_gate_design_v1/covapie_current11_cys_sg_reaction_family_and_warhead_rule_review_gate_design_manifest.json,8acf40e9771bbd6874a7d7cefbe09c8dec9d1ea2ba15a97625a06045f91d393d,1,11/11,successful gate transaction and package readiness,review_gate_design_manifest,true
src/covalent_ext/covapie_current11_cys_sg_reaction_family_and_warhead_rule_assignments_v1.py,fe6c67940efef89290b2f276f9fb4c39245468181d52b219951a6f9ca7f454aa,1418,11/11,assignment hash contract and lifecycle lineage,predecessor_assignment_production_contract,true
data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_assignments_v1/covapie_cys_sg_warhead_type_candidate_class_vocabulary.csv,e78b83340d9df0afa6bbffd5dc56708ee47023680367f7a8acd9883e7c21602d,7,11/11,Exact7 stable class/family/rule identities,candidate_class_vocabulary_authority,true
data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_assignments_v1/covapie_current11_cys_sg_candidate_assignment_authority.csv,bc49e2f1ca112ceae30c91fa492386f6012c9005fc5137b40d3daec2343ef5d9,11,11/11,Exact19 assignment identity inputs and linkage,Current11_assignment_authority,true
data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_assignments_v1/covapie_current11_cys_sg_reaction_family_and_warhead_rule_assignments_manifest.json,5e5acefc9051fc07d3243917292f073fc09fb432a0eb0325fa8d344d37c0e265,1,11/11,successful assignment transaction and closed downstream state,assignment_manifest,true
data/derived/covalent_small/covapie_cys_sg_reaction_family_and_warhead_rule_registry_design_v1/covapie_cys_sg_reaction_family_registry.csv,230dc6da03beee55e53df75cba887151c23b703e10dce18de4ff6304d05b6353,7,11/11,family semantic identity and canonical SHA,candidate_family_registry,true
data/derived/covalent_small/covapie_cys_sg_reaction_family_and_warhead_rule_registry_design_v1/covapie_cys_sg_warhead_rule_registry.csv,3311aaca925e29036b702822bd85fbaf4e2c3a02c9b7882d255956c65cd02309,7,11/11,"rule topology identity, family link, absent SMARTS",candidate_rule_registry,true
src/covalent_ext/covapie_ligand_role_and_minimal_seed_annotation_contract_design_v1.py,18e386ea0412d917d4e3d9f6c15374cdbd680ea243e7b51c0045ae889a215f8b,1642,11/11,downstream approval prerequisites remain closed,downstream_role_seed_contract,true
