review_record_version,review_unit_type,sample_index_row_id,assignment_record_sha256,warhead_type_candidate_class_id,reaction_family_id,warhead_rule_id,sample_assignment_review_decision,reviewer_id,review_rationale,review_notes,source_assignment_record_sha256,review_record_sha256
covapie_cys_sg_human_review_record_v1,sample_assignment,CYS_SG_SAMPLE_INDEX_000001,981df333b0699a4924525fbed9f62c7c306f72a0cffcf1086299311e7a27650b,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_8B640E1A031138F0,COVAPIE_CYS_SG_REACTION_FAMILY_6A5C7B2B614B5F52,COVAPIE_CYS_SG_WARHEAD_RULE_8B640E1A031138F0,not_reviewed,,,,981df333b0699a4924525fbed9f62c7c306f72a0cffcf1086299311e7a27650b,
covapie_cys_sg_human_review_record_v1,sample_assignment,CYS_SG_SAMPLE_INDEX_000002,df69c5543863b0fbf1df7877baa35e15f8f58b6d72ab3eecfe0a5101c3a4802d,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_8B640E1A031138F0,COVAPIE_CYS_SG_REACTION_FAMILY_6A5C7B2B614B5F52,COVAPIE_CYS_SG_WARHEAD_RULE_8B640E1A031138F0,not_reviewed,,,,df69c5543863b0fbf1df7877baa35e15f8f58b6d72ab3eecfe0a5101c3a4802d,
covapie_cys_sg_human_review_record_v1,sample_assignment,CYS_SG_SAMPLE_INDEX_000003,9d72fbcbe8ea89e94eeda5538f1a04796f1c91bf55786d6e1e4414b3eb6c08f9,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_8B640E1A031138F0,COVAPIE_CYS_SG_REACTION_FAMILY_6A5C7B2B614B5F52,COVAPIE_CYS_SG_WARHEAD_RULE_8B640E1A031138F0,not_reviewed,,,,9d72fbcbe8ea89e94eeda5538f1a04796f1c91bf55786d6e1e4414b3eb6c08f9,
covapie_cys_sg_human_review_record_v1,sample_assignment,CYS_SG_SAMPLE_INDEX_000004,d44433600b5b59f34f5d1ade429edb53ea92f48704f2bca63ff3af417e889de5,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_3B7FB1395768B690,COVAPIE_CYS_SG_REACTION_FAMILY_4C9251579704AD85,COVAPIE_CYS_SG_WARHEAD_RULE_3B7FB1395768B690,not_reviewed,,,,d44433600b5b59f34f5d1ade429edb53ea92f48704f2bca63ff3af417e889de5,
covapie_cys_sg_human_review_record_v1,sample_assignment,CYS_SG_SAMPLE_INDEX_000005,6937aeb83807b98d70c5fbac0dfc3b35b45b37623bc9d98bf931798fc50e94b2,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_EE022EB419200D14,COVAPIE_CYS_SG_REACTION_FAMILY_DC230CD72B1283D2,COVAPIE_CYS_SG_WARHEAD_RULE_EE022EB419200D14,not_reviewed,,,,6937aeb83807b98d70c5fbac0dfc3b35b45b37623bc9d98bf931798fc50e94b2,
covapie_cys_sg_human_review_record_v1,sample_assignment,CYS_SG_SAMPLE_INDEX_000006,1fd0447be512594190408c25246efd9780955ef5ff9223967a26dfc0e9eb6fbd,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_1D1D9C797859191F,COVAPIE_CYS_SG_REACTION_FAMILY_E02CDE030B1009B1,COVAPIE_CYS_SG_WARHEAD_RULE_1D1D9C797859191F,not_reviewed,,,,1fd0447be512594190408c25246efd9780955ef5ff9223967a26dfc0e9eb6fbd,
covapie_cys_sg_human_review_record_v1,sample_assignment,CYS_SG_SAMPLE_INDEX_000007,d2c66d96c8b2ec5be413cb8bd0a612a49ba42345c7f78d050f44afa16c01e2d1,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_1D1D9C797859191F,COVAPIE_CYS_SG_REACTION_FAMILY_E02CDE030B1009B1,COVAPIE_CYS_SG_WARHEAD_RULE_1D1D9C797859191F,not_reviewed,,,,d2c66d96c8b2ec5be413cb8bd0a612a49ba42345c7f78d050f44afa16c01e2d1,
covapie_cys_sg_human_review_record_v1,sample_assignment,CYS_SG_SAMPLE_INDEX_000008,82cb64369ad96f246f5c428efe21a89585d4e70d50d4a59ed853525df53dd0cc,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_106441A31FA4F951,COVAPIE_CYS_SG_REACTION_FAMILY_11AA213C661B48E3,COVAPIE_CYS_SG_WARHEAD_RULE_106441A31FA4F951,not_reviewed,,,,82cb64369ad96f246f5c428efe21a89585d4e70d50d4a59ed853525df53dd0cc,
covapie_cys_sg_human_review_record_v1,sample_assignment,CYS_SG_SAMPLE_INDEX_000009,f1812c89389dc83c7c69f6557df388c07c4cf246d054b925a22d6ee9e44c8eed,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_DF48FCEE8872B92A,COVAPIE_CYS_SG_REACTION_FAMILY_888A8E40AB92B0F8,COVAPIE_CYS_SG_WARHEAD_RULE_DF48FCEE8872B92A,not_reviewed,,,,f1812c89389dc83c7c69f6557df388c07c4cf246d054b925a22d6ee9e44c8eed,
covapie_cys_sg_human_review_record_v1,sample_assignment,CYS_SG_SAMPLE_INDEX_000010,e02fc64e2b1880ecad83fa4400a9c19cb04055bb8a4054abd9b5d55b370d1d6c,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_106441A31FA4F951,COVAPIE_CYS_SG_REACTION_FAMILY_11AA213C661B48E3,COVAPIE_CYS_SG_WARHEAD_RULE_106441A31FA4F951,not_reviewed,,,,e02fc64e2b1880ecad83fa4400a9c19cb04055bb8a4054abd9b5d55b370d1d6c,
