candidate_identity,pdb_id,ligand_comp_id,source_kind,source_relative_path,source_SHA256,explicit_covalent_event_available,explicit_covalent_event_authority,protein_reactive_endpoint,ligand_reactive_endpoint,protein_endpoint_exact_CYS_SG,ligand_endpoint_identity,endpoint_mapping_unique,endpoint_retained_in_model_projection,checkpoint_feature_semantics_valid,unsupported_nonhydrogen_count,explicit_hydrogen_handling_valid,observed_complex_distance_available,observed_complex_distance_angstrom,role_authority_status,seed_anchor_authority_status,warhead_authority_status,reaction_family_authority_status,warhead_rule_authority_status,profile_candidate,existing_leakage_group,existing_split_or_none,POST_authority_eligible,PRE_authority_status,blocking_reasons,final_classification
1ATK/E64,1ATK,E64,CovPDB_metadata,data/derived/covalent_small/covapie_cys_sg_acquired_annotation_manual_review_gate_v0/covapie_cys_sg_combined_acquired_annotation_inventory.csv,c9307724ff851fdab13a3b2f71887fb8759fbb99b444d44054af02d472ff575b,true,COVPDB_STRUCT_CONN_PAIR_CANONICAL_INSTANCE_UNRESOLVED,A:CYS:25:NONE:SG,A:E64:INSTANCE_UNRESOLVED:C2,true,E64:C2_INSTANCE_UNRESOLVED,false,false,false,NOT_EVALUATED,false,false,,NOT_APPLICABLE_REJECT,NOT_APPLICABLE_REJECT,NOT_APPLICABLE_REJECT,NOT_APPLICABLE_REJECT,NOT_APPLICABLE_REJECT,CURRENT11_STRICT_LINKER_PRESENT_DUPLICATE_CANDIDATE,COVAPIE_LEAKAGE_GROUP_000002,validation,false,MISSING_MASKED,KNOWN_LOWER_PRIORITY_EXACT16_E64_DUPLICATE;CANONICAL_LIGAND_INSTANCE_COORDINATES_AND_RETAINED_MAPPING_MISSING,REJECT
1A54/MDC,1A54,MDC,RCSB_mmcif_targeted_local,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/1a54.cif,72027fd8250ab981a082a8081f7624ca81f2cc78dfeaba8ea124a3ead1543d11,false,ACQUIRED_MMCIF_STRUCT_CONN_LOOP_ABSENT,A:CYS:197:NONE:SG_CANDIDATE,,false,,false,false,false,NOT_EVALUATED,false,false,,MISSING,MISSING,MISSING,MISSING,MISSING,NONE,NONE,NONE,false,MISSING_MASKED,EXPLICIT_CYS_SG_LIGAND_EVENT_AUTHORITY_ABSENT;EXACT_LIGAND_ENDPOINT_COORDINATES_MODEL_GRAPH_AND_POCKET_MAPPING_UNAVAILABLE,MISSING_SOURCE_AUTHORITY
2DJF/1ZB,2DJF,1ZB,RCSB_mmcif_targeted_local,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/2djf.cif,909fdf9bb28d1875a3ab80c5108b50025e6180196656e0eb5e46f572e4c185c2,true,MMCIF_STRUCT_CONN_EXACT_ENDPOINT_PAIR,B:CYS:234:NONE:SG,B:1ZB:801:NONE:C2,true,1ZB:C2,true,true,true,0,true,true,1.859979032,APPROVED_DETERMINISTIC_RULE_NO_MATCH,NOT_APPLICABLE_UNTIL_ROLE_ASSIGNMENT_RESOLVED,SAMPLE_BOUND_AUTHORITY_NO_MATCH,APPROVED_REUSABLE_RULE_NO_MATCH,APPROVED_REUSABLE_RULE_NO_MATCH,PROFILE_PENDING_HUMAN_ROLE_PARTITION,NONE,NONE,true,MISSING_MASKED,REACTION_FAMILY_APPROVED_RULE_NO_MATCH;WARHEAD_RULE_APPROVED_RULE_NO_MATCH;WARHEAD_ATOM_SET_AND_BOUNDARY_SAMPLE_AUTHORITY_NO_MATCH;ROLE_APPROVED_DETERMINISTIC_RULE_NO_MATCH;SEED_DEPENDS_ON_ROLE;LEAKAGE_GROUP_AND_SPLIT_NOT_MATERIALIZED,READY_AFTER_HUMAN_APPROVAL
6BV9/JUG,6BV9,JUG,CovPDB_metadata,data/derived/covalent_small/covapie_cys_sg_acquired_annotation_manual_review_gate_v0/covapie_cys_sg_combined_acquired_annotation_inventory.csv,c9307724ff851fdab13a3b2f71887fb8759fbb99b444d44054af02d472ff575b,false,EXPECTED_LIGAND_COMPONENT_MISMATCH,A:CYS:222:NONE:SG_CANDIDATE,,false,,false,false,false,NOT_EVALUATED,false,false,,NOT_APPLICABLE_REJECT,NOT_APPLICABLE_REJECT,NOT_APPLICABLE_REJECT,NOT_APPLICABLE_REJECT,NOT_APPLICABLE_REJECT,CURRENT11_STRICT_LINKER_PRESENT_COMPONENT_MISMATCH_CANDIDATE,COVAPIE_LEAKAGE_GROUP_000001,train,false,MISSING_MASKED,EXPLICIT_EVENT_LIGAND_COMPONENT_DOES_NOT_MATCH_EXPECTED_JUG;TARGET_EVENT_COORDINATES_AND_MAPPING_INVALID,REJECT
6VWE/JY1,6VWE,JY1,RCSB_mmcif_targeted_local,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6vwe.cif,8f73bbe82c2cf1db53061ffd157bb3edce95a526b4bd42db31855848ad2013ff,false,ACQUIRED_MMCIF_STRUCT_CONN_LOOP_ABSENT,A:CYS:89:NONE:SG_CANDIDATE,,false,,false,false,false,1_RAW_RH_MODEL_BOUND_MEMBERSHIP_UNRESOLVED,false,false,,MISSING,MISSING,MISSING,MISSING,MISSING,NONE,NONE,NONE,false,MISSING_MASKED,EXPLICIT_CYS_SG_LIGAND_EVENT_AUTHORITY_ABSENT;RH_MODEL_PROJECTION_MEMBERSHIP_UNRESOLVED;EXACT_ENDPOINT_COORDINATES_MODEL_GRAPH_AND_POCKET_MAPPING_UNAVAILABLE,MISSING_SOURCE_AUTHORITY
2R9F/K2Z,2R9F,K2Z,RCSB_mmcif_targeted_local,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/2r9f.cif,af5a5539b88559786185eb671a46b09b7f73854a2bf550f3d8149d0d2c40b828,true,MMCIF_STRUCT_CONN_EXACT_ENDPOINT_PAIR,A:CYS:115:NONE:SG,A:K2Z:367:NONE:CBM,true,K2Z:CBM,true,true,true,0,true,true,2.010164670,HUMAN_GOLD_REQUIRED_NOT_REVIEWED,HUMAN_GOLD_REQUIRED_NOT_REVIEWED,HUMAN_GOLD_REQUIRED_NOT_REVIEWED,APPROVED_REUSABLE_RULE_NO_MATCH_HUMAN_REVIEW_REQUIRED,APPROVED_REUSABLE_RULE_NO_MATCH_HUMAN_REVIEW_REQUIRED,EMBEDDED_WARHEAD_MULTI_BOUNDARY_RUNTIME_REQUIRED,NONE,NONE,true,MISSING_MASKED,EMBEDDED_WARHEAD_MULTI_BOUNDARY_TOPOLOGY_CANNOT_FIT_EXISTING_PROFILES;REACTION_FAMILY_WARHEAD_RULE_ROLE_AND_SEED_HUMAN_REVIEW_NOT_COMPLETED;LEAKAGE_GROUP_AND_SPLIT_NOT_MATERIALIZED,NEEDS_RUNTIME_PROFILE_EXTENSION
6WTJ/K36,6WTJ,K36,RCSB_mmcif_targeted_local,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6wtj.cif,a3083dbafd741f872d1fa1593c1b0e080f36d2daa8e67bf567d07b2bb221fdcd,false,ACQUIRED_MMCIF_STRUCT_CONN_LOOP_ABSENT,A:CYS:145:NONE:SG_CANDIDATE,,false,,false,false,false,NOT_EVALUATED,false,false,,MISSING,MISSING,MISSING,MISSING,MISSING,K36_DIRECT_ATTACHMENT_OPTIONAL_LINKER_CANDIDATE_UNSUPPORTED_WITHOUT_EVENT,NONE,NONE,false,MISSING_MASKED,EXPLICIT_CYS_SG_K36_EVENT_AUTHORITY_ABSENT;EXACT_ENDPOINT_COORDINATES_MODEL_GRAPH_AND_POCKET_MAPPING_UNAVAILABLE,MISSING_SOURCE_AUTHORITY
7C8U/K36,7C8U,K36,RCSB_mmcif_targeted_local,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/7c8u.cif,3400041d50480cddab071612bc4a4df1d58a7878e91d59f68cd53802fdd6f8f9,false,ACQUIRED_MMCIF_STRUCT_CONN_LOOP_ABSENT,A:CYS:145:NONE:SG_CANDIDATE,,false,,false,false,false,NOT_EVALUATED,false,false,,MISSING,MISSING,MISSING,MISSING,MISSING,K36_DIRECT_ATTACHMENT_OPTIONAL_LINKER_CANDIDATE_UNSUPPORTED_WITHOUT_EVENT,NONE,NONE,false,MISSING_MASKED,EXPLICIT_CYS_SG_K36_EVENT_AUTHORITY_ABSENT;EXACT_ENDPOINT_COORDINATES_MODEL_GRAPH_AND_POCKET_MAPPING_UNAVAILABLE,MISSING_SOURCE_AUTHORITY
6WTK/UED,6WTK,UED,RCSB_mmcif_targeted_local,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6wtk.cif,561970e8a886a09f45668a9ef114e723a11e746b4153dbf250ce2f8f024c921a,false,ACQUIRED_MMCIF_STRUCT_CONN_LOOP_ABSENT,A:CYS:145:NONE:SG_CANDIDATE,,false,,false,false,false,NOT_EVALUATED,false,false,,MISSING,MISSING,MISSING,MISSING,MISSING,DIRECT_ATTACHMENT_OPTIONAL_LINKER_CANDIDATE_UNSUPPORTED_WITHOUT_EVENT,NONE,NONE,false,MISSING_MASKED,EXPLICIT_CYS_SG_UED_EVENT_AUTHORITY_ABSENT;EXACT_ENDPOINT_COORDINATES_MODEL_GRAPH_AND_POCKET_MAPPING_UNAVAILABLE,MISSING_SOURCE_AUTHORITY
6DI9/GJJ,6DI9,GJJ,PDB_mmcif_direct_local,data/raw/covalent_sources/pdb_mmcif_direct/structures/6DI9.cif.gz,437901f354373a1cf5d20446e03409ed504899e8140a7ad819f2b609c6c5f81e,true,MMCIF_STRUCT_CONN_EXACT_ENDPOINT_PAIR_HUMAN_CONFIRMED_V0,A:CYS:481:NONE:SG,A:GJJ:701:NONE:C33,true,GJJ:C33,true,true,true,0,true,true,1.8053,HISTORICAL_DRAFT_PROPOSAL_ONLY;HUMAN_GOLD_AUTHORITY_REQUIRED,NO_PUBLISHED_SEED_PROPOSAL;DEPENDENT_ON_HUMAN_ROLE_AUTHORITY,HISTORICAL_DRAFT_PROPOSAL_ONLY;SAMPLE_APPROVAL_REQUIRED,NO_APPROVED_REUSABLE_RULE_MATCH;EXPLICIT_HUMAN_APPROVAL_REQUIRED,NO_APPROVED_REUSABLE_RULE_MATCH;APPROVED_SMARTS_REQUIRED,STRICT_LINKER_PRESENT_BLOCKED_BY_DRAFT_SCAFFOLD_LINKER_BOUNDARY_MULTIPLICITY,NONE,NONE,true,MISSING_MASKED,REACTION_FAMILY_EXPLICIT_HUMAN_APPROVAL_MISSING;APPROVED_SMARTS_RULE_MISSING;INDEPENDENT_SAMPLE_ASSIGNMENT_APPROVAL_MISSING;DRAFT_ROLE_PARTITION_HAS_TWO_SCAFFOLD_LINKER_BOUNDARIES;MINIMAL_SEED_AND_ANCHORS_MISSING;LEAKAGE_GROUP_AND_SPLIT_NOT_MATERIALIZED,READY_AFTER_HUMAN_APPROVAL
