safety_item,expected_executed,observed_executed,safety_passed
fixed_ordered_source_boundary,true,true,true
all_structural_checks_before_source_bytes,true,true,true
source_sha256_verified,true,true,true
snapshot_only_ast_csv_json_parsing,true,true,true
exact11_issue_byte_preservation,true,true,true
deterministic_materialization,true,true,true
candidate_projection_contract,true,true,true
context_routing_contract,true,true,true
missing_value_contract,true,true,true
exact10_source_validation,true,true,true
independent_oracle_equivalence,true,true,true
exact13_projection_contract,true,true,true
blocked_passthrough,true,true,true
context_invalid_partial_canonical_projection,true,true,true
current_exact5_verified,true,true,true
adapter_handler_implementation,false,false,true
registry_modification,false,false,true
admit_006_registration,false,false,true
admit_007_work,false,false,true
evaluate_all_rules,false,false,true
combined_candidate_verdict,false,false,true
cross_rule_aggregation,false,false,true
provider_mapping,false,false,true
raw_read,false,false,true
structure_parsing,false,false,true
network,false,false,true
download,false,false,true
real_candidate_evaluation,false,false,true
checkpoint_access,false,false,true
torch,false,false,true
numpy,false,false,true
rdkit,false,false,true
model_forward,false,false,true
loss,false,false,true
training,false,false,true
fine_tune,false,false,true
parameter_update,false,false,true
stage,false,false,true
commit,false,false,true
push,false,false,true
gh,false,false,true
