contract_order,contract_id,contract_group,contract_subject,contract_value,contract_status
1,CONTRACT_001,identity,admission_rule_id,ADMIT_006,frozen
2,CONTRACT_002,identity,admission_rule_name,explicit_covalent_event_evidence,frozen
3,CONTRACT_003,identity,adapter_id,covapie_admit_006_unified_adapter_v1,frozen
4,CONTRACT_004,identity,formal_evaluator,evaluate_admit_006,frozen
5,CONTRACT_005,identity,formal_evaluator_source,src/covalent_ext/covapie_bulk_download_admission_admit_006_rule_logic_interface.py,frozen
6,CONTRACT_006,runtime_reuse,public_api,evaluate_admission_rule,frozen
7,CONTRACT_007,runtime_reuse,result_type,UnifiedAdmissionRuleEvaluation,frozen
8,CONTRACT_008,runtime_reuse,dispatch_error_type,UnifiedAdmissionDispatchError,frozen
9,CONTRACT_009,runtime_reuse,schema_version,covapie_unified_admission_rule_evaluation_v1,frozen
10,CONTRACT_010,runtime_reuse,exact13_fields,schema_version|admission_rule_id|admission_rule_name|outcome|passed|blocks_candidate|reason|normalized_values|validated_candidate_fields|consumed_candidate_fields|consumed_context_items|evaluator_io_used|adapter_id,frozen
11,CONTRACT_011,runtime_reuse,exact6_dispatch_fields,code|admission_rule_id|known_rule|callable_discovered|adapter_ready|reason,frozen
12,CONTRACT_012,registration,future_exact6_order,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006,frozen
13,CONTRACT_013,registration,current_exact5_order,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005,frozen
14,CONTRACT_014,precedence,complete_execution_precedence,global_admission_rule_id_exact_type_validation|known_rule_validation|registration_adapter_ready_validation|batch_context_validation|evaluation_context_mapping_validation|allowed_covalent_evidence_classes_key_validation|download_result_context_validation|stage_authorization_context_validation|candidate_record_mapping_validation|required_candidate_field_presence|adapter_missing_value_classification|formal_evaluate_admit_006_exactly_once|standalone_source_exact_type_and_exact10_invariant_validation|independent_expected_exact10_oracle_derivation|source_oracle_complete_exact10_equality|exact13_unified_result_construction,frozen
15,CONTRACT_015,routing,context_order,batch_context|evaluation_context|download_result_context|stage_authorization_context,frozen
16,CONTRACT_016,routing,batch_context,exact_none,frozen
17,CONTRACT_017,routing,evaluation_context,mapping_subclass_accepted_required_key_extra_keys_ignored,frozen
18,CONTRACT_018,routing,routed_context_value,original_identity_no_prevalidation,frozen
19,CONTRACT_019,routing,download_result_context,exact_none,frozen
20,CONTRACT_020,routing,stage_authorization_context,exact_none,frozen
21,CONTRACT_021,candidate,candidate_record,mapping_subclass_accepted_extra_fields_ignored_no_copy_no_mutation,frozen
22,CONTRACT_022,candidate,required_field,covalent_event_evidence_source,frozen
23,CONTRACT_023,candidate,non_mapping,ADMIT_006_CANDIDATE_RECORD_MAPPING_INVALID,frozen
24,CONTRACT_024,missing,missing_field,covalent_event_evidence_missing,frozen
25,CONTRACT_025,missing,exact_none,covalent_event_evidence_missing,frozen
26,CONTRACT_026,missing,exact_builtin_empty_str,covalent_event_evidence_missing,frozen
27,CONTRACT_027,missing,empty_str_subclass,not_missing_routed_to_standalone,frozen
28,CONTRACT_028,call,formal_call,exactly_one_positional_call_original_scalar_and_context_identity,frozen
29,CONTRACT_029,call,normalization,none_no_trim_casefold_alias_conversion_copy_repair_mutation_or_io,frozen
30,CONTRACT_030,source,exact_type,type(source)_is_Admit006EvaluationResult_subclass_rejected,frozen
31,CONTRACT_031,source,exact10_fields,admission_rule_id|outcome|passed|blocks_candidate|reason|canonical_covalent_event_evidence_source|validated_candidate_fields|consumed_candidate_fields|consumed_context_items|evaluator_io_used,frozen
32,CONTRACT_032,source,invariants,complete_cross_field_validation_before_oracle,frozen
33,CONTRACT_033,oracle,identity,classify_admit_006_admit_007_evidence_design,frozen
34,CONTRACT_034,oracle,equivalence,same_original_objects_exactly_once_complete_ordered_exact10_equality,frozen
35,CONTRACT_035,projection,mapping,source_exact10_to_existing_unified_exact13,frozen
36,CONTRACT_036,projection,normalized_values,source.validated_candidate_fields,frozen
37,CONTRACT_037,projection,blocked,blocked_passthrough_not_rejected_or_invalid,frozen
38,CONTRACT_038,projection,context_invalid,canonical_and_validated_pair_retained,frozen
39,CONTRACT_039,issues,exact11,byte_identical_preserved,frozen
40,CONTRACT_040,readiness,next_step,implement_covapie_unified_dispatch_runtime_with_admit_001_to_006_v1,frozen
41,CONTRACT_041,stop,adapter_handler,not_implemented,frozen
42,CONTRACT_042,stop,runtime_registry,current_exact5_unmodified_admit_006_not_registered,frozen
43,CONTRACT_043,stop,training,feature_semantics_audit_required_step12d_not_final_contract,frozen
