case_id,case_group,admission_rule_id,expected_outcome,observed_outcome,expected_reason,observed_reason,formal_call_count,scope_oracle_call_count,atom_oracle_call_count,phase4_parity,case_passed
GLOBAL_TYPE,global_dispatch,5,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,0,0,0,false,true
GLOBAL_UNKNOWN,global_dispatch,ADMIT_999,UNIFIED_ADMISSION_RULE_ID_UNKNOWN,UNIFIED_ADMISSION_RULE_ID_UNKNOWN,UNIFIED_ADMISSION_RULE_ID_UNKNOWN,UNIFIED_ADMISSION_RULE_ID_UNKNOWN,0,0,0,false,true
GLOBAL_ADMIT_006_UNREGISTERED,global_dispatch,ADMIT_006,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,0,0,0,false,true
GLOBAL_ADMIT_007_UNREGISTERED,global_dispatch,ADMIT_007,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,0,0,0,false,true
GLOBAL_ADMIT_008_UNREGISTERED,global_dispatch,ADMIT_008,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,0,0,0,false,true
GLOBAL_ADMIT_009_UNREGISTERED,global_dispatch,ADMIT_009,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,0,0,0,false,true
GLOBAL_ADMIT_010_UNREGISTERED,global_dispatch,ADMIT_010,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,0,0,0,false,true
GLOBAL_ADMIT_011_UNREGISTERED,global_dispatch,ADMIT_011,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,0,0,0,false,true
GLOBAL_ADMIT_012_UNREGISTERED,global_dispatch,ADMIT_012,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,0,0,0,false,true
GLOBAL_ADMIT_013_UNREGISTERED,global_dispatch,ADMIT_013,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,0,0,0,false,true
GLOBAL_ADMIT_014_UNREGISTERED,global_dispatch,ADMIT_014,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,0,0,0,false,true
GLOBAL_ADMIT_015_UNREGISTERED,global_dispatch,ADMIT_015,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,0,0,0,false,true
P4_A001_PASS,phase4_parity,ADMIT_001,passed,passed,,,0,0,0,true,true
P4_A001_BLOCK,phase4_parity,ADMIT_001,blocked,blocked,candidate_record_id_missing_from_batch,candidate_record_id_missing_from_batch,0,0,0,true,true
P4_A001_INVALID,phase4_parity,ADMIT_001,invalid,invalid,candidate_record_id_empty,candidate_record_id_empty,0,0,0,true,true
P4_A001_CONTEXT,phase4_parity,ADMIT_001,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_001_BATCH_CONTEXT_MAPPING_REQUIRED,ADMIT_001_BATCH_CONTEXT_MAPPING_REQUIRED,0,0,0,true,true
P4_A002_PASS,phase4_parity,ADMIT_002,passed,passed,,,0,0,0,true,true
P4_A002_INVALID,phase4_parity,ADMIT_002,invalid,invalid,pdb_id_not_string,pdb_id_not_string,0,0,0,true,true
P4_A002_CONTEXT,phase4_parity,ADMIT_002,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_002_BATCH_CONTEXT_MUST_BE_NONE,ADMIT_002_BATCH_CONTEXT_MUST_BE_NONE,0,0,0,true,true
P4_A003_PASS,phase4_parity,ADMIT_003,passed,passed,,,0,0,0,true,true
P4_A003_INVALID,phase4_parity,ADMIT_003,invalid,invalid,LIGAND_COMP_ID_TYPE_INVALID,LIGAND_COMP_ID_TYPE_INVALID,0,0,0,true,true
P4_A003_CONTEXT,phase4_parity,ADMIT_003,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_003_BATCH_CONTEXT_MUST_BE_NONE,ADMIT_003_BATCH_CONTEXT_MUST_BE_NONE,0,0,0,true,true
P4_A004_PASS,phase4_parity,ADMIT_004,passed,passed,,,0,0,0,true,true
P4_A004_BLOCK,phase4_parity,ADMIT_004,blocked,blocked,ADMIT_004_IDENTITY_EVIDENCE_CONTEXT_MISSING,ADMIT_004_IDENTITY_EVIDENCE_CONTEXT_MISSING,0,0,0,true,true
P4_A004_INVALID,phase4_parity,ADMIT_004,invalid,invalid,ADMIT_004_CANDIDATE_RECORD_MAPPING_INVALID,ADMIT_004_CANDIDATE_RECORD_MAPPING_INVALID,0,0,0,true,true
P4_A004_CONTEXT,phase4_parity,ADMIT_004,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_004_BATCH_CONTEXT_MUST_BE_NONE,ADMIT_004_BATCH_CONTEXT_MUST_BE_NONE,0,0,0,true,true
A005_CONTEXT_BATCH,admit005_context,ADMIT_005,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_005_BATCH_CONTEXT_MUST_BE_NONE,ADMIT_005_BATCH_CONTEXT_MUST_BE_NONE,0,0,0,false,true
A005_CONTEXT_EVALUATION,admit005_context,ADMIT_005,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_005_EVALUATION_CONTEXT_MUST_BE_NONE,ADMIT_005_EVALUATION_CONTEXT_MUST_BE_NONE,0,0,0,false,true
A005_CONTEXT_DOWNLOAD,admit005_context,ADMIT_005,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_005_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE,ADMIT_005_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE,0,0,0,false,true
A005_CONTEXT_STAGE,admit005_context,ADMIT_005,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_005_STAGE_AUTHORIZATION_CONTEXT_MUST_BE_NONE,ADMIT_005_STAGE_AUTHORIZATION_CONTEXT_MUST_BE_NONE,0,0,0,false,true
A005_CONTEXT_PRECEDENCE,admit005_context,ADMIT_005,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_005_BATCH_CONTEXT_MUST_BE_NONE,ADMIT_005_BATCH_CONTEXT_MUST_BE_NONE,0,0,0,false,true
A005_NON_MAPPING,admit005_candidate,ADMIT_005,invalid,invalid,ADMIT_005_CANDIDATE_RECORD_MAPPING_INVALID,ADMIT_005_CANDIDATE_RECORD_MAPPING_INVALID,0,0,0,false,true
A005_MISSING_RESIDUE,admit005_candidate,ADMIT_005,invalid,invalid,ADMIT_005_CANDIDATE_FIELD_MISSING:covalent_residue_name,ADMIT_005_CANDIDATE_FIELD_MISSING:covalent_residue_name,0,0,0,false,true
A005_MISSING_ATOM,admit005_candidate,ADMIT_005,invalid,invalid,ADMIT_005_CANDIDATE_FIELD_MISSING:covalent_residue_atom_name,ADMIT_005_CANDIDATE_FIELD_MISSING:covalent_residue_atom_name,0,0,0,false,true
A005_BOTH_MISSING,admit005_candidate,ADMIT_005,invalid,invalid,ADMIT_005_CANDIDATE_FIELD_MISSING:covalent_residue_name,ADMIT_005_CANDIDATE_FIELD_MISSING:covalent_residue_name,0,0,0,false,true
A005_MAPPING_SUBCLASS,admit005_candidate,ADMIT_005,passed,passed,,,1,1,1,false,true
A005_EXTRA_IGNORED,admit005_candidate,ADMIT_005,passed,passed,,,1,1,1,false,true
A005_NOT_MUTATED,admit005_candidate,ADMIT_005,passed,passed,,,1,1,1,false,true
A005_SCALAR_IDENTITY,admit005_candidate,ADMIT_005,passed,passed,,,1,1,1,false,true
A005_EXACT22_PASS_001,admit005_exact22,ADMIT_005,passed,passed,,,1,1,1,false,true
A005_EXACT22_PASS_002,admit005_exact22,ADMIT_005,passed,passed,,,1,1,1,false,true
A005_EXACT22_REJECT_001,admit005_exact22,ADMIT_005,rejected,rejected,ADMIT_005_CYS_SG_SCOPE_REJECTED,ADMIT_005_CYS_SG_SCOPE_REJECTED,1,1,1,false,true
A005_EXACT22_REJECT_002,admit005_exact22,ADMIT_005,rejected,rejected,ADMIT_005_CYS_SG_SCOPE_REJECTED,ADMIT_005_CYS_SG_SCOPE_REJECTED,1,1,1,false,true
A005_EXACT22_REJECT_003,admit005_exact22,ADMIT_005,rejected,rejected,ADMIT_005_CYS_SG_SCOPE_REJECTED,ADMIT_005_CYS_SG_SCOPE_REJECTED,1,1,1,false,true
A005_EXACT22_REJECT_004,admit005_exact22,ADMIT_005,rejected,rejected,ADMIT_005_CYS_SG_SCOPE_REJECTED,ADMIT_005_CYS_SG_SCOPE_REJECTED,1,1,1,false,true
A005_EXACT22_REJECT_005,admit005_exact22,ADMIT_005,rejected,rejected,ADMIT_005_CYS_SG_SCOPE_REJECTED,ADMIT_005_CYS_SG_SCOPE_REJECTED,1,1,1,false,true
A005_EXACT22_REJECT_006,admit005_exact22,ADMIT_005,rejected,rejected,ADMIT_005_CYS_SG_SCOPE_REJECTED,ADMIT_005_CYS_SG_SCOPE_REJECTED,1,1,1,false,true
