final_dataset_field_name,future_dataloader_role,future_batch_key_or_metadata_key,source_value_present_in_preview,tensorization_status_current_step,current_smoke_value_status,blocker_before_training,field_mapping_smoke_passed,field_mapping_qa_passed,qa_comment
final_dataset_row_id,metadata_key_not_tensor,metadata.final_dataset_row_id,True,design_only_no_tensorization_current_step,metadata_value_present_in_smoke,False,True,True,field mapping QA preserves metadata-only no-tensor boundary
sample_id,metadata_key_not_tensor,metadata.sample_id,True,design_only_no_tensorization_current_step,metadata_value_present_in_smoke,False,True,True,field mapping QA preserves metadata-only no-tensor boundary
split_unit_id,metadata_key_not_tensor,metadata.split_unit_id,True,design_only_no_tensorization_current_step,metadata_value_present_in_smoke,False,True,True,field mapping QA preserves metadata-only no-tensor boundary
extracted_event_id,metadata_key_not_tensor,metadata.extracted_event_id,True,design_only_no_tensorization_current_step,metadata_value_present_in_smoke,False,True,True,field mapping QA preserves metadata-only no-tensor boundary
allowlist_entry_id,metadata_key_not_tensor,metadata.allowlist_entry_id,True,design_only_no_tensorization_current_step,metadata_value_present_in_smoke,False,True,True,field mapping QA preserves metadata-only no-tensor boundary
candidate_metadata_id,metadata_key_not_tensor,metadata.candidate_metadata_id,True,design_only_no_tensorization_current_step,metadata_value_present_in_smoke,False,True,True,field mapping QA preserves metadata-only no-tensor boundary
pdb_id,metadata_key_not_tensor,metadata.pdb_id,True,design_only_no_tensorization_current_step,metadata_value_present_in_smoke,False,True,True,field mapping QA preserves metadata-only no-tensor boundary
het_code,metadata_key_not_tensor,metadata.het_code,True,design_only_no_tensorization_current_step,metadata_value_present_in_smoke,False,True,True,field mapping QA preserves metadata-only no-tensor boundary
chain_id,metadata_key_not_tensor,metadata.chain_id,True,design_only_no_tensorization_current_step,metadata_value_present_in_smoke,False,True,True,field mapping QA preserves metadata-only no-tensor boundary
residue_name,metadata_key_not_tensor,metadata.residue_name,True,design_only_no_tensorization_current_step,metadata_value_present_in_smoke,False,True,True,field mapping QA preserves metadata-only no-tensor boundary
residue_index,metadata_key_not_tensor,metadata.residue_index,True,design_only_no_tensorization_current_step,metadata_value_present_in_smoke,False,True,True,field mapping QA preserves metadata-only no-tensor boundary
residue_atom_name,metadata_key_not_tensor,metadata.residue_atom_name,True,design_only_no_tensorization_current_step,metadata_value_present_in_smoke,False,True,True,field mapping QA preserves metadata-only no-tensor boundary
ligand_atom_name,metadata_key_not_tensor,metadata.ligand_atom_name,True,design_only_no_tensorization_current_step,metadata_value_present_in_smoke,False,True,True,field mapping QA preserves metadata-only no-tensor boundary
covalent_bond_atom_pair,covalent_geometry_metadata,geometry.covalent_bond_atom_pair,True,design_only_no_tensorization_current_step,geometry_metadata_present_feature_audit_required,True,True,True,field mapping QA preserves metadata-only no-tensor boundary
covalent_bond_distance_angstrom,covalent_geometry_metadata,geometry.covalent_bond_distance_angstrom,True,design_only_no_tensorization_current_step,geometry_metadata_present_feature_audit_required,True,True,True,field mapping QA preserves metadata-only no-tensor boundary
protein_pocket_atom_table_path,future_protein_atom_table_loader_input,inputs.protein_atom_table_path,True,design_only_no_tensorization_current_step,path_present_not_loaded_current_step,False,True,True,field mapping QA preserves metadata-only no-tensor boundary
ligand_atom_table_path,future_ligand_atom_table_loader_input,inputs.ligand_atom_table_path,True,design_only_no_tensorization_current_step,path_present_not_loaded_current_step,False,True,True,field mapping QA preserves metadata-only no-tensor boundary
protein_atom_row_count_for_event,validation_metadata,validation.protein_atom_row_count_for_event,True,design_only_no_tensorization_current_step,count_present_for_future_shape_checks,False,True,True,field mapping QA preserves metadata-only no-tensor boundary
ligand_atom_row_count_for_event,validation_metadata,validation.ligand_atom_row_count_for_event,True,design_only_no_tensorization_current_step,count_present_for_future_shape_checks,False,True,True,field mapping QA preserves metadata-only no-tensor boundary
mask_task_name,canonical_mask_task_selector_long_name,mask.task_name,True,design_only_no_tensorization_current_step,long_semantic_name_present,False,True,True,field mapping QA preserves metadata-only no-tensor boundary
mask_task_alias,display_report_only,mask.display_alias,True,design_only_no_tensorization_current_step,display_alias_present_not_source_of_truth,False,True,True,field mapping QA preserves metadata-only no-tensor boundary
mask_task_semantic_description,mask_conditioning_metadata,metadata.mask_task_semantic_description,True,design_only_no_tensorization_current_step,smoke_value_present,False,True,True,field mapping QA preserves metadata-only no-tensor boundary
conditioning_mode,conditioning_metadata,conditioning.conditioning_mode,True,design_only_no_tensorization_current_step,conditioning_value_present,False,True,True,field mapping QA preserves metadata-only no-tensor boundary
covalent_residue_conditioned,conditioning_metadata,conditioning.covalent_residue_conditioned,True,design_only_no_tensorization_current_step,conditioning_value_present,False,True,True,field mapping QA preserves metadata-only no-tensor boundary
source_sample_index_path,identity_metadata,metadata.source_sample_index_path,True,design_only_no_tensorization_current_step,smoke_value_present,False,True,True,field mapping QA preserves metadata-only no-tensor boundary
source_split_unit_preview_path,identity_metadata,metadata.source_split_unit_preview_path,True,design_only_no_tensorization_current_step,smoke_value_present,False,True,True,field mapping QA preserves metadata-only no-tensor boundary
feature_semantics_contract_path,identity_metadata,metadata.feature_semantics_contract_path,True,design_only_no_tensorization_current_step,smoke_value_present,False,True,True,field mapping QA preserves metadata-only no-tensor boundary
scaffold_linker_warhead_annotation_status,training_blocker_metadata,blockers.scaffold_linker_warhead_annotation_status,True,design_only_no_tensorization_current_step,blocker_value_present,True,True,True,field mapping QA preserves metadata-only no-tensor boundary
warhead_type_label_status,training_blocker_metadata,blockers.warhead_type_label_status,True,design_only_no_tensorization_current_step,blocker_value_present,True,True,True,field mapping QA preserves metadata-only no-tensor boundary
ligand_residue_atom_pair_label_status,training_blocker_metadata,blockers.ligand_residue_atom_pair_label_status,True,design_only_no_tensorization_current_step,blocker_value_present,True,True,True,field mapping QA preserves metadata-only no-tensor boundary
pre_post_geometry_label_status,training_blocker_metadata,blockers.pre_post_geometry_label_status,True,design_only_no_tensorization_current_step,blocker_value_present,True,True,True,field mapping QA preserves metadata-only no-tensor boundary
coordinate_unit,coordinate_geometry_metadata,geometry.coordinate_unit,True,design_only_no_tensorization_current_step,geometry_metadata_present_feature_audit_required,True,True,True,field mapping QA preserves metadata-only no-tensor boundary
coordinate_frame_status,training_blocker_metadata,blockers.coordinate_frame_status,True,design_only_no_tensorization_current_step,blocker_value_present,True,True,True,field mapping QA preserves metadata-only no-tensor boundary
pre_covalent_geometry_status,training_blocker_metadata,blockers.pre_covalent_geometry_status,True,design_only_no_tensorization_current_step,blocker_value_present,True,True,True,field mapping QA preserves metadata-only no-tensor boundary
post_covalent_geometry_status,training_blocker_metadata,blockers.post_covalent_geometry_status,True,design_only_no_tensorization_current_step,blocker_value_present,True,True,True,field mapping QA preserves metadata-only no-tensor boundary
feature_semantics_audit_status,training_blocker_metadata,blockers.feature_semantics_audit_status,True,design_only_no_tensorization_current_step,blocker_value_present,True,True,True,field mapping QA preserves metadata-only no-tensor boundary
feature_semantics_known_for_training,training_blocker_metadata,blockers.feature_semantics_known_for_training,True,design_only_no_tensorization_current_step,blocker_value_present,True,True,True,field mapping QA preserves metadata-only no-tensor boundary
