example_id,example_scope,input_type,input_display,batch_type,batch_display,expected_syntax_valid,expected_batch_valid,expected_passed,expected_canonical_candidate_record_id,expected_blocking_reason,observed_syntax_valid,observed_batch_valid,observed_passed,observed_canonical_candidate_record_id,observed_blocking_reason,example_passed
single_valid_01,single,str,A,,,true,true,true,A,,true,true,true,A,,true
single_valid_02,single,str,HR_0002,,,true,true,true,HR_0002,,true,true,true,HR_0002,,true
single_valid_03,single,str,candidate-001,,,true,true,true,candidate-001,,true,true,true,candidate-001,,true
single_valid_04,single,str,candidate.record:01,,,true,true,true,candidate.record:01,,true,true,true,candidate.record:01,,true
single_valid_05,single,str,AxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxZ,,,true,true,true,AxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxZ,,true,true,true,AxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxZ,,true
single_valid_06,single,str,ABC,,,true,true,true,ABC,,true,true,true,ABC,,true
single_valid_07,single,str,abc,,,true,true,true,abc,,true,true,true,abc,,true
single_invalid_empty,single,str,,,,false,true,false,,candidate_record_id_empty,false,true,false,,candidate_record_id_empty,true
single_invalid_leading_space,single,str, A,,,false,true,false,,candidate_record_id_pattern_invalid,false,true,false,,candidate_record_id_pattern_invalid,true
single_invalid_trailing_space,single,str,A ,,,false,true,false,,candidate_record_id_pattern_invalid,false,true,false,,candidate_record_id_pattern_invalid,true
