contract_item,contract_scope,exact_requirement,implementation_semantics,evaluator_responsibility,producer_responsibility,forbidden_behavior,contract_passed,blocking_reason
exact_python_str_type,single_value,type(value) is str,exact_type_only,reject_non_exact_str,provide_exact_str,isinstance_or_coercion,true,
str_subclass_rejected,single_value,str subclasses are invalid,exact_type_only,reject_subclasses,do_not_subclass,accept_str_subclass,true,
ascii_only,single_value,ASCII only,no_unicode_normalization,reject_non_ascii,provide_ascii,unicode_normalization,true,
length_minimum,single_value,length is at least 1,one_to_128,reject_empty,provide_nonempty,empty_identifier,true,
length_maximum,single_value,length is at most 128,one_to_128,reject_overlong,provide_bounded,truncate_identifier,true,
exact_regex,single_value,"^[A-Za-z0-9](?:[A-Za-z0-9._:-]{0,126}[A-Za-z0-9])?$",regex_fullmatch,validate_exact_pattern,provide_pattern_valid,partial_match,true,
no_trimming,single_value,input is never trimmed,identity,preserve_input,provide_final_value,trim_then_accept,true,
no_case_normalization,single_value,input is never case-normalized,identity,preserve_case,provide_case_stable,lowercase_or_uppercase,true,
no_unicode_normalization,single_value,input is never Unicode-normalized,identity,reject_non_ascii,provide_ascii,unicode_normalization,true,
identity_canonicalization,single_value,canonical value equals input,identity,return_input_exactly,assign_stable_id,derive_replacement,true,
case_sensitive_comparison,batch,ABC and abc are distinct,exact_equality,compare_exactly,preserve_case,case_fold_comparison,true,
no_path_semantics,single_value,identifier is not a path,opaque_identifier,reject_path_characters,do_not_use_paths,path_interpretation,true,
no_implicit_coercion,single_value,no implicit __str__ conversion,exact_type_only,reject_non_str,provide_str,implicit_conversion,true,
record_vs_chemistry_identity,semantics,not chemistry or event identity,opaque_record_key,do_not_infer_chemistry,assign_record_key,chemistry_equivalence,true,
separate_from_duplicate_identity_key,semantics,not duplicate_identity_key,separate_contracts,do_not_deduplicate,provide_separate_duplicate_key,replace_admit_009,true,
producer_assigned_identity,producer,provider assigns ID,external_producer_contract,do_not_generate,reuse_same_source_record_id,evaluator_assignment,true,
no_random_assignment,producer,no random UUID,deterministic_responsibility,do_not_randomize,avoid_random_values,random_uuid,true,
no_timestamp_assignment,producer,no timestamp assignment,deterministic_responsibility,do_not_timestamp,avoid_runtime_values,timestamp_id,true,
no_batch_position_assignment,producer,no batch position assignment,deterministic_responsibility,do_not_use_position,avoid_order_dependent_ids,batch_index_id,true,
list_tuple_exact_batch_type,batch,type(batch) is list or tuple,exact_container_type,reject_other_containers,provide_list_or_tuple,implicit_iterable,true,
non_empty_batch,batch,batch is non-empty,nonempty_required,reject_empty,provide_nonempty_batch,empty_batch,true,
all_members_syntax_valid,batch,every member passes syntax,per_member_validation,validate_all_members,provide_valid_members,skip_member_validation,true,
current_id_occurs_once,batch,candidate occurs exactly once,exact_occurrence_count,check_count,include_once,missing_or_repeated_candidate,true,
global_batch_uniqueness,batch,all IDs are globally unique,exact_equality,check_all_unique,avoid_duplicates,deduplicate_silently,true,
batch_order_irrelevance,batch,order does not affect pass or fail,order_independent,do_not_sort,do_not_rely_on_order,position_sensitive_result,true,
evaluator_performs_no_io,boundary,pure in-memory evaluation,pure_function,perform_no_io,supply_values_in_memory,file_or_network_access,true,
syntax_not_provenance,boundary,syntax does not prove provenance,limited_claim,do_not_claim_provenance,establish_provenance_elsewhere,provenance_overclaim,true,
uniqueness_not_deduplication,boundary,uniqueness does not prove duplicate absence,limited_claim,do_not_deduplicate,run_admit_009_separately,deduplication_overclaim,true,
no_download_permission,boundary,gate does not grant download permission,no_execution_authorization,do_not_download,obtain_later_authorization,download_execution,true,
no_training_permission,boundary,gate does not grant training permission,no_execution_authorization,do_not_train,complete_feature_audit_first,training_execution,true,
