audit_order,audit_kind,definition_name,definition_kind,reachable_from,normalized_ast_sha256,permitted_global_bindings,permitted_calls,observed,forbidden_io_absent,mutation_absent,purity_passed
1,closure_definition,evaluate_admit_012,function,root,3af2beb350001329f8440e28fa5ae887517d25e33e16d2eaf491a660f9a1f60c,_MISSING|MISSING_REASONS|TYPE_INVALID_REASONS|VALUE_INVALID_REASONS|EXACT4_FIELDS|EXACT4_CONTEXT_ITEMS|ALLOWED_DOWNLOAD_RESULT_STATUSES|FORMAL_CONTEXT_VALUES|_SHA256_RE,enumerate|type|_SHA256_RE.fullmatch|_make_result|_record|_context_reason,reachable_and_frozen,true,true,true
2,closure_definition,_record,function,evaluate_admit_012,ac7961e68c410200a6cb6fecd6b5d4783735997d97751b9a88023f965f9d4869,EXACT4_FIELDS,zip|tuple,reachable_and_frozen,true,true,true
3,closure_definition,_make_result,function,evaluate_admit_012,600c65210c1957747b87e463f1312aee307e2f6d892286b65a147d96353d5b7f,ADMISSION_RULE_ID|Admit012EvaluationResult,Admit012EvaluationResult,reachable_and_frozen,true,true,true
4,closure_definition,_context_reason,function,evaluate_admit_012,13dbe9cf9d6c52c643d9574d20ea6add2ae10673a6c60a923f3162bf60ef46eb,CONTEXT_REASONS,type|len|all|zip,reachable_and_frozen,true,true,true
5,closure_definition,Admit012EvaluationResult,frozen_dataclass,_make_result,e18dc4088c410020149181f65e1f9a348bf29e8238531d38da426b0ce5e014fd,dataclass,dataclass,reachable_and_frozen,true,true,true
6,closure_definition,Admit012EvaluationResult.__post_init__,method,Admit012EvaluationResult,efd4571277898098b620b88ab9ec714e3aab9e7f4158893b4ce4be37c981b97f,fields|RESULT_FIELDS|EXACT4_FIELDS|EXACT4_CONTEXT_ITEMS|ADMISSION_RULE_ID|OUTCOME_VOCABULARY|REASON_VOCABULARY|MISSING_REASONS|TYPE_INVALID_REASONS|VALUE_INVALID_REASONS|CONTEXT_REASONS,type|fields|tuple|any|len|_ordered_pair_prefix_valid,reachable_and_frozen,true,true,true
7,closure_definition,_ordered_pair_prefix_valid,function,Admit012EvaluationResult.__post_init__,9d75f3c824dec077af61356b92574bc29d453869e18c6e47a3327c53ebdc6af7,,type|fields|tuple|any|len|_ordered_pair_prefix_valid,reachable_and_frozen,true,true,true
8,closure_definition,_field_pair_valid,function,_ordered_pair_prefix_valid,5a5a9d7b2c4e98399dfc40770c86aa0799bb0cb9a4db518dde58d04a09b253ab,,len|all|enumerate|_field_pair_valid,reachable_and_frozen,true,true,true
9,closure_metadata,production_full_sha256,attestation,checker_recomputed,,,,a7b8585ea6d0080e87fc97f29026fbf5df4667dff21729c95f3045d762a55840,true,true,true
10,closure_metadata,marker_prefix_sha256,attestation,checker_recomputed,,,,644af3750080f4333646a28a8eae147884e9733dfed1b18715fcb90cc9efc410,true,true,true
11,closure_metadata,exact_imported_symbol_map,attestation,checker_recomputed,,,,ast|csv|ctypes|hashlib|io|json|os|re|stat|subprocess|tempfile|dataclasses.dataclass|dataclasses.fields|pathlib.Path|typing.Any,true,true,true
12,closure_metadata,exact_constant_binding_map,attestation,checker_recomputed,,,,ADMISSION_RULE_ID|EXACT4_FIELDS|EXACT4_CONTEXT_ITEMS|ALLOWED_DOWNLOAD_RESULT_STATUSES|SUCCESSFUL_HTTP_STATUS_CONTRACT|CONTENT_LENGTH_CONTRACT|SHA256_FORMAT_CONTRACT|OUTCOME_VOCABULARY|RESULT_FIELDS|MISSING_REASONS|TYPE_INVALID_REASONS|VALUE_INVALID_REASONS|CONTEXT_REASONS|REASON_VOCABULARY|FORMAL_CONTEXT_VALUES|_SHA256_RE|_MISSING,true,true,true
13,closure_metadata,result_dataclass_shape,attestation,checker_recomputed,,,,Admit012EvaluationResult|frozen=True|Exact10|only___post_init__|no_base_or_metaclass,true,true,true
14,closure_metadata,closure_complete,attestation,checker_recomputed,,,,evaluate_admit_012|_record|_make_result|_context_reason|Admit012EvaluationResult|Admit012EvaluationResult.__post_init__|_ordered_pair_prefix_valid|_field_pair_valid,true,true,true
