source_order,source_relative_path,source_kind,base_tree_mode,expected_sha256,base_tree_sha256,filesystem_sha256,frozen_snapshot_sha256,git_tracked,base_tree_blob,filesystem_regular,non_symlink,parent_chain_non_symlink,safe_descendant,pinned_fd_read,triple_sha256_passed,source_boundary_passed
1,src/covalent_ext/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_design_gate.py,python_source,100644,eea31caa76e06507f7dd482dc7c6b2928f6d0f28ded33c47eb31d25b3be7a927,eea31caa76e06507f7dd482dc7c6b2928f6d0f28ded33c47eb31d25b3be7a927,eea31caa76e06507f7dd482dc7c6b2928f6d0f28ded33c47eb31d25b3be7a927,eea31caa76e06507f7dd482dc7c6b2928f6d0f28ded33c47eb31d25b3be7a927,true,true,true,true,true,true,true,true,true
2,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_and_result_contract.csv,committed_csv,100644,682192b492979d9b6114381cbfc02d57c349e3cd8db2541a01177235d34c04e6,682192b492979d9b6114381cbfc02d57c349e3cd8db2541a01177235d34c04e6,682192b492979d9b6114381cbfc02d57c349e3cd8db2541a01177235d34c04e6,682192b492979d9b6114381cbfc02d57c349e3cd8db2541a01177235d34c04e6,true,true,true,true,true,true,true,true,true
3,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_routing_and_consumption_contract.csv,committed_csv,100644,44709c3a679368476c87bcd97dafa2f9cf9bddb4af534c6eb950c565d0919aec,44709c3a679368476c87bcd97dafa2f9cf9bddb4af534c6eb950c565d0919aec,44709c3a679368476c87bcd97dafa2f9cf9bddb4af534c6eb950c565d0919aec,44709c3a679368476c87bcd97dafa2f9cf9bddb4af534c6eb950c565d0919aec,true,true,true,true,true,true,true,true,true
4,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,committed_csv,100644,cc848914ea24b376e29c477c4c0b5e8d32d6fc7caee11873f7a73c4bd207d6db,cc848914ea24b376e29c477c4c0b5e8d32d6fc7caee11873f7a73c4bd207d6db,cc848914ea24b376e29c477c4c0b5e8d32d6fc7caee11873f7a73c4bd207d6db,cc848914ea24b376e29c477c4c0b5e8d32d6fc7caee11873f7a73c4bd207d6db,true,true,true,true,true,true,true,true,true
5,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_issue_readiness_inventory.csv,committed_csv,100644,bac586f54afac5a860a32ed161b6b8f41210b6ae06eb29f368045f10b3ac81e5,bac586f54afac5a860a32ed161b6b8f41210b6ae06eb29f368045f10b3ac81e5,bac586f54afac5a860a32ed161b6b8f41210b6ae06eb29f368045f10b3ac81e5,bac586f54afac5a860a32ed161b6b8f41210b6ae06eb29f368045f10b3ac81e5,true,true,true,true,true,true,true,true,true
6,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_contract_manifest.json,committed_manifest,100644,2845c2623a01087af8842177f4502402d0a8875a77ce12c6a49e2f77c60dae01,2845c2623a01087af8842177f4502402d0a8875a77ce12c6a49e2f77c60dae01,2845c2623a01087af8842177f4502402d0a8875a77ce12c6a49e2f77c60dae01,2845c2623a01087af8842177f4502402d0a8875a77ce12c6a49e2f77c60dae01,true,true,true,true,true,true,true,true,true
7,src/covalent_ext/covapie_bulk_download_admission_admit_012_download_integrity_field_contract_design_gate.py,python_source,100644,92d6ab08c4e9fa4bd448895687c897f06a596d4fb73a2e9cf7e88ffebaa6448f,92d6ab08c4e9fa4bd448895687c897f06a596d4fb73a2e9cf7e88ffebaa6448f,92d6ab08c4e9fa4bd448895687c897f06a596d4fb73a2e9cf7e88ffebaa6448f,92d6ab08c4e9fa4bd448895687c897f06a596d4fb73a2e9cf7e88ffebaa6448f,true,true,true,true,true,true,true,true,true
8,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_download_integrity_field_contract_v1/covapie_admit_012_download_integrity_field_contract.csv,committed_csv,100644,03aef0a14257d9a2c028fcc3dd84c161c29b09bca1a1c71456edc66e2e73c9ce,03aef0a14257d9a2c028fcc3dd84c161c29b09bca1a1c71456edc66e2e73c9ce,03aef0a14257d9a2c028fcc3dd84c161c29b09bca1a1c71456edc66e2e73c9ce,03aef0a14257d9a2c028fcc3dd84c161c29b09bca1a1c71456edc66e2e73c9ce,true,true,true,true,true,true,true,true,true
9,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_download_integrity_field_contract_v1/covapie_admit_012_download_result_status_enum.csv,committed_csv,100644,4c016e8c325ce6a422dff618ae166ec4f42243cc0d1fbf8f6a722c13f63139f6,4c016e8c325ce6a422dff618ae166ec4f42243cc0d1fbf8f6a722c13f63139f6,4c016e8c325ce6a422dff618ae166ec4f42243cc0d1fbf8f6a722c13f63139f6,4c016e8c325ce6a422dff618ae166ec4f42243cc0d1fbf8f6a722c13f63139f6,true,true,true,true,true,true,true,true,true
10,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_download_integrity_field_contract_v1/covapie_admit_012_download_integrity_validation_truth_matrix.csv,committed_csv,100644,766506f8c0bf2d7734b9c379c9437e1a48a2117873f7e974325b00ab685a39e1,766506f8c0bf2d7734b9c379c9437e1a48a2117873f7e974325b00ab685a39e1,766506f8c0bf2d7734b9c379c9437e1a48a2117873f7e974325b00ab685a39e1,766506f8c0bf2d7734b9c379c9437e1a48a2117873f7e974325b00ab685a39e1,true,true,true,true,true,true,true,true,true
