precondition_order,precondition_id,inherited_completion_status,inherited_implementation_blocking,implementation_completion_status,implementation_blocking,transition_action,transition_evidence,transition_passed
1,PRE_001,complete,false,complete,false,unchanged,inherited effective state retained,true
2,PRE_002,complete,false,complete,false,unchanged,inherited effective state retained,true
3,PRE_003,complete,false,complete,false,unchanged,inherited effective state retained,true
4,PRE_004,complete,false,complete,false,unchanged,inherited effective state retained,true
5,PRE_005,complete,false,complete,false,unchanged,inherited effective state retained,true
6,PRE_006,complete,false,complete,false,unchanged,inherited effective state retained,true
7,PRE_007,complete,false,complete,false,unchanged,inherited effective state retained,true
8,PRE_008,complete,false,complete,false,unchanged,inherited effective state retained,true
9,PRE_009,complete,false,complete,false,unchanged,inherited effective state retained,true
10,PRE_010,complete,false,complete,false,unchanged,inherited effective state retained,true
11,PRE_011,complete,false,complete,false,unchanged,inherited effective state retained,true
12,PRE_012,complete,false,complete,false,unchanged,inherited effective state retained,true
13,PRE_013,complete,false,complete,false,unchanged,inherited effective state retained,true
14,PRE_014,complete,false,complete,false,unchanged,inherited effective state retained,true
15,PRE_015,complete,false,complete,false,unchanged,inherited effective state retained,true
16,PRE_016,complete,false,complete,false,unchanged,inherited effective state retained,true
17,PRE_017,complete,false,complete,false,unchanged,inherited effective state retained,true
18,PRE_018,complete,false,complete,false,unchanged,inherited effective state retained,true
19,PRE_019,complete,false,complete,false,unchanged,inherited effective state retained,true
20,PRE_020,complete,false,complete,false,unchanged,inherited effective state retained,true
21,PRE_021,complete,false,complete,false,unchanged,inherited effective state retained,true
22,PRE_022,complete,false,complete,false,unchanged,inherited effective state retained,true
23,PRE_023,complete,false,complete,false,unchanged,inherited effective state retained,true
24,PRE_024,complete,false,complete,false,unchanged,inherited effective state retained,true
25,PRE_025,complete,false,complete,false,unchanged,inherited effective state retained,true
26,PRE_026,complete,false,complete,false,unchanged,inherited effective state retained,true
27,PRE_027,complete,false,complete,false,unchanged,inherited effective state retained,true
28,PRE_028,complete,false,complete,false,unchanged,inherited effective state retained,true
29,PRE_029,complete,false,complete,false,unchanged,inherited effective state retained,true
30,PRE_030,complete,false,complete,false,unchanged,inherited effective state retained,true
31,PRE_031,complete,false,complete,false,unchanged,inherited effective state retained,true
32,PRE_032,complete,false,complete,false,unchanged,inherited effective state retained,true
33,PRE_033,complete,false,complete,false,unchanged,inherited effective state retained,true
34,PRE_034,complete,false,complete,false,unchanged,inherited effective state retained,true
35,PRE_035,complete,false,complete,false,unchanged,inherited effective state retained,true
36,PRE_036,incomplete,true,complete,false,resolved_by_pure_cross_rule_aggregation_implementation,src/covalent_ext/covapie_bulk_download_admission_combined_candidate_verdict_and_cross_rule_aggregation_v1.py|data/derived/covalent_small/covapie_bulk_download_admission_combined_candidate_verdict_and_cross_rule_aggregation_v1/covapie_combined_candidate_verdict_and_cross_rule_aggregation_runtime_contract.csv|data/derived/covalent_small/covapie_bulk_download_admission_combined_candidate_verdict_and_cross_rule_aggregation_v1/covapie_cross_rule_aggregation_implementation_truth_matrix.csv|tests/test_covapie_bulk_download_admission_combined_candidate_verdict_and_cross_rule_aggregation_v1.py,true
37,PRE_037,complete,false,complete,false,unchanged,inherited effective state retained,true
38,PRE_038,incomplete,true,incomplete,true,unchanged,inherited effective state retained,true
39,PRE_039,complete,false,complete,false,unchanged,inherited effective state retained,true
40,PRE_040,complete,false,complete,false,unchanged,inherited effective state retained,true
41,PRE_041,complete,false,complete,false,unchanged,inherited effective state retained,true
42,PRE_042,incomplete,true,incomplete,true,unchanged,inherited effective state retained,true
43,PRE_043,complete,false,complete,false,unchanged,inherited effective state retained,true
44,PRE_044,complete,false,complete,false,unchanged,inherited effective state retained,true
45,PRE_045,complete,false,complete,false,unchanged,inherited effective state retained,true
