precondition_item,expected_status,observed_status,precondition_passed,blocking_reasons
step14al_manifest_valid,true,True,True,
input_candidate_count_eight,true,True,True,
confirmed_and_eligible_counts_eight,true,True,True,
scientifically_blocked_list_empty,true,True,True,
ready_for_batch_preparation,true,True,True,
candidate_audit_exactly_eight,true,True,True,
candidate_classifications_and_selected_fields,true,True,True,
raw_fingerprint_audit_eight_passed,true,True,True,
step14ak_hash_map_present,true,True,True,
raw_files_exactly_eight_without_part,true,True,True,
raw_ignored_untracked_unstaged,true,True,True,
guarded_inputs_available,true,True,True,
metadata_and_sample_index_hashes_unchanged,true,True,True,
historical_and_prior_outputs_clean,true,True,True,
protected_sources_clean,true,True,True,
staged_files_empty,true,True,True,
canonical_five_masks_preserved,true,True,True,
