source_path,source_sha256,source_kind,BASE_tracked,atom_named,bond_order_present,current11_component_coverage,authority_class,blocking_reason,verified
src/covalent_ext/covapie_ligand_role_and_minimal_seed_annotation_contract_design_v1.py,18e386ea0412d917d4e3d9f6c15374cdbd680ea243e7b51c0045ae889a215f8b,predecessor_contract_source,true,false,false,11/11,gap_evidence,predecessor_records_graph_authority_gap,true
docs/covapie_ligand_role_and_minimal_seed_annotation_contract_design_v1_summary.md,a3cf85a476a97e564e192963d23476f14c79af428046677a5c9a5b8a9ca1453c,predecessor_summary,true,false,false,11/11,gap_evidence,summary_only,true
data/derived/covalent_small/covapie_ligand_role_and_minimal_seed_annotation_contract_design_v1/covapie_ligand_role_and_minimal_seed_annotation_contract_design_manifest.json,cf79865f91ef140b6c69010ce2e56c2ff24937a5aa7fa3eac0f8c53bc907764a,predecessor_manifest,true,false,false,11/11,gap_evidence,manifest_only,true
data/derived/covalent_small/covapie_ligand_role_and_minimal_seed_annotation_contract_design_v1/covapie_current11_role_annotation_input_readiness_matrix.csv,6def11ca3c1ec974479c3fa96d3f2c985b994eed86d6132008236fb18bca3d4b,predecessor_readiness,true,false,false,11/11,gap_evidence,connectivity_and_bond_order_false_11_of_11,true
data/derived/covalent_small/covapie_independent_group_expansion_batch_independence_evidence_materialization_smoke_v0/covapie_ligand_graph_scaffold_evidence.csv,982a9f89a89d3a4ad6a3e468cfd16d2fdfd5435cbf6d593e086fbd7fadd3ec73,descriptor_graph_and_atom_inventory,true,true,false,11/11;9/9_components,supporting_only,atom_inventory_without_atom_rows_formal_charge_or_bonds,true
data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,c4c31888cb0f7c148b00656ccf22ab68fab842fcdafdee049b2f420eddc1302d,current11_sample_index,true,true,false,11/11,supporting_only,reactive_atom_name_only,true
data/derived/covalent_small/covapie_covalent_bond_atom_pair_encoding_contract_current_canonical_evidence_validation_v1/covapie_atom_pair_atom_table_mapping_validation_matrix.csv,9f26b25ed11d186a02a1f859de10a105605ce3af13805ac5a4be1ad73199df45,reactive_atom_table_mapping,true,true,false,11/11,supporting_only,reactive_atom_mapping_only,true
data/derived/covalent_small/covapie_training_feature_semantics_and_unknown_atom_policy_resolution_v1/covapie_heavy_atom_disposition_and_index_projection_matrix.csv,b53f438edffab32f78d07df839b8c8437ec4223e31bd8a8885deedf32497b4be,heavy_atom_projection,true,false,false,11/11,supporting_only,projection_rows_do_not_map_all_atoms_to_CCD_atom_ids,true
data/derived/covalent_small/covapie_training_feature_semantics_and_unknown_atom_policy_resolution_v1/covapie_sample_heavy_atom_projection_validation_matrix.csv,63f1df49d9a6f4e0efbee6c8bb474deabaedea9cef91f27d2cf49f7caeee6f96,sample_projection_summary,true,false,false,11/11,supporting_only,counts_and_reactive_projection_only,true
data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0/ligand_topology_restoration_policy_design_gate_report.csv,e10301238d5da3e81820a091381c3d105a4544dea1c481bb1cfda134efc7138f,historical_topology_policy,true,false,false,0/11,gap_evidence,separate_three_candidate_design_no_topology_written,true
docs/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0_summary.md,e061c748fe7553c0545181225795d1d052922adff327e5e78a323ba2a168f7bd,historical_topology_summary,true,false,false,0/11,gap_evidence,summary_only,true
data/derived/covalent_small/covapie_independent_group_expansion_batch_independence_evidence_materialization_smoke_v0/covapie_ccd_acquisition_integrity_audit.csv,79cf1ef3ccb3431b804fbf7af8bb12eb654615d332df002c70d8b0fa011ca848,CCD_acquisition_audit,true,false,false,9/9_components,gap_evidence,attests_ignored_CCD_files_but_contains_no_atom_or_bond_rows,true
data/derived/covalent_small/covapie_cys_sg_targeted_annotation_acquisition_smoke_v0/covapie_cys_sg_rcsb_ccd_extraction_audit.csv,9a6a8b3e0f19a67b91bc6cfb16374a4914414e1f766bea860deb0e648a41dc06,CCD_descriptor_metadata,true,false,false,8/9_components,supporting_only,descriptor_SMILES_not_atom_name_authority,true
data/derived/covalent_small/covapie_cys_sg_targeted_metadata_next_batch_acquisition_smoke_v0/covapie_cys_sg_next_batch_rcsb_ccd_extraction_audit.csv,6c923d92b2a0ddc305c698dd6a1378e24c624637cffa02f6c1ce43424a48d537,CCD_descriptor_metadata,true,false,false,1/9_components:JUG,supporting_only,descriptor_SMILES_not_atom_name_authority,true
data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_atom_topology_table.csv,07c9477f412b5a31c0525faba12cf369a00dc682abdfdabd995bb9321e3a4a6e,historical_RDKit_atom_topology,true,false,false,0/11,supporting_only,different_samples_RDKit_indices_not_CCD_atom_names,true
data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,c6bf803e2a98eb3f18f701791a56085c54bf16cff875b148b5bd97e15f942841,historical_RDKit_bond_topology,true,false,true,0/11,supporting_only,different_samples_no_CCD_atom_name_mapping,true
data/raw/covalent_sources/ccd/independence_evidence_batch_000001/JUG.cif,972c0753c75a01b663f52b2827a56318fb35ca425630c6f17d52a9ef54136c23,untracked_CCD_path_attested_by_BASE_audit,false,false,false,1/9_components:JUG,gap_evidence,CCD_source_not_BASE_tracked;payload_not_read;atom_and_bond_contents_not_authority,true
data/raw/covalent_sources/ccd/independence_evidence_batch_000001/E64.cif,12d4fc7fb6940e31d2164a5915e696bcb2aa1294d3369845f4f75dd92291130d,untracked_CCD_path_attested_by_BASE_audit,false,false,false,1/9_components:E64,gap_evidence,CCD_source_not_BASE_tracked;payload_not_read;atom_and_bond_contents_not_authority,true
data/raw/covalent_sources/ccd/independence_evidence_batch_000001/ZYA.cif,d82b2131da907d325252506ad316a93b3b8c16d5979536c5f3dfbac89f45cc3e,untracked_CCD_path_attested_by_BASE_audit,false,false,false,1/9_components:ZYA,gap_evidence,CCD_source_not_BASE_tracked;payload_not_read;atom_and_bond_contents_not_authority,true
data/raw/covalent_sources/ccd/independence_evidence_batch_000001/PCM.cif,918e4b6802cbb3f0506069708ba1a1e132acf2a432b13eb47c3ffc558c688615,untracked_CCD_path_attested_by_BASE_audit,false,false,false,1/9_components:PCM,gap_evidence,CCD_source_not_BASE_tracked;payload_not_read;atom_and_bond_contents_not_authority,true
data/raw/covalent_sources/ccd/independence_evidence_batch_000001/INP.cif,6920bb2d10b14468725cb487880fbdeed01f393bfd58812804e3f045ea10f345,untracked_CCD_path_attested_by_BASE_audit,false,false,false,1/9_components:INP,gap_evidence,CCD_source_not_BASE_tracked;payload_not_read;atom_and_bond_contents_not_authority,true
data/raw/covalent_sources/ccd/independence_evidence_batch_000001/INA.cif,de2d3aa26f75cf05dcfa39f371b059a37e113420bbba91a6d09b6cee195f1fa6,untracked_CCD_path_attested_by_BASE_audit,false,false,false,1/9_components:INA,gap_evidence,CCD_source_not_BASE_tracked;payload_not_read;atom_and_bond_contents_not_authority,true
data/raw/covalent_sources/ccd/independence_evidence_batch_000001/IN6.cif,5d7d414e982bd5050b67d15eca12fcbd4b13dedfbbe9d9a1e04a84de16b3d252,untracked_CCD_path_attested_by_BASE_audit,false,false,false,1/9_components:IN6,gap_evidence,CCD_source_not_BASE_tracked;payload_not_read;atom_and_bond_contents_not_authority,true
data/raw/covalent_sources/ccd/independence_evidence_batch_000001/IN3.cif,2beabd713e9578ea152fbad9a3d1c0284e0f4e1127f5bc1384f0f7eb7dd2f61c,untracked_CCD_path_attested_by_BASE_audit,false,false,false,1/9_components:IN3,gap_evidence,CCD_source_not_BASE_tracked;payload_not_read;atom_and_bond_contents_not_authority,true
data/raw/covalent_sources/ccd/independence_evidence_batch_000001/UFP.cif,833f86fbd1fd172a50f58114754ffbb6ad2db1ce67416f2b4eefe05acb18d845,untracked_CCD_path_attested_by_BASE_audit,false,false,false,1/9_components:UFP,gap_evidence,CCD_source_not_BASE_tracked;payload_not_read;atom_and_bond_contents_not_authority,true
