failure_case,mutation_signature,mutated_fields,expected_reasons,observed_reasons,expected_reasons_verified,fails_closed,ready_for_reaction_family_rule_design,ready_for_role_proposal_generation,ready_for_mask_materialization,ready_for_model_integration,ready_for_training,verified
CCD source missing,ccd_source_present=false,"{""ccd_source_present"":false}",ccd_source_missing,ccd_source_missing,true,true,false,false,false,false,false,true
CCD source not BASE tracked,ccd_source_base_tracked=false,"{""ccd_source_base_tracked"":false}",ccd_source_not_BASE_tracked,ccd_source_not_BASE_tracked,true,true,false,false,false,false,false,true
chem_comp_atom loop missing,chem_comp_atom_loop_present=false,"{""chem_comp_atom_loop_present"":false}",chem_comp_atom_loop_missing,chem_comp_atom_loop_missing,true,true,false,false,false,false,false,true
chem_comp_bond loop missing,chem_comp_bond_loop_present=false,"{""chem_comp_bond_loop_present"":false}",chem_comp_bond_loop_missing,chem_comp_bond_loop_missing,true,true,false,false,false,false,false,true
duplicate CCD atom_id,duplicate_ccd_atom_id_count=1,"{""duplicate_ccd_atom_id_count"":1}",duplicate_ccd_atom_id,duplicate_ccd_atom_id,true,true,false,false,false,false,false,true
unsupported element,unsupported_element_count=1,"{""unsupported_element_count"":1}",unsupported_element,unsupported_element,true,true,false,false,false,false,false,true
duplicate sample atom name,duplicate_sample_atom_name_count=1,"{""duplicate_sample_atom_name_count"":1}",duplicate_sample_atom_name,duplicate_sample_atom_name,true,true,false,false,false,false,false,true
sample atom not in CCD,sample_atom_not_in_ccd_count=1,"{""sample_atom_not_in_ccd_count"":1}",sample_atom_not_in_ccd,sample_atom_not_in_ccd,true,true,false,false,false,false,false,true
element mismatch,element_mismatch_count=1,"{""element_mismatch_count"":1}",element_mismatch,element_mismatch,true,true,false,false,false,false,false,true
reactive atom absent from parent,reactive_atom_parent_match_count=0,"{""reactive_atom_parent_match_count"":0}",reactive_atom_absent_from_parent,reactive_atom_absent_from_parent,true,true,false,false,false,false,false,true
reactive atom absent from projection,reactive_atom_projection_match_count=0,"{""reactive_atom_projection_match_count"":0}",reactive_atom_absent_from_projection,reactive_atom_absent_from_projection,true,true,false,false,false,false,false,true
parent atom missing without leaving-group evidence,unexplained_parent_missing_count=1,"{""unexplained_parent_missing_count"":1}",unexplained_parent_atom_missing,unexplained_parent_atom_missing,true,true,false,false,false,false,false,true
leaving-group list inconsistent,leaving_group_inconsistency_count=1,"{""leaving_group_inconsistency_count"":1}",leaving_group_list_inconsistent,leaving_group_list_inconsistent,true,true,false,false,false,false,false,true
unexpected observed atom,unexpected_observed_atom_count=1,"{""unexpected_observed_atom_count"":1}",unexpected_observed_atom,unexpected_observed_atom,true,true,false,false,false,false,false,true
bond endpoint absent,absent_bond_endpoint_count=1,"{""absent_bond_endpoint_count"":1}",bond_endpoint_absent,bond_endpoint_absent,true,true,false,false,false,false,false,true
bond self-loop,self_loop_bond_count=1,"{""self_loop_bond_count"":1}",bond_self_loop,bond_self_loop,true,true,false,false,false,false,false,true
duplicate undirected bond,duplicate_undirected_bond_count=1,"{""duplicate_undirected_bond_count"":1}",duplicate_undirected_bond,duplicate_undirected_bond,true,true,false,false,false,false,false,true
unsupported bond order,unsupported_bond_order_count=1,"{""unsupported_bond_order_count"":1}",unsupported_ccd_bond_order,unsupported_ccd_bond_order,true,true,false,false,false,false,false,true
aromatic flag/order conflict,aromatic_order_conflict_count=1,"{""aromatic_order_conflict_count"":1}",aromatic_flag_order_conflict,aromatic_flag_order_conflict,true,true,false,false,false,false,false,true
parent graph disconnected,parent_component_count=2,"{""parent_component_count"":2}",parent_graph_disconnected,parent_graph_disconnected,true,true,false,false,false,false,false,true
observed graph disconnected,observed_component_count=2,"{""observed_component_count"":2}",observed_graph_disconnected,observed_graph_disconnected,true,true,false,false,false,false,false,true
atom count mismatch,atom_count_matches=false,"{""atom_count_matches"":false}",atom_count_mismatch,atom_count_mismatch,true,true,false,false,false,false,false,true
projection count mismatch,projection_count_matches=false,"{""projection_count_matches"":false}",projection_count_mismatch,projection_count_mismatch,true,true,false,false,false,false,false,true
nondeterministic atom order,atom_order_deterministic=false,"{""atom_order_deterministic"":false}",nondeterministic_atom_order,nondeterministic_atom_order,true,true,false,false,false,false,false,true
nondeterministic bond order,bond_order_deterministic=false,"{""bond_order_deterministic"":false}",nondeterministic_bond_order,nondeterministic_bond_order,true,true,false,false,false,false,false,true
graph SHA drift,graph_sha_matches=false,"{""graph_sha_matches"":false}",graph_sha_drift,graph_sha_drift,true,true,false,false,false,false,false,true
RDKit validation failure,rdkit_validation_passed=false,"{""rdkit_validation_passed"":false}",rdkit_validation_failed,rdkit_validation_failed,true,true,false,false,false,false,false,true
execution boundary crossed,execution_boundary_crossed=true,"{""execution_boundary_crossed"":true}",execution_boundary_crossed,execution_boundary_crossed,true,true,false,false,false,false,false,true
