candidate_metadata_field,source_artifact,source_column,required_for_candidate_metadata,required_for_future_allowlist,validation_rule,materialization_design_contract_passed
candidate_metadata_id,constant_or_policy_value,candidate_metadata_id,True,True,non_empty_or_policy_value;unresolved_rows_excluded_from_materialization,True
project_name,constant_or_policy_value,project_name,True,False,non_empty_or_policy_value;unresolved_rows_excluded_from_materialization,True
source_name,data/derived/covalent_small/external_metadata_index/covpdb/covpdb_complexes_metadata_manual.csv,source_dataset_name/source_dataset_version/covpdb_record_index/pdb_id/het_code,True,False,non_empty_or_policy_value;unresolved_rows_excluded_from_materialization,True
source_database,data/derived/covalent_small/external_metadata_index/covpdb/covpdb_complexes_metadata_manual.csv,source_dataset_name/source_dataset_version/covpdb_record_index/pdb_id/het_code,True,False,non_empty_or_policy_value;unresolved_rows_excluded_from_materialization,True
source_stage,constant_or_policy_value,source_stage,True,False,non_empty_or_policy_value;unresolved_rows_excluded_from_materialization,True
pdb_id,data/derived/covalent_small/covapie_covpdb_raw_structure_event_annotation_qa_gate_v0/covapie_raw_structure_preferred_event_acceptance_qa.csv,pdb_id,True,True,non_empty_or_policy_value;unresolved_rows_excluded_from_materialization,True
het_code,data/derived/covalent_small/covapie_covpdb_raw_structure_event_annotation_qa_gate_v0/covapie_raw_structure_preferred_event_acceptance_qa.csv,het_code,True,True,non_empty_or_policy_value;unresolved_rows_excluded_from_materialization,True
selected_raw_format,constant_or_policy_value,selected_raw_format,True,False,non_empty_or_policy_value;unresolved_rows_excluded_from_materialization,True
raw_connection_source,data/derived/covalent_small/covapie_covpdb_raw_structure_event_annotation_qa_gate_v0/covapie_raw_structure_preferred_event_acceptance_qa.csv,raw_connection_source,True,False,non_empty_or_policy_value;unresolved_rows_excluded_from_materialization,True
chain_id,data/derived/covalent_small/covapie_covpdb_raw_structure_event_annotation_qa_gate_v0/covapie_raw_structure_preferred_event_acceptance_qa.csv,chain_id,True,True,non_empty_or_policy_value;unresolved_rows_excluded_from_materialization,True
residue_name,data/derived/covalent_small/covapie_covpdb_raw_structure_event_annotation_qa_gate_v0/covapie_raw_structure_preferred_event_acceptance_qa.csv,residue_name,True,True,non_empty_or_policy_value;unresolved_rows_excluded_from_materialization,True
residue_index,data/derived/covalent_small/covapie_covpdb_raw_structure_event_annotation_qa_gate_v0/covapie_raw_structure_preferred_event_acceptance_qa.csv,residue_index,True,True,non_empty_or_policy_value;unresolved_rows_excluded_from_materialization,True
residue_atom_name,data/derived/covalent_small/covapie_covpdb_raw_structure_event_annotation_qa_gate_v0/covapie_raw_structure_preferred_event_acceptance_qa.csv,residue_atom_name,True,True,non_empty_or_policy_value;unresolved_rows_excluded_from_materialization,True
ligand_atom_name,data/derived/covalent_small/covapie_covpdb_raw_structure_event_annotation_qa_gate_v0/covapie_raw_structure_preferred_event_acceptance_qa.csv,ligand_atom_name,True,True,non_empty_or_policy_value;unresolved_rows_excluded_from_materialization,True
covalent_bond_atom_pair,data/derived/covalent_small/covapie_covpdb_raw_structure_event_annotation_qa_gate_v0/covapie_raw_structure_preferred_event_acceptance_qa.csv,covalent_bond_atom_pair,True,True,non_empty_or_policy_value;unresolved_rows_excluded_from_materialization,True
protein_partner_atom_exists,data/derived/covalent_small/covapie_covpdb_raw_structure_event_annotation_qa_gate_v0/covapie_raw_structure_preferred_event_acceptance_qa.csv,protein_partner_atom_exists,True,False,non_empty_or_policy_value;unresolved_rows_excluded_from_materialization,True
ligand_partner_atom_exists,data/derived/covalent_small/covapie_covpdb_raw_structure_event_annotation_qa_gate_v0/covapie_raw_structure_preferred_event_acceptance_qa.csv,ligand_partner_atom_exists,True,False,non_empty_or_policy_value;unresolved_rows_excluded_from_materialization,True
candidate_confidence,data/derived/covalent_small/covapie_covpdb_raw_structure_event_annotation_qa_gate_v0/covapie_raw_structure_preferred_event_acceptance_qa.csv,candidate_confidence,True,False,non_empty_or_policy_value;unresolved_rows_excluded_from_materialization,True
event_key_resolution_status,data/derived/covalent_small/covapie_covpdb_raw_structure_event_annotation_qa_gate_v0/covapie_raw_structure_event_candidate_field_integrity_qa.csv,resolution_status,True,False,non_empty_or_policy_value;unresolved_rows_excluded_from_materialization,True
accepted_for_future_candidate_metadata,data/derived/covalent_small/covapie_covpdb_raw_structure_event_annotation_qa_gate_v0/covapie_raw_structure_preferred_event_acceptance_qa.csv,accepted_for_future_candidate_metadata,True,False,non_empty_or_policy_value;unresolved_rows_excluded_from_materialization,True
accepted_for_future_automatic_allowlist,data/derived/covalent_small/covapie_covpdb_raw_structure_event_annotation_qa_gate_v0/covapie_raw_structure_preferred_event_acceptance_qa.csv,accepted_for_future_automatic_allowlist,True,False,non_empty_or_policy_value;unresolved_rows_excluded_from_materialization,True
current_step_materialization_allowed,data/derived/covalent_small/covapie_covpdb_raw_structure_event_annotation_qa_gate_v0/covapie_raw_structure_preferred_event_acceptance_qa.csv,current_step_materialization_allowed,True,False,non_empty_or_policy_value;unresolved_rows_excluded_from_materialization,True
unresolved_exclusion_status,data/derived/covalent_small/covapie_covpdb_raw_structure_event_annotation_qa_gate_v0/covapie_raw_structure_unresolved_event_handling_qa.csv,reason_unresolved,True,False,non_empty_or_policy_value;unresolved_rows_excluded_from_materialization,True
unresolved_exclusion_reason,data/derived/covalent_small/covapie_covpdb_raw_structure_event_annotation_qa_gate_v0/covapie_raw_structure_unresolved_event_handling_qa.csv,reason_unresolved,True,False,non_empty_or_policy_value;unresolved_rows_excluded_from_materialization,True
manual_review_required,data/derived/covalent_small/covapie_covpdb_raw_structure_event_annotation_qa_gate_v0/covapie_raw_structure_event_candidate_field_integrity_qa.csv,manual_review_required,True,False,non_empty_or_policy_value;unresolved_rows_excluded_from_materialization,True
source_step13aw_preferred_acceptance_row_index,data/derived/covalent_small/covapie_covpdb_raw_structure_event_annotation_qa_gate_v0/covapie_raw_structure_preferred_event_acceptance_qa.csv,row_index,True,False,non_empty_or_policy_value;unresolved_rows_excluded_from_materialization,True
source_step13aw_candidate_integrity_row_index,data/derived/covalent_small/covapie_covpdb_raw_structure_event_annotation_qa_gate_v0/covapie_raw_structure_event_candidate_field_integrity_qa.csv,source_step13aw_candidate_integrity_row_index,True,False,non_empty_or_policy_value;unresolved_rows_excluded_from_materialization,True
source_metadata_csv_row_key,data/derived/covalent_small/external_metadata_index/covpdb/covpdb_complexes_metadata_manual.csv,source_dataset_name/source_dataset_version/covpdb_record_index/pdb_id/het_code,True,False,non_empty_or_policy_value;unresolved_rows_excluded_from_materialization,True
raw_file_path_policy,constant_or_policy_value,raw_file_path_policy,True,False,non_empty_or_policy_value;unresolved_rows_excluded_from_materialization,True
raw_file_tracked_policy,constant_or_policy_value,raw_file_tracked_policy,True,False,non_empty_or_policy_value;unresolved_rows_excluded_from_materialization,True
feature_semantics_audit_required_before_training,constant_or_policy_value,feature_semantics_audit_required_before_training,True,False,non_empty_or_policy_value;unresolved_rows_excluded_from_materialization,True
leakage_split_design_required_before_training,constant_or_policy_value,leakage_split_design_required_before_training,True,False,non_empty_or_policy_value;unresolved_rows_excluded_from_materialization,True
ready_for_training,constant_or_policy_value,ready_for_training,True,False,non_empty_or_policy_value;unresolved_rows_excluded_from_materialization,True
