final_dataset_field_name,source_field_category,future_dataloader_role,future_batch_key_or_metadata_key,current_smoke_value_status,tensorization_status_current_step,required_before_interface_smoke,required_before_real_dataloader,blocker_before_training,field_mapping_contract_passed
final_dataset_row_id,identity,metadata_key_not_tensor,metadata.final_dataset_row_id,metadata_value_present_in_smoke,design_only_no_tensorization_current_step,True,True,False,True
sample_id,identity,metadata_key_not_tensor,metadata.sample_id,metadata_value_present_in_smoke,design_only_no_tensorization_current_step,True,True,False,True
split_unit_id,identity,metadata_key_not_tensor,metadata.split_unit_id,metadata_value_present_in_smoke,design_only_no_tensorization_current_step,True,True,False,True
extracted_event_id,identity,metadata_key_not_tensor,metadata.extracted_event_id,metadata_value_present_in_smoke,design_only_no_tensorization_current_step,True,True,False,True
allowlist_entry_id,identity,metadata_key_not_tensor,metadata.allowlist_entry_id,metadata_value_present_in_smoke,design_only_no_tensorization_current_step,True,True,False,True
candidate_metadata_id,identity,metadata_key_not_tensor,metadata.candidate_metadata_id,metadata_value_present_in_smoke,design_only_no_tensorization_current_step,True,True,False,True
pdb_id,identity,metadata_key_not_tensor,metadata.pdb_id,metadata_value_present_in_smoke,design_only_no_tensorization_current_step,True,True,False,True
het_code,identity,metadata_key_not_tensor,metadata.het_code,metadata_value_present_in_smoke,design_only_no_tensorization_current_step,True,True,False,True
chain_id,identity,metadata_key_not_tensor,metadata.chain_id,metadata_value_present_in_smoke,design_only_no_tensorization_current_step,True,True,False,True
residue_name,identity,metadata_key_not_tensor,metadata.residue_name,metadata_value_present_in_smoke,design_only_no_tensorization_current_step,True,True,False,True
residue_index,identity,metadata_key_not_tensor,metadata.residue_index,metadata_value_present_in_smoke,design_only_no_tensorization_current_step,True,True,False,True
residue_atom_name,identity,metadata_key_not_tensor,metadata.residue_atom_name,metadata_value_present_in_smoke,design_only_no_tensorization_current_step,True,True,False,True
ligand_atom_name,identity,metadata_key_not_tensor,metadata.ligand_atom_name,metadata_value_present_in_smoke,design_only_no_tensorization_current_step,True,True,False,True
covalent_bond_atom_pair,identity,covalent_geometry_metadata,geometry.covalent_bond_atom_pair,geometry_metadata_present_feature_audit_required,design_only_no_tensorization_current_step,True,True,True,True
covalent_bond_distance_angstrom,identity,covalent_geometry_metadata,geometry.covalent_bond_distance_angstrom,geometry_metadata_present_feature_audit_required,design_only_no_tensorization_current_step,True,True,True,True
protein_pocket_atom_table_path,geometry_source,future_protein_atom_table_loader_input,inputs.protein_atom_table_path,path_present_not_loaded_current_step,design_only_no_tensorization_current_step,True,True,False,True
ligand_atom_table_path,geometry_source,future_ligand_atom_table_loader_input,inputs.ligand_atom_table_path,path_present_not_loaded_current_step,design_only_no_tensorization_current_step,True,True,False,True
protein_atom_row_count_for_event,geometry_source,validation_metadata,validation.protein_atom_row_count_for_event,count_present_for_future_shape_checks,design_only_no_tensorization_current_step,True,True,False,True
ligand_atom_row_count_for_event,geometry_source,validation_metadata,validation.ligand_atom_row_count_for_event,count_present_for_future_shape_checks,design_only_no_tensorization_current_step,True,True,False,True
mask_task_name,mask_conditioning,canonical_mask_task_selector_long_name,mask.task_name,long_semantic_name_present,design_only_no_tensorization_current_step,True,True,False,True
mask_task_alias,mask_conditioning,display_report_only,mask.display_alias,display_alias_present_not_source_of_truth,design_only_no_tensorization_current_step,True,True,False,True
mask_task_semantic_description,mask_conditioning,mask_conditioning_metadata,metadata.mask_task_semantic_description,smoke_value_present,design_only_no_tensorization_current_step,True,True,False,True
conditioning_mode,identity,conditioning_metadata,conditioning.conditioning_mode,conditioning_value_present,design_only_no_tensorization_current_step,True,True,False,True
covalent_residue_conditioned,identity,conditioning_metadata,conditioning.covalent_residue_conditioned,conditioning_value_present,design_only_no_tensorization_current_step,True,True,False,True
source_sample_index_path,identity,identity_metadata,metadata.source_sample_index_path,smoke_value_present,design_only_no_tensorization_current_step,True,True,False,True
source_split_unit_preview_path,identity,identity_metadata,metadata.source_split_unit_preview_path,smoke_value_present,design_only_no_tensorization_current_step,True,True,False,True
feature_semantics_contract_path,identity,identity_metadata,metadata.feature_semantics_contract_path,smoke_value_present,design_only_no_tensorization_current_step,True,True,False,True
scaffold_linker_warhead_annotation_status,training_boundary,training_blocker_metadata,blockers.scaffold_linker_warhead_annotation_status,blocker_value_present,design_only_no_tensorization_current_step,True,True,True,True
